ARK | Intel® Product Specification Comparison
01/14/2024 01:06:53 PM
 ,Intel® Xeon® D-1823NT Processor ,Intel® Xeon® D-1834 Processor ,Intel® Xeon® D-1846 Processor ,Intel® Xeon® D-1813NT Processor ,Intel® Xeon® D-1848TER Processor ,Intel® Xeon® D-1844NT Processor ,Intel® Xeon® D-2832NT Processor ,Intel® Xeon® D-2896NT Processor ,Intel® Xeon® D-2899NT Processor ,Intel® Xeon® D-2843NT Processor ,Intel® Xeon® D-2896TER Processor ,Intel® Xeon® D-2876NT Processor ,Intel® Core™ i9 processor 14900HX ,Intel® Core™ i7 processor 14650HX ,Intel® Core™ i7 processor 14700HX ,Intel® Core™ i5 processor 14450HX ,Intel® Core™ i5 processor 14500HX ,Intel® Xeon® E-2488 Processor ,Intel® Xeon® E-2478 Processor ,Intel® Xeon® E-2468 Processor ,Intel® Xeon® E-2486 Processor ,Intel® Xeon® E-2456 Processor ,Intel® Xeon® E-2436 Processor ,Intel® Xeon® E-2434 Processor ,Intel® Xeon® E-2414 Processor ,Intel® Xeon® Gold 6433N Processor ,Intel® Xeon® Gold 6433NE Processor ,Intel® Xeon® Gold 6423N Processor ,Intel® Xeon® Silver 4509Y Processor ,Intel® Xeon® Silver 4510 Processor ,Intel® Xeon® Silver 4510T Processor ,Intel® Xeon® Bronze 3508U Processor ,Intel® Core™ i9 processor 14900K ,Intel® Core™ i3 processor 14100 ,Intel® Core™ i3 processor 14100T ,Intel® Core™ 3 processor 100U ,Intel® Core™ i5 processor 14400F ,Intel® Core™ i5 processor 14600KF ,Intel® Core™ i5 processor 14500T ,Intel® Core™ i7 processor 14700 ,Intel® Core™ i5 processor 14600T ,Intel® Core™ i7 processor 14700K ,Intel® Core™ i5 processor 14500 ,Intel® Core™ i3 processor 14100F ,Intel® Core™ i9 processor 14900KF ,Intel® Core™ i5 processor 14400 ,Intel® Core™ i7 processor 14700KF ,Intel® Core™ i5 processor 14400T ,Intel® Core™ i9 processor 14900T ,Intel® Core™ i9 processor 14900 ,Intel® Core™ i7 processor 14700T ,Intel® Core™ 7 processor 150U ,Intel® Core™ 5 processor 120U ,Intel® Core™ i5 processor 14600K ,Intel® Core™ i5 processor 14600 ,Intel® Processor 300 ,Intel® Core™ Ultra 7 processor 155H ,Intel® Core™ Ultra 5 processor 125H ,Intel® Core™ Ultra 9 processor 185H ,Intel® Core™ Ultra 5 processor 135H ,Intel® Core™ Ultra 7 processor 165H ,Intel® Processor 300T ,Intel® Core™ i9 processor 14900F ,Intel® Core™ i7 processor 14700F ,Intel® Xeon® Platinum 8571N Processor ,Intel® Xeon® Platinum 8568Y+ Processor ,Intel® Xeon® Gold 6530 Processor ,Intel® Xeon® Platinum 8580 Processor ,Intel® Xeon® Platinum 8593Q Processor ,Intel® Xeon® Platinum 8558 Processor ,Intel® Xeon® Platinum 8558P Processor ,Intel® Xeon® Platinum 8592+ Processor ,Intel® Xeon® Gold 6554S Processor ,Intel® Xeon® Platinum 8570 Processor ,Intel® Xeon® Platinum 8558U Processor ,Intel® Xeon® Platinum 8581V Processor ,Intel® Core™ Ultra 7 processor 155U ,Intel® Core™ Ultra 5 processor 135U ,Intel® Core™ Ultra 7 processor 165U ,Intel® Core™ Ultra 5 processor 125U ,Intel® Core™ Ultra 5 processor 134U ,Intel® Core™ Ultra 7 processor 164U ,Intel® Xeon® Platinum 8592V Processor ,Intel® Xeon® Gold 6534 Processor ,Intel® Xeon® Silver 4516Y+ Processor ,Intel® Xeon® Silver 4514Y Processor ,Intel® Xeon® Platinum 8562Y+ Processor ,Intel® Xeon® Gold 6542Y Processor ,Intel® Xeon® Gold 6526Y Processor ,Intel® Xeon® Gold 5520+ Processor ,Intel® Xeon® Gold 5515+ Processor ,Intel® Xeon® Gold 6538Y+ Processor ,Intel® Xeon® Gold 6548Y+ Processor ,Intel® Xeon® Gold 5512U Processor ,Intel® Xeon® Gold 6558Q Processor ,Intel® Xeon® Gold 6548N Processor ,Intel® Xeon® Gold 6538N Processor ,Intel® Xeon® Gold 6544Y Processor ,Intel® Xeon® Gold 5403N Processor ,Intel® Core™ 3 processor 100U 
Essentials
Product Collection,Intel® Xeon® D Processor,Intel® Xeon® D Processor,Intel® Xeon® D Processor,Intel® Xeon® D Processor,Intel® Xeon® D Processor,Intel® Xeon® D Processor,Intel® Xeon® D Processor,Intel® Xeon® D Processor,Intel® Xeon® D Processor,Intel® Xeon® D Processor,Intel® Xeon® D Processor,Intel® Xeon® D Processor,Intel® Core™ i9 Processors (14th gen),Intel® Core™ i7 Processors (14th gen),Intel® Core™ i7 Processors (14th gen),Intel® Core™ i5 Processors (14th gen),Intel® Core™ i5 Processors (14th gen),Intel® Xeon® E Processor,Intel® Xeon® E Processor,Intel® Xeon® E Processor,Intel® Xeon® E Processor,Intel® Xeon® E Processor,Intel® Xeon® E Processor,Intel® Xeon® E Processor,Intel® Xeon® E Processor,4th Generation Intel® Xeon® Scalable Processors,4th Generation Intel® Xeon® Scalable Processors,4th Generation Intel® Xeon® Scalable Processors,5th Generation Intel® Xeon® Scalable Processors,5th Generation Intel® Xeon® Scalable Processors,5th Generation Intel® Xeon® Scalable Processors,5th Generation Intel® Xeon® Scalable Processors,Intel® Core™ i9 Processors (14th gen),Intel® Core™ i3 Processors (14th gen),Intel® Core™ i3 Processors (14th gen),Intel® Core™ processors (Series 1),Intel® Core™ i5 Processors (14th gen),Intel® Core™ i5 Processors (14th gen),Intel® Core™ i5 Processors (14th gen),Intel® Core™ i7 Processors (14th gen),Intel® Core™ i5 Processors (14th gen),Intel® Core™ i7 Processors (14th gen),Intel® Core™ i5 Processors (14th gen),Intel® Core™ i3 Processors (14th gen),Intel® Core™ i9 Processors (14th gen),Intel® Core™ i5 Processors (14th gen),Intel® Core™ i7 Processors (14th gen),Intel® Core™ i5 Processors (14th gen),Intel® Core™ i9 Processors (14th gen),Intel® Core™ i9 Processors (14th gen),Intel® Core™ i7 Processors (14th gen),Intel® Core™ processors (Series 1),Intel® Core™ processors (Series 1),Intel® Core™ i5 Processors (14th gen),Intel® Core™ i5 Processors (14th gen),Intel® Processor for Desktop,Intel® Core™ Ultra processors (Series 1),Intel® Core™ Ultra processors (Series 1),Intel® Core™ Ultra processors (Series 1),Intel® Core™ Ultra processors (Series 1),Intel® Core™ Ultra processors (Series 1),Intel® Processor for Desktop,Intel® Core™ i9 Processors (14th gen),Intel® Core™ i7 Processors (14th gen),5th Generation Intel® Xeon® Scalable Processors,5th Generation Intel® Xeon® Scalable Processors,5th Generation Intel® Xeon® Scalable Processors,5th Generation Intel® Xeon® Scalable Processors,5th Generation Intel® Xeon® Scalable Processors,5th Generation Intel® Xeon® Scalable Processors,5th Generation Intel® Xeon® Scalable Processors,5th Generation Intel® Xeon® Scalable Processors,5th Generation Intel® Xeon® Scalable Processors,5th Generation Intel® Xeon® Scalable Processors,5th Generation Intel® Xeon® Scalable Processors,5th Generation Intel® Xeon® Scalable Processors,Intel® Core™ Ultra processors (Series 1),Intel® Core™ Ultra processors (Series 1),Intel® Core™ Ultra processors (Series 1),Intel® Core™ Ultra processors (Series 1),Intel® Core™ Ultra processors (Series 1),Intel® Core™ Ultra processors (Series 1),5th Generation Intel® Xeon® Scalable Processors,5th Generation Intel® Xeon® Scalable Processors,5th Generation Intel® Xeon® Scalable Processors,5th Generation Intel® Xeon® Scalable Processors,5th Generation Intel® Xeon® Scalable Processors,5th Generation Intel® Xeon® Scalable Processors,5th Generation Intel® Xeon® Scalable Processors,5th Generation Intel® Xeon® Scalable Processors,5th Generation Intel® Xeon® Scalable Processors,5th Generation Intel® Xeon® Scalable Processors,5th Generation Intel® Xeon® Scalable Processors,5th Generation Intel® Xeon® Scalable Processors,5th Generation Intel® Xeon® Scalable Processors,5th Generation Intel® Xeon® Scalable Processors,5th Generation Intel® Xeon® Scalable Processors,5th Generation Intel® Xeon® Scalable Processors,4th Generation Intel® Xeon® Scalable Processors,Intel® Core™ processors (Series 1)
Vertical Segment,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Mobile,Mobile,Mobile,Mobile,Mobile,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Desktop,Desktop,Desktop,Mobile,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Mobile,Mobile,Desktop,Desktop,Desktop,Mobile,Mobile,Mobile,Mobile,Mobile,Desktop,Desktop,Desktop,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Mobile
Processor Number,D-1823NT,D-1834,D-1846,D-1813NT,D-1848TER,D-1844NT,D-2832NT,D-2896NT,D-2899NT,D-2843NT,D-2896TER,D-2876NT,i9-14900HX,i7-14650HX,i7-14700HX,i5-14450HX,i5-14500HX,E-2488,E-2478,E-2468,E-2486,E-2456,E-2436,E-2434,E-2414,6433N,6433NE,6423N,4509Y,4510,4510T,3508U,i9-14900K,i3-14100,i3-14100T,100U,i5-14400F,i5-14600KF,i5-14500T,i7-14700,i5-14600T,i7-14700K,i5-14500,i3-14100F,i9-14900KF,i5-14400,i7-14700KF,i5-14400T,i9-14900T,i9-14900,i7-14700T,150U,120U,i5-14600K,i5-14600,300,155H,125H,185H,135H,165H,300T,i9-14900F,i7-14700F,8571N,8568Y+,6530,8580,8593Q,8558,8558P,8592+,6554S,8570,8558U,8581V,155U,135U,165U,125U,134U,164U,8592V,6534,4516Y+,4514Y,8562Y+,6542Y,6526Y,5520+,5515+,6538Y+,6548Y+,5512U,6558Q,6548N,6538N,6544Y,5403N,100U
Use Conditions,Automotive |  Base Transceiver Station |  Communications Commercial Temp |  Embedded Broad Market Commercial Temp |  Industrial Commercial Temp |  Server/Enterprise,Automotive |  Base Transceiver Station |  Communications Commercial Temp |  Embedded Broad Market Commercial Temp |  Industrial Commercial Temp |  Server/Enterprise,Automotive |  Base Transceiver Station |  Communications Commercial Temp |  Embedded Broad Market Commercial Temp |  Industrial Commercial Temp |  Server/Enterprise,Automotive |  Base Transceiver Station |  Communications Commercial Temp |  Embedded Broad Market Commercial Temp |  Industrial Commercial Temp |  Server/Enterprise,Automotive |  Base Transceiver Station |  Communications Commercial Temp |  Communications Extended Temp |  Embedded Broad Market Commercial Temp |  Embedded Broad Market Extended Temp |  Industrial Commercial Temp |  Industrial Extended Temp |  Server/Enterprise,Automotive |  Base Transceiver Station |  Communications Commercial Temp |  Embedded Broad Market Commercial Temp |  Industrial Commercial Temp |  Server/Enterprise,Automotive |  Base Transceiver Station |  Communications Commercial Temp |  Embedded Broad Market Commercial Temp |  Industrial Commercial Temp |  Server/Enterprise,Automotive |  Base Transceiver Station |  Communications Commercial Temp |  Embedded Broad Market Commercial Temp |  Industrial Commercial Temp |  Server/Enterprise,Automotive |  Base Transceiver Station |  Communications Commercial Temp |  Embedded Broad Market Commercial Temp |  Industrial Commercial Temp |  Server/Enterprise,Automotive |  Base Transceiver Station |  Communications Commercial Temp |  Embedded Broad Market Commercial Temp |  Industrial Commercial Temp |  Server/Enterprise,Automotive |  Base Transceiver Station |  Communications Commercial Temp |  Communications Extended Temp |  Embedded Broad Market Commercial Temp |  Embedded Broad Market Extended Temp |  Industrial Commercial Temp |  Industrial Extended Temp |  Server/Enterprise,Automotive |  Base Transceiver Station |  Communications Commercial Temp |  Embedded Broad Market Commercial Temp |  Industrial Commercial Temp |  Server/Enterprise,,,,,,Server/Enterprise,Server/Enterprise,Server/Enterprise,Server/Enterprise,Server/Enterprise,Server/Enterprise,Server/Enterprise,Server/Enterprise,,,,Server/Enterprise,Server/Enterprise,Industrial Commercial Temp |  Server/Enterprise,Server/Enterprise,PC/Client/Tablet |  Workstation,PC/Client/Tablet,PC/Client/Tablet,,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet |  Workstation,PC/Client/Tablet |  Workstation,PC/Client/Tablet |  Workstation,PC/Client/Tablet |  Workstation,PC/Client/Tablet |  Workstation,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet |  Workstation,PC/Client/Tablet |  Workstation,PC/Client/Tablet |  Workstation,,,PC/Client/Tablet |  Workstation,PC/Client/Tablet |  Workstation,PC/Client/Tablet,,,,,,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,Server/Enterprise,Server/Enterprise,Server/Enterprise,Server/Enterprise,Server/Enterprise,Server/Enterprise,Server/Enterprise,Server/Enterprise,Server/Enterprise,Server/Enterprise,Server/Enterprise,Server/Enterprise,,,,,,,Server/Enterprise,Server/Enterprise,Server/Enterprise,Server/Enterprise,Server/Enterprise,Server/Enterprise,Server/Enterprise,Server/Enterprise,Server/Enterprise,Server/Enterprise,Server/Enterprise,Server/Enterprise,Server/Enterprise,Server/Enterprise,Server/Enterprise,Server/Enterprise,,
Lithography,,,,,,,,,,,,,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,,,,,,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,,,,,,,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7
Recommended Customer Price,,,,,,,,,,,,,,,,,,$606.00,$556.00,$426.00,$506.00,$375.00,$319.00,$281.00,$213.00,$2771.00,$3048.00,$2161.00,$563.00,$563.00,$624.00,$415.00,$589.00-$599.00,,,,,$294.00-$304.00,,,,$409.00-$419.00,,,$564.00-$574.00,,$384.00-$394.00,,,,,,,$319.00-$329.00,,,$503.00,$375.00,,,,,,,$6839.00,$6497.00,$2128.00,$10710.00,$12400.00,$4650.00,$6759.00,$11600.00,,$9595.00,$3720.00,$7568.00,$490.00,,,$363.00,$332.00,$448.00,$10995.00,$2816.00,$1295.00,$780.00,$5945.00,$2878.00,$1517.00,$1640.00,$1099.00,$3141.00,$3726.00,$1230.00,$6416.00,$3875.00,$3351.00,$3622.00,$708.00,

CPU Specifications
Total Cores,6,8,10,4,10,10,8,20,22,10,20,16,24,16,20,10,14,8,8,8,6,6,6,4,4,32,32,28,8,12,12,8,24,4,4,6,10,14,14,20,14,20,14,4,24,10,20,10,24,24,20,10,10,14,14,2,16,14,16,14,16,2,24,20,52,48,32,60,64,48,48,64,36,56,48,60,12,12,12,12,12,12,64,8,24,16,32,24,16,28,8,32,32,28,32,32,32,16,12,6
