ARK | Intel® Product Specification Comparison
01/25/2024 11:24:35 AM
 ,Intel® Celeron® Processor G550T ,Intel® Core™ i5-3330 Processor ,Intel® Core™ i5-3330S Processor ,Intel® Pentium® Processor G2120 ,Intel® Core™ i3-3240 Processor ,Intel® Core™ i3-3225 Processor ,Intel® Core™ i3-3220 Processor ,Intel® Core™ i3-3220T Processor ,Intel® Pentium® Processor G2100T ,Intel® Core™ i3-3240T Processor ,Intel® Pentium® Processor 987 ,Intel® Core™ i5-3350P Processor ,Intel® Celeron® Processor G555 ,Intel® Pentium® Processor G645 ,Intel® Pentium® Processor 997 ,Intel® Celeron® Processor 887 ,Intel® Celeron® Processor G465 ,Intel® Pentium® Processor G645T ,Intel Atom® Processor Z2480 ,Intel Atom® Processor Z2580 ,Intel Atom® Processor Z2560 ,Intel Atom® Processor Z2760 ,Intel® Core™ i3-2365M Processor ,Intel Atom® Processor Z2420 ,Intel® Core™ i7-3970X Processor Extreme Edition ,Intel® Core™ i7-3840QM Processor ,Intel® Core™ i7-3740QM Processor ,Intel® Core™ i3-2328M Processor ,Intel® Pentium® Processor G2130 ,Intel® Core™ i3-3210 Processor ,Intel® Pentium® Processor G2020T ,Intel® Pentium® Processor G2020 ,Intel® Pentium® Processor G2010 ,Intel® Celeron® Processor G1610 ,Intel® Celeron® Processor G1620 ,Intel® Celeron® Processor G1610T ,Intel® Core™ i7-3940XM Processor Extreme Edition ,Intel® Pentium® Processor G2120T ,Intel® Celeron® Processor B830 ,Intel® Pentium® Processor 2020M ,Intel® Core™ i7-3540M Processor ,Intel® Core™ i5-3380M Processor ,Intel® Core™ i5-3340M Processor ,Intel® Core™ i7-3687U Processor ,Intel® Core™ i5-3437U Processor ,Intel Atom® Processor S1260 ,Intel Atom® Processor S1240 ,Intel Atom® Processor S1220 ,Intel® Core™ i7-3632QM Processor ,Intel® Core™ i7-3630QM Processor ,Intel® Core™ i7-3635QM Processor ,Intel® Core™ i3-3120M Processor ,Intel® Pentium® Processor 2117U ,Intel® Core™ i7-3632QM Processor ,Intel® Itanium® Processor 9560 ,Intel® Itanium® Processor 9550 ,Intel® Itanium® Processor 9540 ,Intel® Itanium® Processor 9520 ,Intel® Xeon Phi™ Coprocessor 5110P ,Intel® Celeron® Processor 1020M ,Intel® Celeron® Processor 1037U ,Intel® Core™ i3-3229Y Processor ,Intel® Core™ i5-3339Y Processor ,Intel® Core™ i5-3439Y Processor ,Intel® Core™ i7-3689Y Processor ,Intel® Pentium® Processor 2129Y ,Intel® Core™ i7-3537U Processor ,Intel® Core™ i5-3337U Processor ,Intel® Core™ i5-3230M Processor ,Intel® Core™ i3-3227U Processor ,Intel® Core™ i3-3130M Processor ,Intel® Pentium® Processor 2030M ,Intel® Celeron® Processor 1000M ,Intel® Celeron® Processor 1007U ,Intel® Core™ i5-3230M Processor ,Intel® Core™ i3-2375M Processor ,Intel® Celeron® Processor 1020E ,Intel® Celeron® Processor 1047UE ,Intel® Celeron® Processor 927UE ,Intel® Celeron® Processor G470 ,Intel® Core™ i3-2348M Processor ,Intel® Core™ i3-3250 Processor ,Intel® Core™ i3-3250T Processor ,Intel® Core™ i3-3245 Processor ,Intel® Pentium® Processor G2140 ,Intel® Pentium® Processor G2030T ,Intel® Pentium® Processor G2030 ,Intel® Core™ i5-4200H Processor ,Intel® Core™ i5-4250U Processor ,Intel® Core™ i5-4350U Processor ,Intel® Core™ i5-4430 Processor ,Intel® Core™ i5-4430S Processor ,Intel® Core™ i5-4440 Processor ,Intel® Core™ i5-4440S Processor ,Intel® Core™ i5-4570 Processor ,Intel® Core™ i5-4570S Processor ,Intel® Core™ i5-4570T Processor ,Intel® Core™ i5-4670 Processor ,Intel® Core™ i5-4670K Processor ,Intel® Core™ i5-4670S Processor ,Intel® Core™ i5-4670T Processor ,Intel® Xeon® Processor E3-1220L v3 ,Intel® Xeon® Processor E3-1220 v3 ,Intel® Xeon® Processor E3-1230L v3 ,Intel® Xeon® Processor E3-1230 v3 ,Intel® Xeon® Processor E3-1240 v3 ,Intel® Xeon® Processor E3-1270 v3 ,Intel® Xeon® Processor E3-1280 v3 ,Intel® Celeron® Processor 1019Y ,Intel® Core™ i3-4000M Processor ,Intel® Core™ i3-4005U Processor ,Intel® Core™ i3-4010U Processor ,Intel® Core™ i3-4100U Processor ,Intel® Core™ i7-4550U Processor ,Intel® Core™ i7-4650U Processor ,Intel® Core™ i7-4700HQ Processor ,Intel® Core™ i7-4700MQ Processor ,Intel® Core™ i7-4702HQ Processor ,Intel® Core™ i7-4702MQ Processor ,Intel® Core™ i7-4765T Processor ,Intel® Core™ i7-4770 Processor ,Intel® Core™ i7-4770K Processor ,Intel® Core™ i7-4770S Processor ,Intel® Core™ i7-4770T Processor ,Intel® Core™ i7-4800MQ Processor ,Intel® Core™ i7-4900MQ Processor ,Intel® Core™ i7-4930MX Processor Extreme Edition ,Intel® Pentium® Processor 2127U ,Intel® Celeron® Processor 1017U ,Intel® Celeron® Processor 1005M ,Intel Atom® Processor Z2520 ,Intel® Core™ i5-4200U Processor ,Intel® Core™ i7-4500U Processor ,Intel® Xeon® Processor E3-1225 v3 ,Intel® Xeon® Processor E3-1245 v3 ,Intel® Xeon® Processor E3-1265L v3 ,Intel® Xeon® Processor E3-1275 v3 ,Intel® Xeon® Processor E3-1285 v3 ,Intel® Xeon® Processor E3-1285L v3 ,Intel® Xeon® Processor E3-1268L v3 ,Intel® Core™ i5-4570TE Processor ,Intel® Core™ i7-4700EQ Processor ,Intel® Celeron® Processor 2955U ,Intel® Core™ i7-4770TE Processor ,Intel® Xeon Phi™ Coprocessor 3120A ,Intel® Xeon Phi™ Coprocessor 3120P ,Intel® Xeon Phi™ Coprocessor 7120P ,Intel® Xeon Phi™ Coprocessor 7120X ,Intel® Xeon Phi™ Coprocessor 5120D ,Intel® Core™ i5-4200Y Processor ,Intel® Core™ i3-4010Y Processor ,Intel® Core™ i3-4158U Processor ,Intel® Core™ i5-4258U Processor ,Intel® Core™ i5-4288U Processor ,Intel® Core™ i7-4558U Processor ,Intel® Core™ i7-4950HQ Processor ,Intel® Core™ i7-4850HQ Processor ,Intel® Core™ i7-4750HQ Processor ,Intel® Core™ i7-4960HQ Processor ,Intel® Core™ i5-4400E Processor ,Intel® Core™ i3-4100E Processor ,Intel® Core™ i3-4102E Processor ,Intel® Core™ i5-4402E Processor ,Intel® Core™ i5-4300U Processor ,Intel® Core™ i5-3340 Processor ,Intel® Core™ i5-3340S Processor ,Intel® Celeron® Processor G1630 ,Intel® Celeron® Processor G1620T ,Intel® Core™ i3-4100M Processor ,Intel® Core™ i5-4300M Processor ,Intel® Core™ i5-4200M Processor ,Intel® Core™ i7-4600M Processor ,Intel® Core™ i3-4012Y Processor ,Intel® Core™ i3-4020Y Processor ,Intel® Core™ i5-4202Y Processor ,Intel® Core™ i5-4210Y Processor ,Intel® Core™ i5-4300Y Processor ,Intel® Core™ i5-4302Y Processor ,Intel® Core™ i7-4600U Processor ,Intel® Core™ i7-4610Y Processor ,Intel® Celeron® Processor 2980U ,Intel® Pentium® Processor 3556U ,Intel® Pentium® Processor 3560Y ,Intel® Core™ i5-4570R Processor ,Intel® Core™ i5-4670R Processor ,Intel® Core™ i7-4770R Processor ,Intel® Core™ i5-4330M Processor ,Intel® Celeron® Processor 2950M ,Intel® Pentium® Processor 3550M ,Intel® Core™ i3-4130 Processor ,Intel® Core™ i3-4130T Processor ,Intel® Core™ i7-4771 Processor ,Intel® Core™ i3-4330 Processor ,Intel® Pentium® Processor G3220 ,Intel® Pentium® Processor G3220T ,Intel® Pentium® Processor G3420 ,Intel® Pentium® Processor G3420T ,Intel® Pentium® Processor G3430 ,Intel® Core™ i3-4330TE Processor ,Intel® Pentium® Processor A1018 
Essentials
Product Collection,Legacy Intel® Celeron® Processor,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Intel® Pentium® Processor G Series,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Intel® Pentium® Processor G Series,Legacy Intel® Core™ Processors,Legacy Intel® Pentium® Processor,Legacy Intel® Core™ Processors,Legacy Intel® Celeron® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Pentium® Processor,Intel Atom® Processor Z Series,Intel Atom® Processor Z Series,Intel Atom® Processor Z Series,Intel Atom® Processor Z Series,Legacy Intel® Core™ Processors,Intel Atom® Processor Z Series,Intel® Core™ X-series Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Intel® Pentium® Processor G Series,Legacy Intel® Core™ Processors,Intel® Pentium® Processor G Series,Intel® Pentium® Processor G Series,Intel® Pentium® Processor G Series,Intel® Celeron® Processor G Series,Intel® Celeron® Processor G Series,Intel® Celeron® Processor G Series,Intel® Core™ X-series Processors,Intel® Pentium® Processor G Series,Legacy Intel® Celeron® Processor,Intel® Pentium® Processor 2000 Series,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Intel Atom® Processor S Series,Intel Atom® Processor S Series,Intel Atom® Processor S Series,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Intel® Pentium® Processor 2000 Series,Legacy Intel® Core™ Processors,Intel® Itanium® Processor 9500 Series,Intel® Itanium® Processor 9500 Series,Intel® Itanium® Processor 9500 Series,Intel® Itanium® Processor 9500 Series,Intel® Xeon Phi™ x100 Product Family,Intel® Celeron® Processor 1000 Series,Intel® Celeron® Processor 1000 Series,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Intel® Pentium® Processor 2000 Series,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Intel® Pentium® Processor 2000 Series,Intel® Celeron® Processor 1000 Series,Intel® Celeron® Processor 1000 Series,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Intel® Celeron® Processor 1000 Series,Intel® Celeron® Processor 1000 Series,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Intel® Pentium® Processor G Series,Intel® Pentium® Processor G Series,Intel® Pentium® Processor G Series,4th Generation Intel® Core™ i5 Processors,4th Generation Intel® Core™ i5 Processors,4th Generation Intel® Core™ i5 Processors,4th Generation Intel® Core™ i5 Processors,4th Generation Intel® Core™ i5 Processors,4th Generation Intel® Core™ i5 Processors,4th Generation Intel® Core™ i5 Processors,4th Generation Intel® Core™ i5 Processors,4th Generation Intel® Core™ i5 Processors,4th Generation Intel® Core™ i5 Processors,4th Generation Intel® Core™ i5 Processors,4th Generation Intel® Core™ i5 Processors,4th Generation Intel® Core™ i5 Processors,4th Generation Intel® Core™ i5 Processors,Intel® Xeon® Processor E3 v3 Family,Intel® Xeon® Processor E3 v3 Family,Intel® Xeon® Processor E3 v3 Family,Intel® Xeon® Processor E3 v3 Family,Intel® Xeon® Processor E3 v3 Family,Intel® Xeon® Processor E3 v3 Family,Intel® Xeon® Processor E3 v3 Family,Intel® Celeron® Processor 1000 Series,4th Generation Intel® Core™ i3 Processors,4th Generation Intel® Core™ i3 Processors,4th Generation Intel® Core™ i3 Processors,4th Generation Intel® Core™ i3 Processors,4th Generation Intel® Core™ i7 Processors,4th Generation Intel® Core™ i7 Processors,4th Generation Intel® Core™ i7 Processors,4th Generation Intel® Core™ i7 Processors,4th Generation Intel® Core™ i7 Processors,4th Generation Intel® Core™ i7 Processors,4th Generation Intel® Core™ i7 Processors,4th Generation Intel® Core™ i7 Processors,4th Generation Intel® Core™ i7 Processors,4th Generation Intel® Core™ i7 Processors,4th Generation Intel® Core™ i7 Processors,4th Generation Intel® Core™ i7 Processors,4th Generation Intel® Core™ i7 Processors,Intel® Core™ X-series Processors,Intel® Pentium® Processor 2000 Series,Intel® Celeron® Processor 1000 Series,Intel® Celeron® Processor 1000 Series,Intel Atom® Processor Z Series,4th Generation Intel® Core™ i5 Processors,4th Generation Intel® Core™ i7 Processors,Intel® Xeon® Processor E3 v3 Family,Intel® Xeon® Processor E3 v3 Family,Intel® Xeon® Processor E3 v3 Family,Intel® Xeon® Processor E3 v3 Family,Intel® Xeon® Processor E3 v3 Family,Intel® Xeon® Processor E3 v3 Family,Intel® Xeon® Processor E3 v3 Family,4th Generation Intel® Core™ i5 Processors,4th Generation Intel® Core™ i7 Processors,Intel® Celeron® Processor 2000 Series,4th Generation Intel® Core™ i7 Processors,Intel® Xeon Phi™ x100 Product Family,Intel® Xeon Phi™ x100 Product Family,Intel® Xeon Phi™ x100 Product Family,Intel® Xeon Phi™ x100 Product Family,Intel® Xeon Phi™ x100 Product Family,4th Generation Intel® Core™ i5 Processors,4th Generation Intel® Core™ i3 Processors,4th Generation Intel® Core™ i3 Processors,4th Generation Intel® Core™ i5 Processors,4th Generation Intel® Core™ i5 Processors,4th Generation Intel® Core™ i7 Processors,4th Generation Intel® Core™ i7 Processors,4th Generation Intel® Core™ i7 Processors,4th Generation Intel® Core™ i7 Processors,4th Generation Intel® Core™ i7 Processors,4th Generation Intel® Core™ i5 Processors,4th Generation Intel® Core™ i3 Processors,4th Generation Intel® Core™ i3 Processors,4th Generation Intel® Core™ i5 Processors,4th Generation Intel® Core™ i5 Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Intel® Celeron® Processor G Series,Intel® Celeron® Processor G Series,4th Generation Intel® Core™ i3 Processors,4th Generation Intel® Core™ i5 Processors,4th Generation Intel® Core™ i5 Processors,4th Generation Intel® Core™ i7 Processors,4th Generation Intel® Core™ i3 Processors,4th Generation Intel® Core™ i3 Processors,4th Generation Intel® Core™ i5 Processors,4th Generation Intel® Core™ i5 Processors,4th Generation Intel® Core™ i5 Processors,4th Generation Intel® Core™ i5 Processors,4th Generation Intel® Core™ i7 Processors,4th Generation Intel® Core™ i7 Processors,Intel® Celeron® Processor 2000 Series,Intel® Pentium® Processor 3000 Series,Intel® Pentium® Processor 3000 Series,4th Generation Intel® Core™ i5 Processors,4th Generation Intel® Core™ i5 Processors,4th Generation Intel® Core™ i7 Processors,4th Generation Intel® Core™ i5 Processors,Intel® Celeron® Processor 2000 Series,Intel® Pentium® Processor 3000 Series,4th Generation Intel® Core™ i3 Processors,4th Generation Intel® Core™ i3 Processors,4th Generation Intel® Core™ i7 Processors,4th Generation Intel® Core™ i3 Processors,Intel® Pentium® Processor G Series,Intel® Pentium® Processor G Series,Intel® Pentium® Processor G Series,Intel® Pentium® Processor G Series,Intel® Pentium® Processor G Series,4th Generation Intel® Core™ i3 Processors,Intel® Pentium® Processor 1000 Series
Vertical Segment,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Mobile,Desktop,Desktop,Desktop,Mobile,Mobile,Desktop,Desktop,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Desktop,Mobile,Mobile,Mobile,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Mobile,Desktop,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Server,Server,Server,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Server,Server,Server,Server,Server,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Embedded,Embedded,Embedded,Desktop,Mobile,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Mobile,Mobile,Mobile,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Server,Server,Server,Server,Server,Server,Server,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Desktop,Desktop,Desktop,Desktop,Desktop,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Server,Server,Server,Server,Server,Server,Embedded,Embedded,Embedded,Mobile,Embedded,Server,Server,Server,Server,Server,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Embedded,Embedded,Embedded,Embedded,Mobile,Desktop,Desktop,Desktop,Desktop,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Desktop,Desktop,Desktop,Mobile,Mobile,Mobile,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Embedded,Mobile
Processor Number,G550T,i5-3330,i5-3330S,G2120,i3-3240,i3-3225,i3-3220,i3-3220T,G2100T,i3-3240T,987,i5-3350P,G555,G645,997,887,G465,G645T,Z2480,Z2580,Z2560,Z2760,i3-2365M,Z2420,i7-3970X,i7-3840QM,i7-3740QM,i3-2328M,G2130,i3-3210,G2020T,G2020,G2010,G1610,G1620,G1610T,i7-3940XM,G2120T,B830,2020M,i7-3540M,i5-3380M,i5-3340M,i7-3687U,i5-3437U,S1260,S1240,S1220,i7-3632QM,i7-3630QM,i7-3635QM,i3-3120M,2117U,i7-3632QM,9560,9550,9540,9520,5110P,1020M,1037U,i3-3229Y,i5-3339Y,i5-3439Y,i7-3689Y,2129Y,i7-3537U,i5-3337U,i5-3230M,i3-3227U,i3-3130M,2030M,1000M,1007U,i5-3230M,i3-2375M,,1047UE,927UE,G470,i3-2348M,i3-3250,i3-3250T,i3-3245,G2140,G2030T,G2030,i5-4200H,i5-4250U,i5-4350U,i5-4430,i5-4430S,i5-4440,i5-4440S,i5-4570,i5-4570S,i5-4570T,i5-4670,i5-4670K,i5-4670S,i5-4670T,E3-1220LV3,E3-1220 v3,E3-1230Lv3,E3-1230 v3,E3-1240 v3,E3-1270 v3,E3-1280 v3,1019Y,i3-4000M,i3-4005U,i3-4010U,i3-4100U,i7-4550U,i7-4650U,i7-4700HQ,i7-4700MQ,i7-4702HQ,i7-4702MQ,i7-4765T,i7-4770,i7-4770K,i7-4770S,i7-4770T,i7-4800MQ,i7-4900MQ,i7-4930MX,2127U,1017U,1005M,Z2520,i5-4200U,i7-4500U,E3-1225V3,E3-1245 v3,E3-1265Lv3,E3-1275 v3,E3-1285 v3,E3-1285Lv3,E3-1268LV3,i5-4570TE,i7-4700EQ,2955U,i7-4770TE,3120A,3120P,7120P,7120X,5120D,i5-4200Y,i3-4010Y,i3-4158U,i5-4258U,i5-4288U,i7-4558U,i7-4950HQ,i7-4850HQ,i7-4750HQ,i7-4960HQ,i5-4400E,i3-4100E,i3-4102E,i5-4402E,i5-4300U,i5-3340,i5-3340S,G1630,G1620T,i3-4100M,i5-4300M,i5-4200M,i7-4600M,i3-4012Y,i3-4020Y,i5-4202Y,i5-4210Y,i5-4300Y,i5-4302Y,i7-4600U,i7-4610Y,2980U,3556U,3560Y,i5-4570R,i5-4670R,i7-4770R,i5-4330M,2950M,3550M,i3-4130,i3-4130T,i7-4771,i3-4330,G3220,G3220T,G3420,G3420T,G3430,i3-4330TE,A1018
Lithography,32 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,32 nm,22 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,22 nm,22 nm,32 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,32 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,32 nm,32 nm,32 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,32 nm,32 nm,32 nm,32 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,32 nm,22 nm,22 nm,22 nm,32 nm,32 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,32 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm
Use Conditions,,,,PC/Client/Tablet,,,PC/Client/Tablet,,,,,,,,,,,,,,,,,,,,,,,,,,,,PC/Client/Tablet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Embedded Broad Market Commercial Temp |  PC/Client/Tablet,Embedded Broad Market Commercial Temp |  PC/Client/Tablet,Embedded Broad Market Commercial Temp |  PC/Client/Tablet,,,,,,,,,,,,,,,,,Embedded Broad Market Commercial Temp |  PC/Client/Tablet,,,,,,,,,,,,,,,,Industrial Commercial Temp |  Embedded Broad Market Commercial Temp |  PC/Client/Tablet,,,Industrial Commercial Temp,,,,,,,,PC/Client/Tablet,,,,,,,,,,,Embedded Broad Market Commercial Temp |  PC/Client/Tablet,,,PC/Client/Tablet,,,Embedded Broad Market Commercial Temp |  PC/Client/Tablet,Embedded Broad Market Commercial Temp |  PC/Client/Tablet,Industrial Commercial Temp,,Embedded Broad Market Commercial Temp |  PC/Client/Tablet,,,,,,,,,,,,,,,,Industrial Commercial Temp,Industrial Commercial Temp,Industrial Commercial Temp,Industrial Commercial Temp,Industrial Commercial Temp |  Embedded Broad Market Commercial Temp |  PC/Client/Tablet,,,,,,,,,,,,,,,,,Industrial Commercial Temp |  Embedded Broad Market Commercial Temp |  PC/Client/Tablet,,,,,,,,,,,,Embedded Broad Market Commercial Temp |  PC/Client/Tablet,,,Embedded Broad Market Commercial Temp |  PC/Client/Tablet,,,Embedded Broad Market Commercial Temp |  PC/Client/Tablet,
Recommended Customer Price,,$182.00-$187.00,,$82.00,$117.00,$134.00,$117.00,$117.00,,$117.00,,$177.00,$52.00,$64.00,,,$37.00,$64.00,,,,,,,$1059.00,,$380.00,,$82.00,$117.00,,$64.00,$64.00,$42.00,$42.00,$42.00,,,,$134.00,,$269.00,$227.00,,,,$64.00,$54.00,,,,,,,$4650.00,$3750.00,$2650.00,$1350.00,,,,,,,,,,,,,,,,,,,,,,$37.00,,$117.00,,$144.00,$93.00,,$64.00,,,,$187.00,,$187.00,$187.00,$192.00-$202.00,$195.00,$195.00,$224.00,$243.00,,$213.00,,,,$250.00,$273.00,$339.00,,,,,,,,,,,,,,$312.00,$350.00,,,$380.00,$570.00,,,,,,$281.00,,,$287.00,,$339.00-$350.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,$182.00-$187.00,$187.00,$52.00,,,$227.00,,,,,,,,,,,,,,,,,,,,$117.00,$117.00,$320.00,$147.00,$54.00,,$82.00,,$93.00,,

CPU Specifications
Total Cores,2,4,4,2,2,2,2,2,2,2,2,4,2,2,2,2,1,2,1,2,2,2,2,1,6,4,4,2,2,2,2,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,2,4,4,4,2,2,4,8,4,8,4,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,2,4,4,4,4,2,4,4,4,4,4,4,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,4,4,4,4,4,4,4,2,4,2,4,,,,,,2,2,2,2,2,2,4,4,4,4,2,2,2,2,2,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,2,2,2,2,2,4,2,2,2,2,2,2,2,2
