ARK | Intel® Product Specification Comparison
01/25/2024 11:25:40 AM
 ,Intel® Core™ i7-1370PRE Processor ,Intel® Core™ i7-1366URE Processor ,Intel® Core™ i7-1365URE Processor ,64-bit Intel® Xeon® Processor LV 2.80 GHz, 1M Cache, 800 MHz FSB ,Intel® Celeron® D Processor 315 ,Intel® Celeron® D Processor 315/315J ,Intel® Celeron® D Processor 320 ,Intel® Celeron® D Processor 325 ,Intel® Celeron® D Processor 325/325J ,Intel® Celeron® D Processor 325J ,Intel® Celeron® D Processor 326 ,Intel® Celeron® D Processor 330 ,Intel® Celeron® D Processor 330/330J ,Intel® Celeron® D Processor 330J ,Intel® Celeron® D Processor 335 ,Intel® Celeron® D Processor 335/335J ,Intel® Celeron® D Processor 335J ,Intel® Celeron® D Processor 340 ,Intel® Celeron® D Processor 340J ,Intel® Celeron® D Processor 345 ,Intel® Celeron® D Processor 345J ,Intel® Celeron® M Processor 320 ,Intel® Celeron® M Processor 370 ,Intel® Celeron® M Processor ULV 373 ,Intel® Celeron® Processor 1.70 GHz, 128K Cache, 400 MHz FSB ,Intel® Celeron® Processor 2.00 GHz, 128K Cache, 400 MHz FSB ,Intel® Celeron® Processor 2.50 GHz, 128K Cache, 400 MHz FSB ,Intel® Celeron® Processor 300 MHz, 128K Cache, 66 MHz FSB ,Intel® Celeron® Processor 366 MHz, 128K Cache, 66 MHz FSB ,Intel® Celeron® Processor 433 MHz, 128K Cache, 66 MHz FSB ,Intel® Celeron® Processor 566 MHz, 128K Cache, 66 MHz FSB ,Intel® Celeron® Processor 733 MHz, 128K Cache, 66 MHz FSB ,Intel® Celeron® Processor 850 MHz, 128K Cache, 100 MHz FSB ,Intel® Xeon® Processor 2.00 GHz, 512K Cache, 533 MHz FSB ,Intel® Xeon® Processor 2.40 GHz, 512K Cache, 533 MHz FSB ,Intel® Xeon® Processor 2.80 GHz, 512K Cache, 533 MHz FSB ,Intel® Xeon® Processor LV 1.60 GHz, 512K Cache, 400 MHz FSB ,Intel® Xeon® Processor LV 2.40 GHz, 512K Cache, 400 MHz FSB ,Mobile Intel® Celeron® Processor 1.20 GHz, 256K Cache, 400 MHz FSB ,Mobile Intel® Celeron® Processor 1.40 GHz, 256K Cache, 400 MHz FSB ,Mobile Intel® Celeron® Processor 1.50 GHz, 256K Cache, 400 MHz FSB ,Mobile Intel® Celeron® Processor 1.60 GHz, 256K Cache, 400 MHz FSB ,Mobile Intel® Celeron® Processor 2.20 GHz, 256K Cache, 400 MHz FSB ,Mobile Intel® Celeron® Processor 2.40 GHz, 256K Cache, 400 MHz FSB ,Mobile Intel® Celeron® Processor LV 650 MHz, 256K Cache, 100 MHz FSB ,Mobile Intel® Pentium® 4 Processor - M 1.70 GHz, 512K Cache, 400 MHz FSB ,Mobile Intel® Pentium® 4 Processor - M 2.20 GHz, 512K Cache, 400 MHz FSB ,Intel® Pentium® 4 Processor 2.00 GHz, 512K Cache, 400 MHz FSB ,Intel® Pentium® 4 Processor 2.20 GHz, 512K Cache, 400 MHz FSB ,Intel® Pentium® 4 Processor 2.40 GHz, 512K Cache, 400 MHz FSB ,Intel® Pentium® 4 Processor 2.40 GHz, 512K Cache, 533 MHz FSB ,Intel® Pentium® 4 Processor 2.50 GHz, 512K Cache, 400 MHz FSB ,Intel® Pentium® 4 Processor 2.60 GHz, 512K Cache, 400 MHz FSB ,Intel® Pentium® 4 Processor 2.80 GHz, 512K Cache, 533 MHz FSB ,Intel® Pentium® 4 Processor 505/505J ,Intel® Pentium® 4 Processor 506 ,Intel® Pentium® 4 Processor 519K ,Intel® Pentium® 4 Processor 520 supporting HT Technology ,Intel® Pentium® 4 Processor 520J supporting HT Technology ,Intel® Pentium® 4 Processor 530/530J supporting HT Technology ,Intel® Pentium® 4 Processor 530J supporting HT Technology ,Intel® Pentium® 4 Processor 531 supporting HT Technology ,Intel® Pentium® 4 Processor 540/540J supporting HT Technology ,Intel® Pentium® 4 Processor 541 supporting HT Technology ,Intel® Pentium® 4 Processor 550 supporting HT Technology ,Intel® Pentium® 4 Processor 550J supporting HT Technology ,Intel® Pentium® 4 Processor 551 supporting HT Technology ,Intel® Pentium® 4 Processor 570J supporting HT Technology ,Intel® Pentium® 4 Processor 640 supporting HT Technology ,Intel® Pentium® 4 Processor 650 supporting HT Technology ,Intel® Pentium® 4 Processor 660 supporting HT Technology ,Pentium® 4 Processor Extreme Edition supporting HT Technology 3.46 GHz, 2M Cache, 1066 MHz FSB ,Pentium® 4 Processor Extreme Edition supporting HT Technology 3.73 GHz, 2M Cache, 1066 MHz FSB ,Intel® Pentium® 4 Processor supporting HT Technology 2.80E GHz, 1M Cache, 800 MHz FSB ,Intel® Pentium® 4 Processor supporting HT Technology 3.00 GHz, 1M Cache, 800 MHz FSB ,Intel® Pentium® 4 Processor supporting HT Technology 3.20 GHz, 1M Cache, 800 MHz FSB ,Intel® Pentium® 4 Processor supporting HT Technology 3.20E GHz, 1M Cache, 800 MHz FSB ,Intel® Pentium® 4 Processor supporting HT Technology 3.40 GHz, 1M Cache, 800 MHz FSB ,Intel® Pentium® 4 Processor supporting HT Technology 3.40E GHz, 1M Cache, 800 MHz FSB ,Intel® Pentium® 4 Processor supporting HT Technology 3.00E GHz, 1M Cache, 800 MHz FSB ,Intel® Pentium® D Processor 805 ,Intel® Pentium® D Processor 820 ,Intel® Pentium® D Processor 830 ,Intel® Pentium® D Processor 840 ,Intel® Pentium® III Processor - S 1.26 GHz, 512K Cache, 133 MHz FSB ,Intel® Pentium® III Processor 1.00 GHz, 256K Cache, 100 MHz FSB ,Intel® Pentium® III Processor 1.00 GHz, 256K Cache, 133 MHz FSB ,Intel® Pentium® III Processor 600 MHz, 256K Cache, 100 MHz FSB ,Intel® Pentium® III Processor 700 MHz, 256K Cache, 100 MHz FSB ,Intel® Pentium® III Processor 733 MHz, 256K Cache, 133 MHz FSB ,Intel® Pentium® III Processor 850 MHz, 256K Cache, 100 MHz FSB ,Intel® Pentium® III Processor 866 MHz, 256K Cache, 133 MHz FSB ,Intel® Pentium® M Processor 1.60 GHz, 1M Cache, 400 MHz FSB ,Intel® Pentium® M Processor 725 ,Intel® Pentium® M Processor 745 ,Intel® Pentium® M Processor 745A ,Intel® Pentium® M Processor 760 ,Intel® Pentium® M Processor LV 1.10 GHz, 1M Cache, 400 MHz FSB ,Intel® Pentium® M Processor LV 738 ,Intel® Pentium® Processor Extreme Edition 840 ,64-bit Intel® Xeon® Processor 3.20 GHz, 1M Cache, 800 MHz FSB ,Intel® Pentium® III Processor - S 800 MHz, 512K Cache, 133 MHz FSB ,Intel® Pentium® III Processor - S 933 MHz, 512K Cache, 133 MHz FSB ,Intel® Celeron® M Processor 600 MHz, 512K Cache, 400 MHz FSB 
Essentials
Product Collection,13th Generation Intel® Core™ i7 Processors,13th Generation Intel® Core™ i7 Processors,13th Generation Intel® Core™ i7 Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Xeon® Processors,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Celeron® Processor
Vertical Segment,Embedded,Embedded,Embedded,Server,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Mobile,Mobile,Mobile,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Server,Server,Server,Server,Server,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Server,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Desktop,Server,Server,Server,Mobile
Processor Number,i7-1370PRE,i7-1366URE,i7-1365URE,,315,315J,320,325,326,325J,326,330,330,330J,335,335,335J,340,340J,345,345J,320,370,373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,505J,506,519K,520,520J,530,530J,531,540,541,550,550,551,570,640,650,660,,,,,,,,,,805,820,830,840,,,,,,,,,,725,745,745A,760,,738,840,,,,
Lithography,Intel 7,Intel 7,Intel 7,90 nm,90 nm,90 nm,90 nm,90 nm,90 nm,90 nm,90 nm,90 nm,90 nm,90 nm,90 nm,90 nm,90 nm,90 nm,90 nm,90 nm,90 nm,130 nm,90 nm,90 nm,130 nm,130 nm,130 nm,250 nm,250 nm,250 nm,180 nm,180 nm,180 nm,130 nm,130 nm,130 nm,130 nm,130 nm,130 nm,130 nm,130 nm,130 nm,130 nm,130 nm,130 nm,130 nm,130 nm,130 nm,130 nm,130 nm,130 nm,130 nm,130 nm,130 nm,90 nm,90 nm,90 nm,90 nm,90 nm,90 nm,90 nm,90 nm,90 nm,90 nm,90 nm,90 nm,90 nm,90 nm,90 nm,90 nm,90 nm,130 nm,90 nm,90 nm,90 nm,90 nm,90 nm,90 nm,90 nm,90 nm,90 nm,90 nm,90 nm,90 nm,130 nm,180 nm,180 nm,180 nm,180 nm,180 nm,180 nm,180 nm,130 nm,90 nm,90 nm,90 nm,90 nm,130 nm,90 nm,90 nm,90 nm,130 nm,130 nm,130 nm
Use Conditions,Industrial Extended Temp,Industrial Extended Temp,Industrial Extended Temp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Recommended Customer Price,$477.00,$493.00,$463.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$93.00,$74.00,$316.00,$423.00,,,,,,,,,,,,,,,,,,,,

CPU Specifications
Total Cores,14,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# of Performance-cores,6,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
