ARK | Intel® Product Specification Comparison
01/10/2026 12:05:48 AM
 ,Intel® Xeon® 6718P-B Processor ,Intel® Xeon® 6518P-B Processor ,Intel® Core™ Ultra 7 Processor 365 ,Intel® Core™ Ultra 5 Processor 322 ,Intel® Core™ Ultra 5 Processor 332 ,Intel® Core™ Ultra 5 Processor 325 ,Intel® Core™ Ultra 7 Processor 355 ,Intel® Core™ Ultra 5 Processor 335 ,Intel® Xeon® 6768P-B Processor ,Intel® Xeon® 6718P-B Processor ,Intel® Xeon® 6518P-B Processor ,Intel® Core™ Ultra 7 Processor 365 ,Intel® Core™ Ultra 5 Processor 322 ,Intel® Core™ Ultra 5 Processor 332 ,Intel® Core™ Ultra 5 Processor 325 ,Intel® Core™ Ultra 7 Processor 355 ,Intel® Core™ Ultra 5 Processor 335 ,Intel® Xeon® 6768P-B Processor 
Essentials
Product Collection,Intel® Xeon® 6 processors,Intel® Xeon® 6 processors,Intel® Core™ Ultra Series 3 processors,Intel® Core™ Ultra Series 3 processors,Intel® Core™ Ultra Series 3 processors,Intel® Core™ Ultra Series 3 processors,Intel® Core™ Ultra Series 3 processors,Intel® Core™ Ultra Series 3 processors,Intel® Xeon® 6 processors,Intel® Xeon® 6 processors,Intel® Xeon® 6 processors,Intel® Core™ Ultra Series 3 processors,Intel® Core™ Ultra Series 3 processors,Intel® Core™ Ultra Series 3 processors,Intel® Core™ Ultra Series 3 processors,Intel® Core™ Ultra Series 3 processors,Intel® Core™ Ultra Series 3 processors,Intel® Xeon® 6 processors
Vertical Segment,Server,Server,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Server,Server,Server,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Server
Processor Number,6718P-B,6518P-B,365,322,332,325,355,335,6768P-B,6718P-B,6518P-B,365,322,332,325,355,335,6768P-B
Lithography,Intel 3,Intel 3,,,,,,,Intel 3,Intel 3,Intel 3,,,,,,,Intel 3
Recommended Customer Price,,,$1689.00-$1699.00,$739.00,,,$609.00,$325.00,$1339.00-$1349.00,$117.00,,$47.00,$341.00,$331.00,,$127.00,$39.00,$42.00,,$426.00,$392.00,$392.00,$459.00,,$228.00,$557.00,$228.00,$430.00,$277.00,$279.00,$399.00,$309.00,$107.00,,$457.00,$285.00,$285.00,$311.00,$107.00,$426.00,$3949.00,$239.00,$239.00,$557.00,,$325.00,,$341.00,$331.00,,,,$3297.00,$459.00,$447.00,,,$279.00,,,$457.00,$311.00,$1689.00-$1699.00,$3949.00,,$8513.00,,$2689.00-$2699.00,$7692.00,$3297.00,$4447.00,,,$1689.00-$1699.00,$3789.00-$3799.00,$1339.00,$2339.00,$2689.00-$2699.00,$2039.00,$3789.00-$3799.00,$9625.00,$9625.00,$12460.00,$12460.00,,$10220.00,,,,,,,,,,$549.00,$589.00-$599.00,$549.00-$579.00,$379.00-$389.00,$394.00-$404.00,$369.00-$379.00,$384.00,$294.00-$304.00,$309.00-$319.00,$384.00-$394.00,$221.00-$231.00,$236.00-$246.00,$319.00,$213.00,$281.00,$556.00,$426.00,$506.00,$375.00,$606.00,,,,,$9115.00,,,,,$247.00-$257.00,,,,,,$6497.00,$4421.00,$3726.00,$8960.00,$7803.00,$19000.00,$4650.00,$16000.00,$6570.00,$10400.00,$9595.00,,,,,$236.00,$247.00,$270.00,$270.00,,,,,,,,$4995.00,$6540.00,$1250.00,$2700.00,$2234.00,$12702.00,$3351.00,$1295.00,$5295.00,$2878.00,$2478.00,$1195.00,$815.00,$563.00,$765.00,$740.00,$3622.00,$2816.00,$221.00,$232.00,$232.00,$134.00,$384.00,$221.00,$384.00,$134.00,$6850.00,$3795.00,$934.00,$1544.00,$1795.00,$1450.00,$2368.00,$2206.00,$2402.00,$3200.00,$2616.00,$2628.00,$3200.00,$1399.00,$5250.00,$9875.00,$6760.00,$269.00,$269.00,,,$9925.00,$11025.00,$150.00,$75.00,,$3845.00,$5040.00,$4200.00,$3990.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Recommended Customer Price,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

CPU Specifications
Total Cores,40,20,8,6,6,8,8,8,64,40,20,8,6,6,8,8,8,64
# of Performance-cores,40,20,4,2,2,4,4,4,64,40,20,4,2,2,4,4,4,64
Total Threads,80,40,8,6,6,8,8,8,128,80,40,8,6,6,8,8,8,128
Max Turbo Frequency,3.5 GHz,3.5 GHz,4.8 GHz,4.4 GHz,4.4 GHz,4.5 GHz,4.7 GHz,4.6 GHz,3.5 GHz,3.5 GHz,3.5 GHz,4.8 GHz,4.4 GHz,4.4 GHz,4.5 GHz,4.7 GHz,4.6 GHz,3.5 GHz
Processor Base Frequency,2.5 GHz,2 GHz,,,,,,,2.2 GHz,2.5 GHz,2 GHz,,,,,,,2.2 GHz
Cache,160 MB,80 MB,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,256 MB,160 MB,80 MB,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,256 MB
Max # of UPI Links,0,0,,,,,,,0,0,0,,,,,,,0
Bus Speed,0.000 GT/s,0.000 GT/s,,,,,,,0.000 GT/s,0.000 GT/s,0.000 GT/s,,,,,,,0.000 GT/s
TDP,235 W,150 W,,,,,,,325 W,235 W,150 W,,,,,,,325 W
