ARK | Intel® Product Specification Comparison
01/25/2024 11:23:23 AM
 ,Intel® Xeon® Gold 5118 Processor ,Intel® Xeon® Gold 5120 Processor ,Intel® Xeon® Gold 5122 Processor ,Intel® Xeon® Gold 6138 Processor ,Intel® Xeon® Gold 5120T Processor ,Intel® Xeon® Gold 6136 Processor ,Intel® Xeon® Silver 4116 Processor ,Intel® Xeon® Gold 6128 Processor ,Intel® Xeon® Gold 6126 Processor ,Intel® Xeon® Gold 5115 Processor ,Intel® Xeon® Gold 6140 Processor ,Intel® Xeon® Gold 6142 Processor ,Intel® Xeon® Gold 6148 Processor ,Intel® Xeon® Gold 6150 Processor ,Intel® Xeon® Gold 6152 Processor ,Intel® Xeon® Gold 6130 Processor ,Intel® Xeon® Gold 6134 Processor ,Intel® Xeon® Gold 6154 Processor ,Intel® Xeon® Platinum 8180 Processor ,Intel® Xeon® Platinum 8153 Processor ,Intel® Xeon® Platinum 8156 Processor ,Intel® Xeon® Platinum 8158 Processor ,Intel® Xeon® Platinum 8160 Processor ,Intel® Xeon® Platinum 8164 Processor ,Intel® Xeon® Platinum 8168 Processor ,Intel® Xeon® Platinum 8170 Processor ,Intel® Xeon® Platinum 8176 Processor ,Intel® Core™ i7-7740X X-series Processor ,Intel® Core™ i5-7640X X-series Processor ,Intel® Core™ i7-8550U Processor ,Intel® Pentium® Gold Processor 4415Y ,Intel® Celeron® Processor 3965Y ,Intel® Celeron® Processor G3930E ,Intel® Celeron® Processor G3930TE ,Intel® Itanium® Processor 9740 ,Intel® Itanium® Processor 9720 ,Intel® Itanium® Processor 9760 ,Intel® Itanium® Processor 9750 ,Intel® Xeon® Processor D-1533N ,Intel® Xeon® Processor D-1513N ,Intel® Xeon® Processor D-1543N ,Intel® Xeon® Processor D-1523N ,Intel® Xeon® Processor D-1553N ,Intel Atom® Processor C2316 ,Intel Atom® Processor C2516 ,Intel® Xeon® Bronze 3106 Processor ,Intel® Xeon® Gold 6132 Processor ,Intel® Xeon® Gold 6138T Processor ,Intel® Xeon® Platinum 8160T Processor ,Intel® Xeon® Silver 4108 Processor ,Intel® Xeon® Gold 6130T Processor ,Intel® Xeon® Bronze 3104 Processor ,Intel® Xeon® Silver 4110 Processor ,Intel® Xeon® Gold 6126T Processor ,Intel® Xeon® Silver 4109T Processor ,Intel® Xeon® Silver 4114 Processor ,Intel® Xeon® Silver 4112 Processor ,Intel® Core™ i7-7800X X-series Processor ,Intel® Core™ i9-7900X X-series Processor ,Intel® Xeon® Gold 6142F Processor ,Intel® Xeon® Gold 6138F Processor ,Intel® Xeon® Platinum 8160F Processor ,Intel® Xeon® Gold 6130F Processor ,Intel® Xeon® Gold 6126F Processor ,Intel® Xeon® Gold 6148F Processor ,Intel® Core™ i7-7820X X-series Processor ,Intel® Xeon® Gold 6146 Processor ,Intel® Xeon® Gold 6144 Processor ,Intel® Core™ i5-8250U Processor ,Intel® Core™ i7-8650U Processor ,Intel® Core™ i5-8350U Processor ,Intel® Core™ i3-7130U Processor ,Intel® Xeon® W-2123 Processor ,Intel® Xeon® W-2133 Processor ,Intel® Xeon® W-2155 Processor ,Intel® Xeon® Platinum 8176F Processor ,Intel® Xeon® Silver 4114T Processor ,Intel® Xeon® Gold 5119T Processor ,Intel® Xeon® Silver 4116T Processor ,Intel® Core™ i9-7920X X-series Processor ,Intel® Core™ i7-8700K Processor ,Intel® Core™ i5-8600K Processor ,Intel® Core™ i7-8700 Processor ,Intel® Core™ i5-8400 Processor ,Intel® Core™ i3-8100 Processor ,Intel® Core™ i3-8350K Processor ,Intel® Core™ i9-7940X X-series Processor ,Intel® Core™ i9-7960X X-series Processor ,Intel® Core™ i9-7980XE Extreme Edition Processor ,Intel® Xeon® W-2145 Processor ,Intel® Xeon® W-2125 Processor ,Intel® Xeon® W-2135 Processor ,Intel® Xeon® W-2195 Processor ,Intel® Xeon Phi™ Processor 7295 ,Intel® Xeon Phi™ Processor 7285 ,Intel® Xeon Phi™ Processor 7235 ,Intel® Celeron® Processor N4100 ,Intel® Pentium® Silver J5005 Processor ,Intel® Celeron® Processor N4000 ,Intel® Celeron® J4105 Processor ,Intel® Pentium® Silver N5000 Processor ,Intel® Celeron® J4005 Processor ,Intel® Xeon® W-2175 Processor ,Intel® Core™ i5-8305G Processor with Radeon™ RX Vega M GL graphics ,Intel® Core™ i7-8809G Processor with Radeon™ RX Vega M GH graphics ,Intel® Core™ i7-8705G Processor with Radeon™ RX Vega M GL graphics ,Intel® Xeon® E-2176G Processor ,Intel® Core™ i3-8100H Processor ,Intel® Core™ i5-9500TE Processor ,Intel® Core™ i3-6006U Processor ,Intel Atom® x3-C3235RK Processor ,Intel Atom® x3-C3205RK Processor ,Intel Atom® x5-E3940 Processor ,Intel Atom® x5-E3930 Processor ,Intel Atom® x7-E3950 Processor ,Intel® Celeron® Processor 3965U ,Intel® Celeron® Processor 3865U ,Intel® Pentium® Gold Processor 4415U ,Intel® Xeon® Processor E5-2699A v4 ,Intel® Xeon® Processor E7-8894 v4 ,Intel® Xeon® Processor E5-2699R v4 ,Intel® Core™ i5-7500T Processor ,Intel® Core™ i7-7700T Processor ,Intel® Core™ i5-7500 Processor ,Intel® Core™ i3-7102E Processor ,Intel® Core™ i3-7101TE Processor ,Intel® Core™ i3-7100H Processor ,Intel® Core™ i7-7820EQ Processor ,Intel® Core™ i7-7700 Processor ,Intel® Core™ i7-7700K Processor ,Intel® Core™ i3-7101E Processor ,Intel® Core™ i3-7100E Processor ,Intel Atom® x3-C3265RK Processor ,Intel Atom® x3-C3295RK Processor ,Intel® Pentium® Gold Processor 4410Y ,Intel® Pentium® Processor G4560 ,Intel® Core™ i5-7600K Processor ,Intel® Core™ i5-7400 Processor ,Intel® Core™ i5-7600 Processor ,Intel® Core™ i5-7600T Processor ,Intel® Core™ i5-7400T Processor ,Intel® Core™ i7-7700HQ Processor ,Intel® Celeron® Processor G3950 ,Intel® Celeron® Processor G3930 ,Intel® Pentium® Processor G4600 ,Intel® Core™ i3-7100 Processor ,Intel® Core™ i5-7300HQ Processor ,Intel® Core™ i3-7300T Processor ,Intel® Core™ i3-7300 Processor ,Intel® Core™ i5-7440HQ Processor ,Intel® Pentium® Processor G4620 ,Intel® Core™ i5-7Y57 Processor ,Intel® Core™ i7-7920HQ Processor ,Intel® Xeon® Processor E3-1505M v6 ,Intel® Core™ i7-7820HK Processor ,Intel® Pentium® Processor G4560T ,Intel® Celeron® Processor G3930T ,Intel® Xeon® Processor E3-1535M v6 ,Intel® Xeon® Processor E3-1240 v6 ,Intel® Xeon® Processor E3-1220 v6 ,Intel® Core™ i5-7300U Processor ,Intel® Xeon® Processor E3-1245 v6 ,Intel® Xeon® Processor E3-1230 v6 ,Intel® Xeon® Processor E3-1280 v6 ,Intel® Xeon® Processor E3-1225 v6 ,Intel® Xeon® Processor E3-1275 v6 ,Intel® Xeon® Processor E3-1270 v6 ,Intel® Core™ i3-7320 Processor ,Intel® Core™ i3-7100T Processor ,Intel® Pentium® Processor G4600T ,Intel® Core™ i7-7820HQ Processor ,Intel® Core™ i5-7440EQ Processor ,Intel® Core™ i3-7350K Processor ,Intel® Core™ i5-7267U Processor ,Intel® Core™ i5-7287U Processor ,Intel® Core™ i5-7442EQ Processor ,Intel® Core™ i5-7360U Processor ,Intel® Core™ i7-7660U Processor ,Intel® Core™ m3-7Y32 Processor ,Intel® Core™ i5-7260U Processor ,Intel® Core™ i7-7560U Processor ,Intel® Core™ i7-7567U Processor ,Intel® Core™ i3-7167U Processor ,Intel Atom® Processor C3758 ,Intel Atom® Processor C3958 ,Intel Atom® Processor C3338 ,Intel Atom® Processor C3538 ,Intel Atom® Processor C3508 ,Intel Atom® Processor C3830 ,Intel Atom® Processor C3850 ,Intel Atom® Processor C3955 ,Intel Atom® Processor C3708 ,Intel Atom® Processor C3308 ,Intel Atom® Processor C3858 ,Intel Atom® Processor C3558 ,Intel Atom® Processor C3750 ,Intel Atom® Processor C3808 ,Intel Atom® Processor C3950 ,Intel® Xeon® Processor E3-1505L v6 ,Intel® Xeon® Processor E3-1285 v6 
Essentials
Product Collection,Intel® Xeon® Scalable Processors,Intel® Xeon® Scalable Processors,Intel® Xeon® Scalable Processors,Intel® Xeon® Scalable Processors,Intel® Xeon® Scalable Processors,Intel® Xeon® Scalable Processors,Intel® Xeon® Scalable Processors,Intel® Xeon® Scalable Processors,Intel® Xeon® Scalable Processors,Intel® Xeon® Scalable Processors,Intel® Xeon® Scalable Processors,Intel® Xeon® Scalable Processors,Intel® Xeon® Scalable Processors,Intel® Xeon® Scalable Processors,Intel® Xeon® Scalable Processors,Intel® Xeon® Scalable Processors,Intel® Xeon® Scalable Processors,Intel® Xeon® Scalable Processors,Intel® Xeon® Scalable Processors,Intel® Xeon® Scalable Processors,Intel® Xeon® Scalable Processors,Intel® Xeon® Scalable Processors,Intel® Xeon® Scalable Processors,Intel® Xeon® Scalable Processors,Intel® Xeon® Scalable Processors,Intel® Xeon® Scalable Processors,Intel® Xeon® Scalable Processors,Intel® Core™ X-series Processors,Intel® Core™ X-series Processors,8th Generation Intel® Core™ i7 Processors,Intel® Pentium® Gold Processor Series,Intel® Celeron® Processor 3000 Series,Intel® Celeron® Processor G Series,Intel® Celeron® Processor G Series,Intel® Itanium® Processor 9700 Series,Intel® Itanium® Processor 9700 Series,Intel® Itanium® Processor 9700 Series,Intel® Itanium® Processor 9700 Series,Intel® Xeon® D Processor,Intel® Xeon® D Processor,Intel® Xeon® D Processor,Intel® Xeon® D Processor,Intel® Xeon® D Processor,Intel Atom® Processor C Series,Intel Atom® Processor C Series,Intel® Xeon® Scalable Processors,Intel® Xeon® Scalable Processors,Intel® Xeon® Scalable Processors,Intel® Xeon® Scalable Processors,Intel® Xeon® Scalable Processors,Intel® Xeon® Scalable Processors,Intel® Xeon® Scalable Processors,Intel® Xeon® Scalable Processors,Intel® Xeon® Scalable Processors,Intel® Xeon® Scalable Processors,Intel® Xeon® Scalable Processors,Intel® Xeon® Scalable Processors,Intel® Core™ X-series Processors,Intel® Core™ X-series Processors,Intel® Xeon® Scalable Processors,Intel® Xeon® Scalable Processors,Intel® Xeon® Scalable Processors,Intel® Xeon® Scalable Processors,Intel® Xeon® Scalable Processors,Intel® Xeon® Scalable Processors,Intel® Core™ X-series Processors,Intel® Xeon® Scalable Processors,Intel® Xeon® Scalable Processors,8th Generation Intel® Core™ i5 Processors,8th Generation Intel® Core™ i7 Processors,8th Generation Intel® Core™ i5 Processors,7th Generation Intel® Core™ i3 Processors,Intel® Xeon® W Processor,Intel® Xeon® W Processor,Intel® Xeon® W Processor,Intel® Xeon® Scalable Processors,Intel® Xeon® Scalable Processors,Intel® Xeon® Scalable Processors,Intel® Xeon® Scalable Processors,Intel® Core™ X-series Processors,8th Generation Intel® Core™ i7 Processors,8th Generation Intel® Core™ i5 Processors,8th Generation Intel® Core™ i7 Processors,8th Generation Intel® Core™ i5 Processors,8th Generation Intel® Core™ i3 Processors,8th Generation Intel® Core™ i3 Processors,Intel® Core™ X-series Processors,Intel® Core™ X-series Processors,Intel® Core™ X-series Processors,Intel® Xeon® W Processor,Intel® Xeon® W Processor,Intel® Xeon® W Processor,Intel® Xeon® W Processor,Intel® Xeon Phi™ 72x5 Processor Family,Intel® Xeon Phi™ 72x5 Processor Family,Intel® Xeon Phi™ 72x5 Processor Family,Intel® Celeron® Processor N Series,Intel® Pentium® Silver Processor Series,Intel® Celeron® Processor N Series,Intel® Celeron® Processor J Series,Intel® Pentium® Silver Processor Series,Intel® Celeron® Processor J Series,Intel® Xeon® W Processor,8th Generation Intel® Core™ i5 Processors,8th Generation Intel® Core™ i7 Processors,8th Generation Intel® Core™ i7 Processors,Intel® Xeon® E Processor,8th Generation Intel® Core™ i3 Processors,9th Generation Intel® Core™ i5 Processors,6th Generation Intel® Core™ i3 Processors,Intel Atom® Processor X Series,Intel Atom® Processor X Series,Intel Atom® Processor X Series,Intel Atom® Processor X Series,Intel Atom® Processor X Series,Intel® Celeron® Processor 3000 Series,Intel® Celeron® Processor 3000 Series,Intel® Pentium® Gold Processor Series,Intel® Xeon® Processor E5 v4 Family,Intel® Xeon® Processor E7 v4 Family,Intel® Xeon® Processor E5 v4 Family,7th Generation Intel® Core™ i5 Processors,7th Generation Intel® Core™ i7 Processors,7th Generation Intel® Core™ i5 Processors,7th Generation Intel® Core™ i3 Processors,7th Generation Intel® Core™ i3 Processors,7th Generation Intel® Core™ i3 Processors,7th Generation Intel® Core™ i7 Processors,7th Generation Intel® Core™ i7 Processors,7th Generation Intel® Core™ i7 Processors,7th Generation Intel® Core™ i3 Processors,7th Generation Intel® Core™ i3 Processors,Intel Atom® Processor X Series,Intel Atom® Processor X Series,Intel® Pentium® Gold Processor Series,Intel® Pentium® Processor G Series,7th Generation Intel® Core™ i5 Processors,7th Generation Intel® Core™ i5 Processors,7th Generation Intel® Core™ i5 Processors,7th Generation Intel® Core™ i5 Processors,7th Generation Intel® Core™ i5 Processors,7th Generation Intel® Core™ i7 Processors,Intel® Celeron® Processor G Series,Intel® Celeron® Processor G Series,Intel® Pentium® Processor G Series,7th Generation Intel® Core™ i3 Processors,7th Generation Intel® Core™ i5 Processors,7th Generation Intel® Core™ i3 Processors,7th Generation Intel® Core™ i3 Processors,7th Generation Intel® Core™ i5 Processors,Intel® Pentium® Processor G Series,7th Generation Intel® Core™ i5 Processors,7th Generation Intel® Core™ i7 Processors,Intel® Xeon® Processor E3 v6 Family,7th Generation Intel® Core™ i7 Processors,Intel® Pentium® Processor G Series,Intel® Celeron® Processor G Series,Intel® Xeon® Processor E3 v6 Family,Intel® Xeon® Processor E3 v6 Family,Intel® Xeon® Processor E3 v6 Family,7th Generation Intel® Core™ i5 Processors,Intel® Xeon® Processor E3 v6 Family,Intel® Xeon® Processor E3 v6 Family,Intel® Xeon® Processor E3 v6 Family,Intel® Xeon® Processor E3 v6 Family,Intel® Xeon® Processor E3 v6 Family,Intel® Xeon® Processor E3 v6 Family,7th Generation Intel® Core™ i3 Processors,7th Generation Intel® Core™ i3 Processors,Intel® Pentium® Processor G Series,7th Generation Intel® Core™ i7 Processors,7th Generation Intel® Core™ i5 Processors,7th Generation Intel® Core™ i3 Processors,7th Generation Intel® Core™ i5 Processors,7th Generation Intel® Core™ i5 Processors,7th Generation Intel® Core™ i5 Processors,7th Generation Intel® Core™ i5 Processors,7th Generation Intel® Core™ i7 Processors,7th Generation Intel® Core™ m Processors,7th Generation Intel® Core™ i5 Processors,7th Generation Intel® Core™ i7 Processors,7th Generation Intel® Core™ i7 Processors,7th Generation Intel® Core™ i3 Processors,Intel Atom® Processor C Series,Intel Atom® Processor C Series,Intel Atom® Processor C Series,Intel Atom® Processor C Series,Intel Atom® Processor C Series,Intel Atom® Processor C Series,Intel Atom® Processor C Series,Intel Atom® Processor C Series,Intel Atom® Processor C Series,Intel Atom® Processor C Series,Intel Atom® Processor C Series,Intel Atom® Processor C Series,Intel Atom® Processor C Series,Intel Atom® Processor C Series,Intel Atom® Processor C Series,Intel® Xeon® Processor E3 v6 Family,Intel® Xeon® Processor E3 v6 Family
Vertical Segment,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Desktop,Desktop,Mobile,Mobile,Mobile,Desktop,Desktop,Server,Server,Server,Server,Server,Server,Server,Server,Server,Embedded,Embedded,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Desktop,Desktop,Server,Server,Server,Server,Server,Server,Desktop,Server,Server,Mobile,Mobile,Mobile,Mobile,Server,Server,Server,Server,Server,Server,Server,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Server,Server,Server,Server,Server,Server,Server,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Server,Mobile,Mobile,Mobile,Server,Mobile,Embedded,Mobile,Mobile,Mobile,Embedded,Embedded,Embedded,Mobile,Mobile,Mobile,Server,Server,Embedded,Desktop,Desktop,Desktop,Embedded,Desktop,Mobile,Embedded,Desktop,Desktop,Desktop,Embedded,Mobile,Mobile,Mobile,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Mobile,Desktop,Desktop,Desktop,Desktop,Mobile,Desktop,Desktop,Mobile,Desktop,Mobile,Mobile,Mobile,Mobile,Desktop,Desktop,Mobile,Server,Server,Mobile,Server,Server,Server,Server,Server,Server,Desktop,Desktop,Desktop,Mobile,Embedded,Desktop,Mobile,Mobile,Embedded,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Embedded,Server
Processor Number,5118,5120,5122,6138,5120T,6136,4116,6128,6126,5115,6140,6142,6148,6150,6152,6130,6134,6154,8180,8153,8156,8158,8160,8164,8168,8170,8176,i7-7740X,i5-7640X,i7-8550U,4415Y,3965Y,G3930E,G3930TE,9740,9720,9760,9750,D-1533N,D-1513N,D-1543N,D-1523N,D-1553N,C2316,C2516,3106,6132,6138T,8160T,4108,6130T,3104,4110,6126T,4109T,4114,4112,i7-7800X,i9-7900X,6142F,6138F,8160F,6130F,6126F,6148F,i7-7820X,6146,6144,i5-8250U,i7-8650U,i5-8350U,i3-7130U,W-2123,W-2133,W-2155,8176F,4114T,5119T,4116T,i9-7920X,i7-8700K,i5-8600K,i7-8700,i5-8400,i3-8100,i3-8350K,i9-7940X,i9-7960X,i9-7980XE,W-2145,W-2125,W-2135,W-2195,7295,7285,7235,N4100,J5005,N4000,J4105,N5000,J4005,W-2175,i5-8305G,i7-8809G,i7-8705G,E-2176G,i3-8100H,i5-9500TE,i3-6006U,x3-C3235RK,x3-3205RK,E3940,E3930,E3950,3965U,3865U,4415U,E5-2699AV4,E7-8894V4,E5-2699RV4,i5-7500T,i7-7700T,i5-7500,i3-7102E,i3-7101TE,i3-7100H,i7-7820EQ,i7-7700,i7-7700K,i3-7101E,i3-7100E,x3-C3265RK,x3-C3295RK,4410Y,G4560,i5-7600K,i5-7400,i5-7600,i5-7600T,i5-7400T,i7-7700HQ,G3950,G3930,G4600,i3-7100,i5-7300HQ,i3-7300T,i3-7300,i5-7440HQ,G4620,i5-7Y57,i7-7920HQ,E3-1505MV6,i7-7820HK,G4560T,G3930T,E3-1535MV6,E3-1240V6,E3-1220V6,i5-7300U,E3-1245V6,E3-1230V6,E3-1280V6,E3-1225V6,E3-1275V6,E3-1270V6,i3-7320,i3-7100T,G4600T,i7-7820HQ,i5-7440EQ,i3-7350K,i5-7267U,i5-7287U,i5-7442EQ,i5-7360U,i7-7660U,M3-7Y32,i5-7260U,i7-7560U,i7-7567U,i3-7167U,C3758,C3958,C3338,C3538,C3508,C3830,C3850,C3955,C3708,C3308,C3858,C3558,C3750,C3808,C3950,E3-1505LV6,E3-1285V6
Lithography,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,,,32 nm,32 nm,32 nm,32 nm,14 nm,14 nm,14 nm,14 nm,14 nm,22 nm,22 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,,,,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,28 nm,28 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,28 nm,28 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm
Use Conditions,Server/Enterprise,,,Server/Enterprise,Communications,,Server/Enterprise,,Server/Enterprise,,,,,,,Server/Enterprise,,,,,,,,,,,,,,,,,Embedded Broad Market Commercial Temp |  PC/Client/Tablet,Embedded Broad Market Commercial Temp |  PC/Client/Tablet,,,,,Server/Enterprise,Server/Enterprise,Server/Enterprise,Server/Enterprise,Server/Enterprise,,,Server/Enterprise,,Communications Commercial Temp,Communications Commercial Temp,,Communications,,Server/Enterprise,Communications,Communications,,,,,,,,,,,,,,,,,,,,,,Communications,Communications,Communications,,,,PC/Client/Tablet,,Embedded Broad Market Commercial Temp |  PC/Client/Tablet,,,,,,,,,,,,,,,,,,,,,,PC/Client/Tablet,Embedded Broad Market Commercial Temp,Embedded Broad Market Commercial Temp,,,Industrial Commercial Temp |  Industrial Extended Temp,Industrial Extended Temp |  Embedded Broad Market Extended Temp,Industrial Extended Temp |  Embedded Broad Market Extended Temp,Industrial Extended Temp |  Embedded Broad Market Extended Temp,Industrial Commercial Temp |  Embedded Broad Market Commercial Temp |  PC/Client/Tablet,,,,,,Embedded Broad Market Commercial Temp |  PC/Client/Tablet,Embedded Broad Market Commercial Temp |  PC/Client/Tablet,Embedded Broad Market Commercial Temp |  PC/Client/Tablet,Industrial Commercial Temp |  Embedded Broad Market Commercial Temp |  PC/Client/Tablet,Embedded Broad Market Commercial Temp |  PC/Client/Tablet,,Industrial Commercial Temp |  Embedded Broad Market Commercial Temp |  PC/Client/Tablet,PC/Client/Tablet,,Embedded Broad Market Commercial Temp |  PC/Client/Tablet,Industrial Commercial Temp |  Embedded Broad Market Commercial Temp |  PC/Client/Tablet,Industrial Commercial Temp |  Industrial Extended Temp,,,,,,,,,,,,,,,,,,,,,Industrial Commercial Temp,,,,,,,Industrial Commercial Temp,,,,,PC/Client/Tablet,,,,,,Industrial Commercial Temp |  Embedded Broad Market Commercial Temp |  PC/Client/Tablet,,,,Industrial Commercial Temp |  Embedded Broad Market Commercial Temp |  PC/Client/Tablet,,,,,,,,,,,,Communications,,,,Communications,Communications,,,,Communications,,Industrial Commercial Temp |  Embedded Broad Market Commercial Temp |  PC/Client/Tablet,
Recommended Customer Price,$1273.00,$1555.00-$1561.00,$1221.00-$1227.00,$2612.00-$2618.00,$1727.00,$2460.00,$1002.00-$1012.00,$1691.00-$1697.00,$1776.00,$1221.00,$2445.00-$2451.00,$2946.00-$2952.00,$3072.00-$3078.00,$3358.00,$3655.00-$3661.00,$1894.00-$1900.00,$2214.00-$2220.00,$3543.00,$10009.00-$10015.00,$3115.00,$7007.00,$7007.00,$4702.00-$4708.00,$6114.00-$6120.00,$5890.00,$7405.00-$7411.00,$8719.00,,,,$161.00,$107.00,$42.00,$42.00,,,,,$538.00,$219.00,$746.00,$293.00,$979.00,$39.00,$64.00,$306.00-$316.00,$2111.00,$2742.00,$4936.00,$417.00-$427.00,$1988.00,$213.00-$223.00,$501.00-$511.00,$1865.00,$501.00,$694.00-$704.00,$473.00-$483.00,$383.00,,$3101.00,$2767.00,$4856.00,$2049.00,$1931.00,$3227.00,,$3286.00,$2925.00,,$409.00,,$281.00,$294.00,$617.00,$1440.00,$8874.00,$773.00,$1555.00,$1112.00,,$359.00,,$303.00,,$117.00,,,,,$1113.00,$444.00,$835.00,$2553.00,,,,,,,,,,$1947.00,,,,$406.00-$413.00,$225.00,$192.00,,,,$34.00,$26.00,$45.00,$107.00,,$161.00,$4938.00,$8898.00,$4560.00,$192.00,$303.00,$192.00,$225.00,$117.00,,$378.00,$303.00,$339.00,$117.00,$225.00,,,$161.00,,$242.00,$182.00,,,$182.00,,,,,,,,,,,$281.00,,$434.00,,,,$623.00,$272.00-$282.00,$193.00-$203.00,$281.00,$284.00-$294.00,$250.00-$261.00,$383.00,$213.00-$224.00,$339.00-$350.00,$328.00-$339.00,,,,$378.00,$250.00,,,,$250.00,$304.00,$415.00,$281.00,,$415.00,,,$207.00,$480.00,$36.75,$76.50,$87.75,,$346.00,$464.00,$224.00,$41.75,$355.00,$87.75,$183.00,$395.00,$417.00,$433.00,$450.00

CPU Specifications
Total Cores,12,14,4,20,14,12,12,6,12,10,18,16,20,18,22,16,8,18,28,16,4,12,24,26,24,26,28,4,4,4,2,2,2,2,8,4,8,4,6,4,8,4,8,2,4,8,14,20,24,8,16,6,8,12,8,10,4,6,10,16,20,24,16,12,20,8,12,8,4,4,4,2,4,6,10,28,10,14,12,12,6,6,6,6,4,4,14,16,18,8,4,6,18,,,,4,4,2,4,4,2,14,4,4,4,6,4,6,2,4,4,4,2,4,2,2,2,22,24,22,4,4,4,2,2,2,4,4,4,2,2,4,4,2,2,4,4,4,4,4,4,2,2,2,2,4,2,2,4,2,2,4,4,4,2,2,4,4,4,2,4,4,4,4,4,4,2,2,2,4,4,2,2,2,4,2,2,2,2,2,2,2,8,16,2,4,4,12,12,16,8,2,12,4,8,12,16,4,4
