ARK | Intel® Product Specification Comparison
01/25/2024 11:23:51 AM
 ,Intel® Core™ i3-4150 Processor ,Intel® Core™ i3-4150T Processor ,Intel® Core™ i3-4160 Processor ,Intel® Core™ i3-4160T Processor ,Intel® Core™ i3-4170 Processor ,Intel® Core™ i3-4350 Processor ,Intel® Core™ i3-4350T Processor ,Intel® Core™ i3-4360 Processor ,Intel® Core™ i3-4360T Processor ,Intel® Core™ i3-4370 Processor ,Intel® Core™ i5-4210H Processor ,Intel® Core™ i7-4720HQ Processor ,Intel® Core™ i7-4722HQ Processor ,Intel® Pentium® Processor G3450T ,Intel® Core™ i7-4790K Processor ,Intel® Core™ i5-4690 Processor ,Intel® Core™ i5-4690K Processor ,Intel® Core™ i5-4690S Processor ,Intel® Core™ i5-4690T Processor ,Intel® Core™ i7-4785T Processor ,Intel® Core™ i5-4590 Processor ,Intel® Core™ i5-4590S Processor ,Intel® Core™ i5-4460 Processor ,Intel® Core™ i5-4460S Processor ,Intel Atom® Processor Z3785 ,Intel® Xeon® Processor E3-1281 v3 ,Intel® Xeon® Processor E3-1271 v3 ,Intel® Xeon® Processor E3-1241 v3 ,Intel® Xeon® Processor E3-1231 v3 ,Intel® Xeon® Processor E3-1240L v3 ,Intel® Xeon® Processor E3-1286 v3 ,Intel® Xeon® Processor E3-1286L v3 ,Intel® Xeon® Processor E3-1276 v3 ,Intel® Xeon® Processor E3-1246 v3 ,Intel® Xeon® Processor E3-1226 v3 ,Intel® Core™ i3-4340TE Processor ,Intel® Xeon® Processor E5-2683 v3 ,Intel® Xeon® Processor E5-2695 v3 ,Intel® Xeon® Processor E5-2697 v3 ,Intel® Xeon® Processor E5-2698 v3 ,Intel® Xeon® Processor E5-2699 v3 ,Intel Atom® Processor Z3560 ,Intel Atom® Processor Z3580 ,Intel® Core™ i3-4370T Processor ,Intel® Core™ i3-4170T Processor ,Intel® Xeon® Processor E5-2628L v3 ,Intel® Xeon® Processor E5-2650 v3 ,Intel® Xeon® Processor E5-2660 v3 ,Intel® Xeon® Processor E5-2670 v3 ,Intel® Xeon® Processor E5-2690 v3 ,Intel® Xeon® Processor E5-2609 v3 ,Intel® Xeon® Processor E5-2643 v3 ,Intel® Xeon® Processor E5-2648L v3 ,Intel® Xeon® Processor E5-2650L v3 ,Intel® Xeon® Processor E5-2658 v3 ,Intel® Xeon® Processor E5-2680 v3 ,Intel® Xeon® Processor E5-2687W v3 ,Intel® Celeron® Processor N2808 ,Intel® Celeron® Processor N2840 ,Intel® Celeron® Processor N2940 ,Intel® Pentium® Processor N3540 ,Intel Atom® Processor Z3736F ,Intel Atom® Processor Z3736G ,Intel® Pentium® Processor G3258 ,Intel® Xeon® Processor E5-1620 v3 ,Intel® Xeon® Processor E5-1630 v3 ,Intel® Xeon® Processor E5-1650 v3 ,Intel® Xeon® Processor E5-1660 v3 ,Intel® Xeon® Processor E5-1680 v3 ,Intel® Core™ i7-5960X Processor Extreme Edition ,Intel® Core™ i7-5930K Processor ,Intel® Core™ i7-5820K Processor ,Intel® Xeon® Processor E5-2603 v3 ,Intel® Xeon® Processor E5-2608L v3 ,Intel® Xeon® Processor E5-2618L v3 ,Intel® Xeon® Processor E5-2620 v3 ,Intel® Xeon® Processor E5-2623 v3 ,Intel® Xeon® Processor E5-2630 v3 ,Intel® Xeon® Processor E5-2630L v3 ,Intel® Xeon® Processor E5-2637 v3 ,Intel® Xeon® Processor E5-2640 v3 ,Intel® Xeon® Processor E5-2667 v3 ,Intel® Pentium® Processor G3460 ,Intel® Pentium® Processor G3460T ,Intel® Core™ i7-4980HQ Processor ,Intel® Core™ i7-4870HQ Processor ,Intel® Core™ i7-4770HQ Processor ,Intel® Core™ i7-4578U Processor ,Intel® Core™ i5-4308U Processor ,Intel® Core™ i5-4278U Processor ,Intel® Pentium® Processor G3250 ,Intel® Pentium® Processor G3250T ,Intel® Core™ M-5Y10 Processor ,Intel® Core™ M-5Y10a Processor ,Intel® Core™ M-5Y70 Processor ,Intel Atom® Processor Z3530 ,Intel Atom® Processor E3805 ,Intel® Xeon® Processor E5-1428L v3 ,Intel® Xeon® Processor E5-2408L v3 ,Intel® Xeon® Processor E5-2418L v3 ,Intel® Xeon® Processor E5-2428L v3 ,Intel® Xeon® Processor E5-2438L v3 ,Intel Atom® Processor Z3570 ,Intel® Core™ M-5Y31 Processor ,Intel® Core™ M-5Y51 Processor ,Intel® Core™ M-5Y71 Processor ,Intel® Xeon® Processor E7-4809 v3 ,Intel® Xeon® Processor E7-4820 v3 ,Intel® Xeon® Processor E7-4830 v3 ,Intel® Xeon® Processor E7-4850 v3 ,Intel® Xeon® Processor E7-8860 v3 ,Intel® Xeon® Processor E7-8867 v3 ,Intel® Xeon® Processor E7-8870 v3 ,Intel® Xeon® Processor E7-8880 v3 ,Intel® Xeon® Processor E7-8880L v3 ,Intel® Xeon® Processor E7-8890 v3 ,Intel® Xeon® Processor E7-8891 v3 ,Intel® Xeon® Processor E7-8893 v3 ,Intel® Core™ i3-5005U Processor ,Intel® Core™ i3-5010U Processor ,Intel® Core™ i3-5015U Processor ,Intel® Core™ i3-5020U Processor ,Intel® Celeron® Processor 3205U ,Intel® Celeron® Processor 3215U ,Intel® Celeron® Processor 3755U ,Intel® Celeron® Processor 3765U ,Intel® Pentium® Processor 3805U ,Intel® Core™ i3-5157U Processor ,Intel® Core™ i5-5250U Processor ,Intel® Core™ i5-5257U Processor ,Intel® Core™ i5-5287U Processor ,Intel® Core™ i5-5350U Processor ,Intel® Core™ i7-5550U Processor ,Intel® Core™ i7-5557U Processor ,Intel® Core™ i7-5650U Processor ,Intel® Core™ i5-5200U Processor ,Intel® Core™ i5-5300U Processor ,Intel® Core™ i7-5500U Processor ,Intel® Core™ i7-5600U Processor ,Intel® Core™ M-5Y10c Processor ,Intel Atom® x5-Z8500 Processor ,Intel Atom® x7-Z8700 Processor ,Intel® Xeon® Processor E5-4610 v3 ,Intel® Xeon® Processor E5-4620 v3 ,Intel® Xeon® Processor E5-4627 v3 ,Intel® Xeon® Processor E5-4640 v3 ,Intel® Xeon® Processor E5-4648 v3 ,Intel® Xeon® Processor E5-4650 v3 ,Intel® Xeon® Processor E5-4655 v3 ,Intel® Xeon® Processor E5-4660 v3 ,Intel® Xeon® Processor E5-4667 v3 ,Intel® Xeon® Processor E5-4669 v3 ,Intel® Xeon® Processor E5-2658A v3 ,Intel® Pentium® Processor 3825U ,Intel® Quark™ Microcontroller D1000 ,Intel® Xeon® Processor D-1520 ,Intel® Xeon® Processor D-1540 ,Intel® Celeron® Processor N3050 ,Intel® Celeron® Processor N3150 ,Intel® Celeron® Processor N3000 ,Intel® Pentium® Processor N3700 ,Intel® Pentium® Processor G3260 ,Intel® Pentium® Processor G3260T ,Intel® Pentium® Processor G3470 ,Intel Atom® x5-Z8300 Processor ,Intel Atom® x3-C3445 Processor ,Intel Atom® x3-C3230RK Processor ,Intel Atom® x3-C3405 Processor ,Intel Atom® x3-C3200RK Processor ,Intel® Core™ i5-5350H Processor ,Intel® Core™ i5-5575R Processor ,Intel® Core™ i5-5675R Processor ,Intel® Core™ i7-5700HQ Processor ,Intel® Core™ i7-5750HQ Processor ,Intel® Core™ i7-5775R Processor ,Intel® Core™ i7-5850HQ Processor ,Intel® Core™ i7-5950HQ Processor ,Intel® Core™ i7-5775C Processor ,Intel® Xeon® Processor E3-1265L v4 ,Intel® Xeon® Processor E3-1285L v4 ,Intel® Xeon® Processor E3-1285 v4 ,Intel® Core™ i7-5700EQ Processor ,Intel® Core™ i7-5850EQ Processor ,Intel® Core™ i5-5675C Processor ,Intel® Xeon® Processor E3-1258L v4 ,Intel® Xeon® Processor E3-1278L v4 ,Intel® Core™ i5-6600K Processor ,Intel® Core™ i7-6700K Processor ,Intel® Core™ i7-6700T Processor ,Intel® Pentium® Processor G4400T ,Intel® Pentium® Processor G4500T ,Intel® Core™ i3-6300T Processor ,Intel® Core™ i3-6100 Processor ,Intel® Pentium® Processor G4500 ,Intel® Core™ i3-6300 Processor ,Intel® Pentium® Processor G4520 ,Intel® Core™ i3-6320 Processor ,Intel® Core™ i3-6100T Processor ,Intel® Core™ i7-6567U Processor ,Intel Atom® Processor Z3590 
Essentials
Product Collection,4th Generation Intel® Core™ i3 Processors,4th Generation Intel® Core™ i3 Processors,4th Generation Intel® Core™ i3 Processors,4th Generation Intel® Core™ i3 Processors,4th Generation Intel® Core™ i3 Processors,4th Generation Intel® Core™ i3 Processors,4th Generation Intel® Core™ i3 Processors,4th Generation Intel® Core™ i3 Processors,4th Generation Intel® Core™ i3 Processors,4th Generation Intel® Core™ i3 Processors,4th Generation Intel® Core™ i5 Processors,4th Generation Intel® Core™ i7 Processors,4th Generation Intel® Core™ i7 Processors,Intel® Pentium® Processor G Series,4th Generation Intel® Core™ i7 Processors,4th Generation Intel® Core™ i5 Processors,4th Generation Intel® Core™ i5 Processors,4th Generation Intel® Core™ i5 Processors,4th Generation Intel® Core™ i5 Processors,4th Generation Intel® Core™ i7 Processors,4th Generation Intel® Core™ i5 Processors,4th Generation Intel® Core™ i5 Processors,4th Generation Intel® Core™ i5 Processors,4th Generation Intel® Core™ i5 Processors,Intel Atom® Processor Z Series,Intel® Xeon® Processor E3 v3 Family,Intel® Xeon® Processor E3 v3 Family,Intel® Xeon® Processor E3 v3 Family,Intel® Xeon® Processor E3 v3 Family,Intel® Xeon® Processor E3 v3 Family,Intel® Xeon® Processor E3 v3 Family,Intel® Xeon® Processor E3 v3 Family,Intel® Xeon® Processor E3 v3 Family,Intel® Xeon® Processor E3 v3 Family,Intel® Xeon® Processor E3 v3 Family,4th Generation Intel® Core™ i3 Processors,Intel® Xeon® Processor E5 v3 Family,Intel® Xeon® Processor E5 v3 Family,Intel® Xeon® Processor E5 v3 Family,Intel® Xeon® Processor E5 v3 Family,Intel® Xeon® Processor E5 v3 Family,Intel Atom® Processor Z Series,Intel Atom® Processor Z Series,4th Generation Intel® Core™ i3 Processors,4th Generation Intel® Core™ i3 Processors,Intel® Xeon® Processor E5 v3 Family,Intel® Xeon® Processor E5 v3 Family,Intel® Xeon® Processor E5 v3 Family,Intel® Xeon® Processor E5 v3 Family,Intel® Xeon® Processor E5 v3 Family,Intel® Xeon® Processor E5 v3 Family,Intel® Xeon® Processor E5 v3 Family,Intel® Xeon® Processor E5 v3 Family,Intel® Xeon® Processor E5 v3 Family,Intel® Xeon® Processor E5 v3 Family,Intel® Xeon® Processor E5 v3 Family,Intel® Xeon® Processor E5 v3 Family,Intel® Celeron® Processor N Series,Intel® Celeron® Processor N Series,Intel® Celeron® Processor N Series,Intel® Pentium® Processor N Series,Intel Atom® Processor Z Series,Intel Atom® Processor Z Series,Intel® Pentium® Processor G Series,Intel® Xeon® Processor E5 v3 Family,Intel® Xeon® Processor E5 v3 Family,Intel® Xeon® Processor E5 v3 Family,Intel® Xeon® Processor E5 v3 Family,Intel® Xeon® Processor E5 v3 Family,Intel® Core™ X-series Processors,Intel® Core™ X-series Processors,Intel® Core™ X-series Processors,Intel® Xeon® Processor E5 v3 Family,Intel® Xeon® Processor E5 v3 Family,Intel® Xeon® Processor E5 v3 Family,Intel® Xeon® Processor E5 v3 Family,Intel® Xeon® Processor E5 v3 Family,Intel® Xeon® Processor E5 v3 Family,Intel® Xeon® Processor E5 v3 Family,Intel® Xeon® Processor E5 v3 Family,Intel® Xeon® Processor E5 v3 Family,Intel® Xeon® Processor E5 v3 Family,Intel® Pentium® Processor G Series,Intel® Pentium® Processor G Series,4th Generation Intel® Core™ i7 Processors,4th Generation Intel® Core™ i7 Processors,4th Generation Intel® Core™ i7 Processors,4th Generation Intel® Core™ i7 Processors,4th Generation Intel® Core™ i5 Processors,4th Generation Intel® Core™ i5 Processors,Intel® Pentium® Processor G Series,Intel® Pentium® Processor G Series,5th Generation Intel® Core™ M Processors,5th Generation Intel® Core™ M Processors,5th Generation Intel® Core™ M Processors,Intel Atom® Processor Z Series,Intel Atom® Processor E Series,Intel® Xeon® Processor E5 v3 Family,Intel® Xeon® Processor E5 v3 Family,Intel® Xeon® Processor E5 v3 Family,Intel® Xeon® Processor E5 v3 Family,Intel® Xeon® Processor E5 v3 Family,Intel Atom® Processor Z Series,5th Generation Intel® Core™ M Processors,5th Generation Intel® Core™ M Processors,5th Generation Intel® Core™ M Processors,Intel® Xeon® Processor E7 v3 Family,Intel® Xeon® Processor E7 v3 Family,Intel® Xeon® Processor E7 v3 Family,Intel® Xeon® Processor E7 v3 Family,Intel® Xeon® Processor E7 v3 Family,Intel® Xeon® Processor E7 v3 Family,Intel® Xeon® Processor E7 v3 Family,Intel® Xeon® Processor E7 v3 Family,Intel® Xeon® Processor E7 v3 Family,Intel® Xeon® Processor E7 v3 Family,Intel® Xeon® Processor E7 v3 Family,Intel® Xeon® Processor E7 v3 Family,5th Generation Intel® Core™ i3 Processors,5th Generation Intel® Core™ i3 Processors,5th Generation Intel® Core™ i3 Processors,5th Generation Intel® Core™ i3 Processors,Intel® Celeron® Processor 3000 Series,Intel® Celeron® Processor 3000 Series,Intel® Celeron® Processor 3000 Series,Intel® Celeron® Processor 3000 Series,Intel® Pentium® Processor 3000 Series,5th Generation Intel® Core™ i3 Processors,5th Generation Intel® Core™ i5 Processors,5th Generation Intel® Core™ i5 Processors,5th Generation Intel® Core™ i5 Processors,5th Generation Intel® Core™ i5 Processors,5th Generation Intel® Core™ i7 Processors,5th Generation Intel® Core™ i7 Processors,5th Generation Intel® Core™ i7 Processors,5th Generation Intel® Core™ i5 Processors,5th Generation Intel® Core™ i5 Processors,5th Generation Intel® Core™ i7 Processors,5th Generation Intel® Core™ i7 Processors,5th Generation Intel® Core™ M Processors,Intel Atom® Processor X Series,Intel Atom® Processor X Series,Intel® Xeon® Processor E5 v3 Family,Intel® Xeon® Processor E5 v3 Family,Intel® Xeon® Processor E5 v3 Family,Intel® Xeon® Processor E5 v3 Family,Intel® Xeon® Processor E5 v3 Family,Intel® Xeon® Processor E5 v3 Family,Intel® Xeon® Processor E5 v3 Family,Intel® Xeon® Processor E5 v3 Family,Intel® Xeon® Processor E5 v3 Family,Intel® Xeon® Processor E5 v3 Family,Intel® Xeon® Processor E5 v3 Family,Intel® Pentium® Processor 3000 Series,Intel® Quark™ Microcontroller D1000 Series,Intel® Xeon® D Processor,Intel® Xeon® D Processor,Intel® Celeron® Processor N Series,Intel® Celeron® Processor N Series,Intel® Celeron® Processor N Series,Intel® Pentium® Processor N Series,Intel® Pentium® Processor G Series,Intel® Pentium® Processor G Series,Intel® Pentium® Processor G Series,Intel Atom® Processor X Series,Intel Atom® Processor X Series,Intel Atom® Processor X Series,Intel Atom® Processor X Series,Intel Atom® Processor X Series,5th Generation Intel® Core™ i5 Processors,5th Generation Intel® Core™ i5 Processors,5th Generation Intel® Core™ i5 Processors,5th Generation Intel® Core™ i7 Processors,5th Generation Intel® Core™ i7 Processors,5th Generation Intel® Core™ i7 Processors,5th Generation Intel® Core™ i7 Processors,5th Generation Intel® Core™ i7 Processors,5th Generation Intel® Core™ i7 Processors,Intel® Xeon® Processor E3 v4 Family,Intel® Xeon® Processor E3 v4 Family,Intel® Xeon® Processor E3 v4 Family,5th Generation Intel® Core™ i7 Processors,5th Generation Intel® Core™ i7 Processors,5th Generation Intel® Core™ i5 Processors,Intel® Xeon® Processor E3 v4 Family,Intel® Xeon® Processor E3 v4 Family,6th Generation Intel® Core™ i5 Processors,6th Generation Intel® Core™ i7 Processors,6th Generation Intel® Core™ i7 Processors,Intel® Pentium® Processor G Series,Intel® Pentium® Processor G Series,6th Generation Intel® Core™ i3 Processors,6th Generation Intel® Core™ i3 Processors,Intel® Pentium® Processor G Series,6th Generation Intel® Core™ i3 Processors,Intel® Pentium® Processor G Series,6th Generation Intel® Core™ i3 Processors,6th Generation Intel® Core™ i3 Processors,6th Generation Intel® Core™ i7 Processors,Intel Atom® Processor Z Series
Vertical Segment,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Mobile,Mobile,Mobile,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Mobile,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Embedded,Server,Server,Server,Server,Server,Mobile,Mobile,Desktop,Desktop,Embedded,Server,Server,Server,Server,Server,Server,Embedded,Server,Embedded,Server,Server,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Desktop,Server,Server,Server,Server,Server,Desktop,Desktop,Desktop,Server,Embedded,Embedded,Server,Server,Server,Server,Server,Server,Server,Desktop,Desktop,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Desktop,Desktop,Mobile,Mobile,Mobile,Mobile,Embedded,Embedded,Embedded,Embedded,Embedded,Embedded,Mobile,Mobile,Mobile,Mobile,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Server,Server,Server,Server,Embedded,Server,Server,Server,Server,Server,Embedded,Mobile,Embedded,Server,Server,Mobile,Mobile,Mobile,Mobile,Desktop,Desktop,Desktop,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Desktop,Desktop,Mobile,Mobile,Desktop,Mobile,Mobile,Desktop,Server,Server,Server,Embedded,Embedded,Desktop,Embedded,Embedded,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Mobile,Mobile
Processor Number,i3-4150,i3-4150T,i3-4160,i3-4160T,i3-4170,i3-4350,i3-4350T,i3-4360,i3-4360T,i3-4370,i5-4210H,i7-4720HQ,i7-4722HQ,G3450T,i7-4790K,i5-4690,i5-4690K,i5-4690S,i5-4690T,i7-4785T,i5-4590,i5-4590S,i5-4460,i5-4460S,Z3785,E3-1281V3,E3-1271V3,E3-1241V3,E3-1231V3,E3-1240LV3,E3-1286V3,E3-1286LV3,E3-1276V3,E3-1246V3,E3-1226V3,i3-4340TE,E5-2683V3,E5-2695V3,E5-2697V3,E5-2698V3,E5-2699V3,Z3560,Z3580,i3-4370T,i3-4170T,E5-2628LV3,E5-2650V3,E5-2660V3,E5-2670V3,E5-2690V3,E5-2609V3,E5-2643V3,E5-2648LV3,E5-2650LV3,E5-2658V3,E5-2680V3,E5-2687WV3,N2808,N2840,N2940,N3540,Z3736F,Z3736G,G3258,E5-1620V3,E5-1630V3,E5-1650V3,E5-1660V3,E5-1680V3,i7-5960X,i7-5930K,i7-5820K,E5-2603V3,E5-2608LV3,E5-2618LV3,E5-2620V3,E5-2623V3,E5-2630V3,E5-2630LV3,E5-2637V3,E5-2640V3,E5-2667V3,G3460,G3460T,i7-4980HQ,i7-4870HQ,i7-4770HQ,i7-4578U,i5-4308U,i5-4278U,G3250,G3250T,5Y10,5Y10a,5Y70,Z3530,E3805,E5-1428LV3,E5-2408LV3,E5-2418LV3,E5-2428LV3,E5-2438LV3,Z3570,5Y31,5Y51,5Y71,E7-4809V3,E7-4820V3,E7-4830V3,E7-4850V3,E7-8860V3,E7-8867V3,E7-8870V3,E7-8880V3,E7-8880LV3,E7-8890V3,E7-8891V3,E7-8893V3,i3-5005U,i3-5010U,i3-5015U,i3-5020U,3205U,3215U,3755U,3765U,3805U,i3-5157U,i5-5250U,i5-5257U,i5-5287U,i5-5350U,i7-5550U,i7-5557U,i7-5650U,i5-5200U,i5-5300U,i7-5500U,i7-5600U,5Y10c,x5-Z8500,x7-Z8700,E5-4610V3,E5-4620V3,E5-4627V3,E5-4640V3,E5-4648V3,E5-4650V3,E5-4655V3,E5-4660V3,E5-4667V3,E5-4669V3,E5-2658AV3,3825U,D1000,D-1520,D-1540,N3050,N3150,N3000,N3700,G3260,G3260T,G3470,x5-Z8300,x3-C3445,x3-C3230RK,x3-C3405,x3-C3200RK,i5-5350H,i5-5575R,i5-5675R,i7-5700HQ,i7-5750HQ,i7-5775R,i7-5850HQ,i7-5950HQ,i7-5775C,E3-1265LV4,E3-1285LV4,E3-1285V4,i7-5700EQ,i7-5850EQ,i5-5675C,E3-1258LV4,E3-1278LV4,i5-6600K,i7-6700K,i7-6700T,G4400T,G4500T,i3-6300T,i3-6100,G4500,i3-6300,G4520,i3-6320,i3-6100T,i7-6567U,Z3590
Lithography,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,14 nm,14 nm,14 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,14 nm,14 nm,14 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,14 nm,,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,22 nm,22 nm,22 nm,14 nm,28 nm,28 nm,28 nm,28 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,22 nm
Use Conditions,,,,,,,Embedded Broad Market Commercial Temp |  PC/Client/Tablet,PC/Client/Tablet,,,,,,,,,,,,,,PC/Client/Tablet,,,,,,,,,,,,,,Embedded Broad Market Commercial Temp |  PC/Client/Tablet,,,,,,,,,,Communications Commercial Temp,,,,,Server/Enterprise,,Communications Commercial Temp,,Communications Commercial Temp,Server/Enterprise,,,,,,,,,,,,,,,,,,Communications Commercial Temp,Communications Commercial Temp,Server/Enterprise,,,,,Server/Enterprise,,,,,,,,,,,,,,,,Automotive |  Industrial Commercial Temp |  Industrial Extended Temp |  Embedded Broad Market Commercial Temp,,Communications Commercial Temp,Communications Commercial Temp,Communications Commercial Temp,Communications Commercial Temp,,,,,,,,,,,,,,,,,,Industrial Commercial Temp |  Embedded Broad Market Commercial Temp |  PC/Client/Tablet,,,,,,Industrial Commercial Temp |  Embedded Broad Market Commercial Temp |  PC/Client/Tablet,,,,,,Industrial Commercial Temp |  Embedded Broad Market Commercial Temp |  PC/Client/Tablet,,,Industrial Commercial Temp |  PC/Client/Tablet,,,,,,,,,,,,Communications Commercial Temp,,,,,,Communications Commercial Temp,,Embedded Broad Market Commercial Temp |  Embedded Broad Market Extended Temp,,,,,,,,,,,,,,,,,,,,,,,,,,,Industrial Commercial Temp |  Embedded Broad Market Commercial Temp |  PC/Client/Tablet,Industrial Commercial Temp |  Embedded Broad Market Commercial Temp |  PC/Client/Tablet,,,,,,,,,,Embedded Broad Market Commercial Temp |  PC/Client/Tablet,,,,,,,
Recommended Customer Price,$117.00,,$117.00,,$117.00,$147.00,,$147.00,,$147.00,,,,,$350.00,$224.00,$243.00,$224.00,,,$202.00,$202.00,$182.00-$187.00,,,,$328.00,$273.00,$250.00,,,,,,,,,,$2702.00,$3226.00,$4115.00,,,,,,$1166.00,$1445.00,$1589.00,,$306.00,$1552.00,$1544.00,,,$1745.00,,,,,,,,,$294.00,$372.00,$583.00,$1080.00,$1723.00,$1059.00,$594.00,$396.00,$213.00,$441.00,$779.00,$417.00,$444.00,$667.00,$612.00,$996.00,$939.00,$2057.00,$82.00,,,,,,$315.00,,$50.00,,,,,,$25.00,$608.00,,,,,,,,,$1223.00,$1502.00,$2170.00,$3003.00,$4061.00,,$4672.00,,,$7174.00,,,$275.00,$281.00,,,,,,$107.00,,,$315.00,$315.00,,$315.00,,$426.00,$426.00,,,,,,,,,$1668.00,$2225.00,,$2405.00,$3838.00,$4616.00,,,$7007.00,$1832.00,,,$241.00,$636.00,,,,,$64.00,,,,,,,,,$244.00,,,,,,,,,,,,,,,,$242.00,,,$64.00,,,$117.00,$75.00,,$86.00,,$117.00,,

CPU Specifications
Total Cores,2,2,2,2,2,2,2,2,2,2,2,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,14,14,14,16,18,4,4,2,2,10,10,10,12,12,6,6,12,12,12,12,10,2,2,4,4,4,4,2,4,4,6,8,8,8,6,6,6,6,8,6,4,8,8,4,8,8,2,2,4,4,4,2,2,2,2,2,2,2,2,4,2,8,4,6,8,10,4,2,2,2,8,10,12,14,16,16,18,18,18,18,10,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,10,10,10,12,12,12,6,14,16,18,12,2,1,4,8,2,4,2,4,2,2,2,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,4
