ARK | Intel® Product Specification Comparison
01/25/2024 11:24:01 AM
 ,Intel Atom® Processor Z3480 ,Intel Atom® Processor Z3460 ,Intel® Core™ i5-4260U Processor ,Intel® Core™ i5-4360U Processor ,Intel® Xeon® Processor E7-2850 v2 ,Intel® Xeon® Processor E7-2870 v2 ,Intel® Xeon® Processor E7-2880 v2 ,Intel® Xeon® Processor E7-2890 v2 ,Intel® Xeon® Processor E7-4809 v2 ,Intel® Xeon® Processor E7-4820 v2 ,Intel® Xeon® Processor E7-4830 v2 ,Intel® Xeon® Processor E7-4850 v2 ,Intel® Xeon® Processor E7-4860 v2 ,Intel® Xeon® Processor E7-4870 v2 ,Intel® Xeon® Processor E7-4890 v2 ,Intel® Xeon® Processor E7-8850 v2 ,Intel® Xeon® Processor E7-8857 v2 ,Intel® Xeon® Processor E7-8870 v2 ,Intel® Xeon® Processor E7-8880L v2 ,Intel® Xeon® Processor E7-8880 v2 ,Intel® Xeon® Processor E7-8890 v2 ,Intel® Xeon® Processor E7-8891 v2 ,Intel® Xeon® Processor E7-8893 v2 ,Intel® Xeon® Processor E5-2440 v2 ,Intel® Xeon® Processor E5-2450 v2 ,Intel® Xeon® Processor E5-2450L v2 ,Intel® Xeon® Processor E5-2470 v2 ,Intel® Xeon® Processor E5-2640 v2 ,Intel® Xeon® Processor E5-2643 v2 ,Intel® Xeon® Processor E5-2650 v2 ,Intel® Xeon® Processor E5-2650L v2 ,Intel® Xeon® Processor E5-2660 v2 ,Intel® Xeon® Processor E5-2667 v2 ,Intel® Xeon® Processor E5-2670 v2 ,Intel® Xeon® Processor E5-2680 v2 ,Intel® Xeon® Processor E5-2690 v2 ,Intel® Xeon® Processor E5-2695 v2 ,Intel® Xeon® Processor E5-2697 v2 ,Intel® Xeon® Processor E5-4610 v2 ,Intel® Xeon® Processor E5-4620 v2 ,Intel® Xeon® Processor E5-4627 v2 ,Intel® Xeon® Processor E5-4640 v2 ,Intel® Xeon® Processor E5-4650 v2 ,Intel® Xeon® Processor E5-4657L v2 ,Intel® Core™ i5-4402EC Processor ,Intel® Core™ i7-4700EC Processor ,Intel® Core™ i7-4702EC Processor ,Intel® Xeon® Processor E7-4880 v2 ,Intel® Xeon® Processor E5-1428L v2 ,Intel® Xeon® Processor E5-1620 v2 ,Intel® Xeon® Processor E5-1650 v2 ,Intel® Xeon® Processor E5-1660 v2 ,Intel® Xeon® Processor E5-2407 v2 ,Intel® Xeon® Processor E5-2418L v2 ,Intel® Xeon® Processor E5-2420 v2 ,Intel® Xeon® Processor E5-2430 v2 ,Intel® Xeon® Processor E5-2430L v2 ,Intel® Xeon® Processor E5-2609 v2 ,Intel® Xeon® Processor E5-2618L v2 ,Intel® Xeon® Processor E5-2620 v2 ,Intel® Xeon® Processor E5-2630 v2 ,Intel® Xeon® Processor E5-2630L v2 ,Intel® Xeon® Processor E5-2637 v2 ,Intel® Xeon® Processor E5-4603 v2 ,Intel® Xeon® Processor E5-4607 v2 ,Intel® Xeon® Processor E5-2448L v2 ,Intel® Xeon® Processor E5-2428L v2 ,Intel® Xeon® Processor E5-2403 v2 ,Intel® Core™ i7-4860HQ Processor ,Intel® Core™ i7-4760HQ Processor ,Intel® Xeon® Processor E5-2603 v2 ,Intel® Xeon® Processor E5-2628L v2 ,Intel® Xeon® Processor E5-2648L v2 ,Intel® Xeon® Processor E5-2658 v2 ,Intel® Xeon® Processor E5-2687W v2 ,Intel® Celeron® Processor 2000E ,Intel® Celeron® Processor 2002E ,Intel® Xeon® Processor E3-1275L v3 ,Intel® Xeon® Processor E5-4624L v2 ,Intel® Pentium® Processor J2850 ,Intel® Celeron® Processor J1850 ,Intel® Celeron® Processor J1750 ,Intel® Pentium® Processor N3510 ,Intel® Celeron® Processor N2910 ,Intel® Celeron® Processor N2810 ,Intel® Celeron® Processor N2805 ,Intel Atom® Processor Z3740 ,Intel Atom® Processor Z3770 ,Intel® Core™ i3-4110M Processor ,Intel® Core™ i3-4330T Processor ,Intel® Core™ i3-4340 Processor ,Intel® Core™ i7-4960X Processor Extreme Edition ,Intel® Core™ i7-4930K Processor ,Intel® Core™ i7-4820K Processor ,Intel® Pentium® Processor 1405 v2 ,Intel Atom® Processor C2338 ,Intel Atom® Processor C2350 ,Intel Atom® Processor C2358 ,Intel Atom® Processor C2518 ,Intel Atom® Processor C2530 ,Intel Atom® Processor C2538 ,Intel Atom® Processor C2550 ,Intel Atom® Processor C2558 ,Intel Atom® Processor C2718 ,Intel Atom® Processor C2730 ,Intel Atom® Processor C2738 ,Intel Atom® Processor C2750 ,Intel Atom® Processor C2758 ,Intel® Pentium® Processor G3320TE ,Intel® Xeon® Processor E3-1105C v2 ,Intel® Xeon® Processor E3-1125C v2 ,Intel® Pentium® Processor B925C ,Intel® Core™ i3-3115C Processor ,Intel Atom® Processor Z3770D ,Intel Atom® Processor Z3740D ,Intel Atom® Processor E3825 ,Intel Atom® Processor E3845 ,Intel Atom® Processor E3815 ,Intel Atom® Processor E3826 ,Intel Atom® Processor E3827 ,Intel® Celeron® Processor J1800 ,Intel® Celeron® Processor J1900 ,Intel® Pentium® Processor J2900 ,Intel® Core™ i5-4460T Processor ,Intel® Core™ i5-4590T Processor ,Intel® Core™ i7-4710HQ Processor ,Intel® Core™ i7-4710MQ Processor ,Intel® Core™ i7-4712HQ Processor ,Intel® Core™ i7-4712MQ Processor ,Intel® Core™ i7-4810MQ Processor ,Intel® Core™ i7-4910MQ Processor ,Intel® Core™ i7-4940MX Processor Extreme Edition ,Intel® Celeron® Processor 2957U ,Intel® Celeron® Processor 2961Y ,Intel® Celeron® Processor 2981U ,Intel® Pentium® Processor 3558U ,Intel® Pentium® Processor 3561Y ,Intel® Celeron® Processor G1830 ,Intel® Celeron® Processor G1820 ,Intel® Celeron® Processor G1820T ,Intel® Celeron® Processor G1820TE ,Intel® Pentium® Processor N3520 ,Intel® Celeron® Processor N2806 ,Intel® Celeron® Processor N2815 ,Intel® Celeron® Processor N2820 ,Intel® Celeron® Processor N2920 ,Intel® Quark™ SoC X1000 ,Intel® Core™ i3-4110E Processor ,Intel® Core™ i3-4112E Processor ,Intel® Core™ i5-4410E Processor ,Intel® Core™ i5-4422E Processor ,Intel Atom® Processor Z3795 ,Intel Atom® Processor Z3775 ,Intel Atom® Processor Z3775D ,Intel Atom® Processor Z3745 ,Intel Atom® Processor Z3745D ,Intel Atom® Processor Z3735D ,Intel Atom® Processor Z3735E ,Intel Atom® Processor Z3735F ,Intel Atom® Processor Z3735G ,Intel® Xeon Phi™ Coprocessor 7120D ,Intel® Core™ i5-4310U Processor ,Intel® Core™ i5-4340M Processor ,Intel® Core™ i7-4610M Processor ,Intel® Core™ i5-4310M Processor ,Intel® Xeon Phi™ Coprocessor 7120A ,Intel® Pentium® Processor G3450 ,Intel® Pentium® Processor G3440 ,Intel® Pentium® Processor G3440T ,Intel® Pentium® Processor G3240 ,Intel® Pentium® Processor G3240T ,Intel® Celeron® Processor G1850 ,Intel® Celeron® Processor G1840 ,Intel® Celeron® Processor G1840T ,Intel® Core™ i7-4790 Processor ,Intel® Core™ i7-4790S Processor ,Intel® Core™ i7-4790T Processor ,Intel® Quark™ SoC X1001 ,Intel® Quark™ SoC X1010 ,Intel® Quark™ SoC X1011 ,Intel® Quark™ SoC X1020D ,Intel® Quark™ SoC X1021 ,Intel® Core™ i5-4210M Processor ,Intel® Pentium® Processor 3560M ,Intel® Celeron® Processor 2970M ,Intel® Core™ i7-4510U Processor ,Intel® Core™ i5-4210U Processor ,Intel® Core™ i3-4120U Processor ,Intel® Core™ i3-4030U Processor ,Intel® Core™ i3-4025U Processor ,Intel® Core™ i5-4220Y Processor ,Intel® Core™ i3-4030Y Processor ,Intel® Celeron® Processor N2830 ,Intel® Celeron® Processor N2807 ,Intel® Celeron® Processor N2930 ,Intel® Pentium® Processor N3530 ,Intel Atom® Processor C2508 ,Intel Atom® Processor C2308 ,Intel® Quark™ SoC X1021D ,Intel® Quark™ SoC X1020 
Essentials
Product Collection,Intel Atom® Processor Z Series,Intel Atom® Processor Z Series,4th Generation Intel® Core™ i5 Processors,4th Generation Intel® Core™ i5 Processors,Intel® Xeon® Processor E7 v2 Family,Intel® Xeon® Processor E7 v2 Family,Intel® Xeon® Processor E7 v2 Family,Intel® Xeon® Processor E7 v2 Family,Intel® Xeon® Processor E7 v2 Family,Intel® Xeon® Processor E7 v2 Family,Intel® Xeon® Processor E7 v2 Family,Intel® Xeon® Processor E7 v2 Family,Intel® Xeon® Processor E7 v2 Family,Intel® Xeon® Processor E7 v2 Family,Intel® Xeon® Processor E7 v2 Family,Intel® Xeon® Processor E7 v2 Family,Intel® Xeon® Processor E7 v2 Family,Intel® Xeon® Processor E7 v2 Family,Intel® Xeon® Processor E7 v2 Family,Intel® Xeon® Processor E7 v2 Family,Intel® Xeon® Processor E7 v2 Family,Intel® Xeon® Processor E7 v2 Family,Intel® Xeon® Processor E7 v2 Family,Intel® Xeon® Processor E5 v2 Family,Intel® Xeon® Processor E5 v2 Family,Intel® Xeon® Processor E5 v2 Family,Intel® Xeon® Processor E5 v2 Family,Intel® Xeon® Processor E5 v2 Family,Intel® Xeon® Processor E5 v2 Family,Intel® Xeon® Processor E5 v2 Family,Intel® Xeon® Processor E5 v2 Family,Intel® Xeon® Processor E5 v2 Family,Intel® Xeon® Processor E5 v2 Family,Intel® Xeon® Processor E5 v2 Family,Intel® Xeon® Processor E5 v2 Family,Intel® Xeon® Processor E5 v2 Family,Intel® Xeon® Processor E5 v2 Family,Intel® Xeon® Processor E5 v2 Family,Intel® Xeon® Processor E5 v2 Family,Intel® Xeon® Processor E5 v2 Family,Intel® Xeon® Processor E5 v2 Family,Intel® Xeon® Processor E5 v2 Family,Intel® Xeon® Processor E5 v2 Family,Intel® Xeon® Processor E5 v2 Family,4th Generation Intel® Core™ i5 Processors,4th Generation Intel® Core™ i7 Processors,4th Generation Intel® Core™ i7 Processors,Intel® Xeon® Processor E7 v2 Family,Intel® Xeon® Processor E5 v2 Family,Intel® Xeon® Processor E5 v2 Family,Intel® Xeon® Processor E5 v2 Family,Intel® Xeon® Processor E5 v2 Family,Intel® Xeon® Processor E5 v2 Family,Intel® Xeon® Processor E5 v2 Family,Intel® Xeon® Processor E5 v2 Family,Intel® Xeon® Processor E5 v2 Family,Intel® Xeon® Processor E5 v2 Family,Intel® Xeon® Processor E5 v2 Family,Intel® Xeon® Processor E5 v2 Family,Intel® Xeon® Processor E5 v2 Family,Intel® Xeon® Processor E5 v2 Family,Intel® Xeon® Processor E5 v2 Family,Intel® Xeon® Processor E5 v2 Family,Intel® Xeon® Processor E5 v2 Family,Intel® Xeon® Processor E5 v2 Family,Intel® Xeon® Processor E5 v2 Family,Intel® Xeon® Processor E5 v2 Family,Intel® Xeon® Processor E5 v2 Family,4th Generation Intel® Core™ i7 Processors,4th Generation Intel® Core™ i7 Processors,Intel® Xeon® Processor E5 v2 Family,Intel® Xeon® Processor E5 v2 Family,Intel® Xeon® Processor E5 v2 Family,Intel® Xeon® Processor E5 v2 Family,Intel® Xeon® Processor E5 v2 Family,Intel® Celeron® Processor 2000 Series,Intel® Celeron® Processor 2000 Series,Intel® Xeon® Processor E3 v3 Family,Intel® Xeon® Processor E5 v2 Family,Intel® Pentium® Processor J Series,Intel® Celeron® Processor J Series,Intel® Celeron® Processor J Series,Intel® Pentium® Processor N Series,Intel® Celeron® Processor N Series,Intel® Celeron® Processor N Series,Intel® Celeron® Processor N Series,Intel Atom® Processor Z Series,Intel Atom® Processor Z Series,4th Generation Intel® Core™ i3 Processors,4th Generation Intel® Core™ i3 Processors,4th Generation Intel® Core™ i3 Processors,Intel® Core™ X-series Processors,Intel® Core™ X-series Processors,Intel® Core™ X-series Processors,Intel® Pentium® Processor 1000 Series,Intel Atom® Processor C Series,Intel Atom® Processor C Series,Intel Atom® Processor C Series,Intel Atom® Processor C Series,Intel Atom® Processor C Series,Intel Atom® Processor C Series,Intel Atom® Processor C Series,Intel Atom® Processor C Series,Intel Atom® Processor C Series,Intel Atom® Processor C Series,Intel Atom® Processor C Series,Intel Atom® Processor C Series,Intel Atom® Processor C Series,Intel® Pentium® Processor G Series,Intel® Xeon® Processor E3 v2 Family,Intel® Xeon® Processor E3 v2 Family,Legacy Intel® Pentium® Processor,Legacy Intel® Core™ Processors,Intel Atom® Processor Z Series,Intel Atom® Processor Z Series,Intel Atom® Processor E Series,Intel Atom® Processor E Series,Intel Atom® Processor E Series,Intel Atom® Processor E Series,Intel Atom® Processor E Series,Intel® Celeron® Processor J Series,Intel® Celeron® Processor J Series,Intel® Pentium® Processor J Series,4th Generation Intel® Core™ i5 Processors,4th Generation Intel® Core™ i5 Processors,4th Generation Intel® Core™ i7 Processors,4th Generation Intel® Core™ i7 Processors,4th Generation Intel® Core™ i7 Processors,4th Generation Intel® Core™ i7 Processors,4th Generation Intel® Core™ i7 Processors,4th Generation Intel® Core™ i7 Processors,Intel® Core™ X-series Processors,Intel® Celeron® Processor 2000 Series,Intel® Celeron® Processor 2000 Series,Intel® Celeron® Processor 2000 Series,Intel® Pentium® Processor 3000 Series,Intel® Pentium® Processor 3000 Series,Intel® Celeron® Processor G Series,Intel® Celeron® Processor G Series,Intel® Celeron® Processor G Series,Intel® Celeron® Processor G Series,Intel® Pentium® Processor N Series,Intel® Celeron® Processor N Series,Intel® Celeron® Processor N Series,Intel® Celeron® Processor N Series,Intel® Celeron® Processor N Series,Intel® Quark™ SoC X1000 Series,4th Generation Intel® Core™ i3 Processors,4th Generation Intel® Core™ i3 Processors,4th Generation Intel® Core™ i5 Processors,4th Generation Intel® Core™ i5 Processors,Intel Atom® Processor Z Series,Intel Atom® Processor Z Series,Intel Atom® Processor Z Series,Intel Atom® Processor Z Series,Intel Atom® Processor Z Series,Intel Atom® Processor Z Series,Intel Atom® Processor Z Series,Intel Atom® Processor Z Series,Intel Atom® Processor Z Series,Intel® Xeon Phi™ x100 Product Family,4th Generation Intel® Core™ i5 Processors,4th Generation Intel® Core™ i5 Processors,4th Generation Intel® Core™ i7 Processors,4th Generation Intel® Core™ i5 Processors,Intel® Xeon Phi™ x100 Product Family,Intel® Pentium® Processor G Series,Intel® Pentium® Processor G Series,Intel® Pentium® Processor G Series,Intel® Pentium® Processor G Series,Intel® Pentium® Processor G Series,Intel® Celeron® Processor G Series,Intel® Celeron® Processor G Series,Intel® Celeron® Processor G Series,4th Generation Intel® Core™ i7 Processors,4th Generation Intel® Core™ i7 Processors,4th Generation Intel® Core™ i7 Processors,Intel® Quark™ SoC X1000 Series,Intel® Quark™ SoC X1000 Series,Intel® Quark™ SoC X1000 Series,Intel® Quark™ SoC X1000 Series,Intel® Quark™ SoC X1000 Series,4th Generation Intel® Core™ i5 Processors,Intel® Pentium® Processor 3000 Series,Intel® Celeron® Processor 2000 Series,4th Generation Intel® Core™ i7 Processors,4th Generation Intel® Core™ i5 Processors,4th Generation Intel® Core™ i3 Processors,4th Generation Intel® Core™ i3 Processors,4th Generation Intel® Core™ i3 Processors,4th Generation Intel® Core™ i5 Processors,4th Generation Intel® Core™ i3 Processors,Intel® Celeron® Processor N Series,Intel® Celeron® Processor N Series,Intel® Celeron® Processor N Series,Intel® Pentium® Processor N Series,Intel Atom® Processor C Series,Intel Atom® Processor C Series,Intel® Quark™ SoC X1000 Series,Intel® Quark™ SoC X1000 Series
Vertical Segment,Mobile,Mobile,Mobile,Mobile,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Embedded,Embedded,Embedded,Server,Embedded,Server,Server,Server,Server,Embedded,Server,Server,Server,Server,Embedded,Server,Server,Server,Server,Server,Server,Embedded,Embedded,Server,Mobile,Mobile,Server,Embedded,Embedded,Embedded,Server,Embedded,Embedded,Server,Embedded,Desktop,Desktop,Desktop,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Desktop,Desktop,Desktop,Desktop,Desktop,Embedded,Embedded,Server,Embedded,Embedded,Server,Embedded,Server,Embedded,Embedded,Server,Embedded,Server,Embedded,Embedded,Embedded,Embedded,Embedded,Embedded,Mobile,Mobile,Embedded,Embedded,Embedded,Embedded,Embedded,Desktop,Desktop,Desktop,Desktop,Desktop,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Desktop,Desktop,Desktop,Embedded,Mobile,Mobile,Mobile,Mobile,Mobile,Embedded,Embedded,Embedded,Embedded,Embedded,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Server,Mobile,Mobile,Mobile,Mobile,Server,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Embedded,Embedded,Embedded,Embedded,Embedded,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Embedded,Embedded,Embedded,Embedded
Processor Number,Z3480,Z3460,i5-4260U,i5-4360U,E7-2850V2,E7-2870V2,E7-2880V2,E7-2890V2,E7-4809V2,E7-4820V2,E7-4830V2,E7-4850V2,E7-4860V2,E7-4870V2,E7-4890V2,E7-8850V2,E7-8857V2,E7-8870V2,E7-8880LV2,E7-8880V2,E7-8890V2,E7-8891V2,E7-8893V2,E5-2440V2,E5-2450V2,E5-2450LV2,E5-2470V2,E5-2640V2,E5-2643V2,E5-2650V2,E5-2650LV2,E5-2660V2,E5-2667V2,E5-2670V2,E5-2680V2,E5-2690V2,E5-2695V2,E5-2697V2,E5-4610V2,E5-4620V2,E5-4627V2,E5-4640V2,E5-4650V2,E5-4657LV2,i5-4402EC,i7-4700EC,i7-4702EC,E7-4880V2,E5-1428LV2,E5-1620V2,E5-1650V2,E5-1660V2,E5-2407V2,E5-2418LV2,E5-2420V2,E5-2430V2,E5-2430LV2,E5-2609V2,E5-2618LV2,E5-2620V2,E5-2630V2,E5-2630LV2,E5-2637V2,E5-4603V2,E5-4607V2,E5-2448LV2,E5-2428LV2,E5-2403V2,i7-4860HQ,i7-4760HQ,E5-2603V2,E5-2628LV2,E5-2648LV2,E5-2658V2,E5-2687WV2,2000E,2002E,E3-1275LV3,E5-4624LV2,J2850,J1850,J1750,N3510,N2910,N2810,N2805,Z3740,Z3770,i3-4110M,i3-4330T,i3-4340,i7-4960X,i7-4930K,i7-4820K,1405V2,C2338,C2350,C2358,C2518,C2530,C2538,C2550,C2558,C2718,C2730,C2738,C2750,C2758,G3320TE,E3-1105CV2,E3-1125CV2,B925C,i3-3115C,Z3770D,Z3740D,E3825,E3845,E3815,E3826,E3827,J1800,J1900,J2900,i5-4460T,i5-4590T,i7-4710HQ,i7-4710MQ,i7-4712HQ,i7-4712MQ,i7-4810MQ,i7-4910MQ,i7-4940MX,2957U,2961Y,2981U,3558U,3561Y,G1830,G1820,G1820T,G1820TE,N3520,N2806,N2815,N2820,N2920,X1000,i3-4110E,i3-4112E,i5-4410E,i5-4422E,Z3795,Z3775,Z3775D,Z3745,Z3745D,Z3735D,Z3735E,Z3735F,Z3735G,7120D,i5-4310U,i5-4340M,i7-4610M,i5-4310M,7120A,G3450,G3440,G3440T,G3240,G3240T,G1850,G1840,G1840T,i7-4790,i7-4790S,i7-4790T,X1001,X1010,X1011,X1020D,X1021,i5-4210M,3560M,2970M,i7-4510U,i5-4210U,i3-4120U,i3-4030U,i3-4025U,i5-4220Y,i3-4030Y,N2830,N2807,N2930,N3530,C2508,C2308,X1021D,X1020
Lithography,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,32 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,32 nm,32 nm,32 nm,32 nm,32 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,32 nm,32 nm
Use Conditions,,,,,,,,,,,,,,,,,,,,,,,,,Server/Enterprise,,,Server/Enterprise,,,,,,,Server/Enterprise,,,,,,,,,,,,,,,,,,,Communications,,Server/Enterprise,,Server/Enterprise,Communications,,Server/Enterprise,,,,,Communications,Communications,,,,,Communications,Communications,Communications Commercial Temp,,Industrial Commercial Temp,Industrial Commercial Temp,,Communications,,,,,,,,,,,,,,,,,Communications,,Communications,Communications,,Communications,,Communications,Communications,,Communications,,Communications,Embedded Broad Market Commercial Temp |  PC/Client/Tablet,Communications,Communications,,Communications,,,Automotive |  Industrial Commercial Temp |  Industrial Extended Temp |  Embedded Broad Market Commercial Temp,Automotive |  Industrial Commercial Temp |  Industrial Extended Temp |  Embedded Broad Market Commercial Temp,Automotive |  Industrial Commercial Temp |  Industrial Extended Temp |  Embedded Broad Market Commercial Temp,Automotive |  Industrial Commercial Temp |  Industrial Extended Temp |  Embedded Broad Market Commercial Temp,Automotive |  Industrial Commercial Temp |  Industrial Extended Temp |  Embedded Broad Market Commercial Temp,PC/Client/Tablet,Embedded Broad Market Commercial Temp |  PC/Client/Tablet,,,Embedded Broad Market Commercial Temp |  PC/Client/Tablet,,,,,,,,,,,,,,Embedded Broad Market Commercial Temp |  PC/Client/Tablet,,Embedded Broad Market Commercial Temp |  PC/Client/Tablet,,,,,,Industrial Commercial Temp |  Communications |  Embedded Broad Market Commercial Temp |  PC/Client/Tablet,Industrial Commercial Temp |  Embedded Broad Market Commercial Temp |  PC/Client/Tablet,Industrial Commercial Temp |  Embedded Broad Market Commercial Temp |  PC/Client/Tablet,Industrial Commercial Temp |  Embedded Broad Market Commercial Temp |  PC/Client/Tablet,Industrial Commercial Temp |  Embedded Broad Market Commercial Temp |  PC/Client/Tablet,,,,,,,,,,,,,,,,,,,,,,,,,PC/Client/Tablet,,Industrial Commercial Temp |  Industrial Extended Temp |  Communications |  Embedded Broad Market Commercial Temp |  PC/Client/Tablet,Industrial Commercial Temp |  Communications |  Embedded Broad Market Commercial Temp |  PC/Client/Tablet,Industrial Commercial Temp |  Industrial Extended Temp |  Communications |  Embedded Broad Market Commercial Temp |  PC/Client/Tablet,Industrial Commercial Temp |  Communications |  Embedded Broad Market Commercial Temp |  PC/Client/Tablet,Industrial Commercial Temp |  Industrial Extended Temp |  Communications |  Embedded Broad Market Commercial Temp |  PC/Client/Tablet,,,,,,,,,,,,Embedded Broad Market Commercial Temp |  PC/Client/Tablet,Embedded Broad Market Commercial Temp |  PC/Client/Tablet,,Communications,Communications,Industrial Commercial Temp |  Industrial Extended Temp |  Communications |  Embedded Broad Market Commercial Temp |  PC/Client/Tablet,Industrial Commercial Temp |  Communications |  Embedded Broad Market Commercial Temp |  PC/Client/Tablet
Recommended Customer Price,,,,,,,,,,,,,,,,,,,,,,,,$832.00,$1107.00,,$1440.00,$885.00-$889.00,,$1166.00-$1171.00,$1219.00,$1389.00-$1393.00,,$1552.00-$1556.00,$1723.00-$1727.00,$2061.00,$2340.00,$2614.00-$2618.00,$1219.00,$1611.00,,$2725.00,$3616.00,,,,,,$494.00,,$583.00,$1083.00,$250.00,$607.00,$406.00,$551.00,,$294.00-$299.00,$632.00,$406.00-$410.00,$612.00-$616.00,,$996.00,$551.00,$885.00,$1424.00,$1013.00,,,,$202.00,$1216.00,$1479.00,$1750.00,$2112.00,,,,$2405.00,,,,,,,,,,,,$157.00,$1059.00,$594.00,$332.00,$156.00,$60.00,$43.00,$60.00,$91.00,$70.00,$104.00,$86.00,$104.00,$182.00,$150.00,$208.00,$171.00,$208.00,,$389.00,,,,,,$31.00,$50.00,$25.00,$36.00,$41.00,$22.00,$35.00,,,,,,,,,$570.00,,,,,,,$52.00,$42.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,$82.00,$82.00,,$54.00,,$52.00,$42.00,$42.00,$312.00,$312.00,,,,,,,,,,,,,,,,,,$31.00,$41.00,,$98.00,$60.00,,

CPU Specifications
Total Cores,2,2,2,2,12,15,15,15,6,8,10,12,12,15,15,12,12,15,15,15,15,10,6,8,8,10,10,8,6,8,10,10,8,10,10,10,12,12,8,8,8,10,10,12,2,4,4,15,6,4,6,6,4,6,6,6,6,4,6,6,6,6,4,4,6,10,8,4,4,4,4,8,10,10,8,2,2,4,10,4,4,2,4,4,2,2,4,4,2,2,2,6,6,4,2,2,2,2,4,4,4,4,4,8,8,8,8,8,2,4,4,2,2,4,4,2,4,1,2,2,2,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,4,2,2,2,4,1,2,2,2,2,4,4,4,4,4,4,4,4,4,,2,2,2,2,,2,2,2,2,2,2,2,2,4,4,4,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,2,1,1
