ARK | Intel® Product Specification Comparison
01/25/2024 11:24:49 AM
 ,Intel® Pentium® Processor G6951 ,Intel Atom® Processor Z600 ,Intel Atom® Processor Z615 ,Intel Atom® Processor Z625 ,Intel® Xeon® Processor E3-1220 ,Intel® Xeon® Processor E3-1225 ,Intel® Xeon® Processor E3-1230 ,Intel® Xeon® Processor E3-1235 ,Intel® Xeon® Processor E3-1240 ,Intel® Xeon® Processor E3-1245 ,Intel® Xeon® Processor E3-1260L ,Intel® Xeon® Processor E3-1270 ,Intel® Xeon® Processor E3-1275 ,Intel® Xeon® Processor E3-1280 ,Intel® Celeron® Processor G530 ,Intel® Celeron® Processor G530T ,Intel® Celeron® Processor G540 ,Intel® Celeron® Processor G540T ,Intel® Celeron® Processor G550 ,Intel® Core™ i3-2120T Processor ,Intel® Core™ i3-2130 Processor ,Intel® Core™ i3-2330E Processor ,Intel® Core™ i3-2330M Processor ,Intel® Core™ i3-2350M Processor ,Intel® Core™ i3-2370M Processor ,Intel® Core™ i5-2310 Processor ,Intel® Core™ i5-2320 Processor ,Intel® Core™ i5-2430M Processor ,Intel® Core™ i5-2450M Processor ,Intel® Core™ i7-2640M Processor ,Intel® Core™ i7-2670QM Processor ,Intel® Core™ i7-2675QM Processor ,Intel® Core™ i7-2760QM Processor ,Intel® Core™ i7-2860QM Processor ,Intel® Core™ i7-2960XM Processor Extreme Edition ,Intel® Pentium® Processor G630 ,Intel® Pentium® Processor G630T ,Intel® Pentium® Processor G632 ,Intel® Pentium® Processor G640 ,Intel® Pentium® Processor G640T ,Intel® Pentium® Processor G860 ,Intel® Pentium® Processor G870 ,Intel® Core™ i7-2677M Processor ,Intel® Core™ i7-2637M Processor ,Intel® Core™ i5-2557M Processor ,Intel® Core™ i3-2357M Processor ,Intel® Core™ i3-2340UE Processor ,Intel® Core™ i3-2377M Processor ,Intel® Core™ i5-2405S Processor ,Intel® Xeon® Processor E3-1290 ,Intel® Pentium® Processor B940 ,Intel® Pentium® Processor B950 ,Intel® Pentium® Processor 957 ,Intel Atom® Processor Z670 ,Intel Atom® Processor Z650 ,Intel® Celeron® Processor B810E ,Intel® Celeron® Processor 847E ,Intel® Celeron® Processor 827E ,Intel® Celeron® Processor 847 ,Intel® Core™ i5-2467M Processor ,Intel® Core™ i7-980 Processor ,Intel® Celeron® Processor G440 ,Intel Atom® Processor N2600 ,Intel Atom® Processor N2800 ,Intel® Core™ i3-2125 Processor ,Intel® Celeron® Processor B710 ,Intel® Celeron® Processor B800 ,Intel® Celeron® Processor 787 ,Intel® Celeron® Processor 857 ,Intel Atom® Processor D2500 ,Intel Atom® Processor D2700 ,Intel® Core™ i3-2367M Processor ,Intel® Celeron® Processor B840 ,Intel® Pentium® Processor 967 ,Intel® Pentium® Processor B960 ,Intel® Core™ i5-2435M Processor ,Intel® Core™ i7-2700K Processor ,Intel® Xeon® Processor E5-2648L ,Intel® Xeon® Processor E5-2658 ,Intel® Celeron® Processor 807UE ,Intel® Core™ i7-3960X Processor Extreme Edition ,Intel® Core™ i7-3930K Processor ,Intel® Core™ i7-3820 Processor ,Intel® Celeron® Processor G460 ,Intel® Pentium® Processor B970 ,Intel® Pentium® Processor 977 ,Intel® Celeron® Processor 797 ,Intel® Celeron® Processor 867 ,Intel® Celeron® Processor B815 ,Intel® Celeron® Processor B720 ,Intel® Xeon® Processor E5-2687W ,Intel® Xeon® Processor E5-2680 ,Intel® Xeon® Processor E5-2660 ,Intel® Xeon® Processor E5-2650L ,Intel® Xeon® Processor E5-2630L ,Intel® Xeon® Processor E5-2643 ,Intel® Xeon® Processor E5-2609 ,Intel® Xeon® Processor E5-2667 ,Intel® Xeon® Processor E5-2650 ,Intel® Xeon® Processor E5-2640 ,Intel® Xeon® Processor E5-2603 ,Intel® Xeon® Processor E5-2630 ,Intel® Xeon® Processor E5-2620 ,Intel® Xeon® Processor E5-2670 ,Intel® Xeon® Processor E5-2690 ,Intel® Xeon® Processor E5-2665 ,Intel® Xeon® Processor E5-2637 ,Intel® Xeon® Processor E5-1650 ,Intel® Xeon® Processor E5-4610 ,Intel® Xeon® Processor E5-4640 ,Intel® Xeon® Processor E5-4607 ,Intel® Xeon® Processor E5-4650L ,Intel® Xeon® Processor E5-4620 ,Intel® Xeon® Processor E5-4617 ,Intel® Xeon® Processor E5-4603 ,Intel® Xeon® Processor E5-2450L ,Intel® Xeon® Processor E5-2450 ,Intel® Xeon® Processor E5-2440 ,Intel® Xeon® Processor E5-2430L ,Intel® Xeon® Processor E5-2407 ,Intel® Xeon® Processor E5-2403 ,Intel® Xeon® Processor E5-2430 ,Intel® Xeon® Processor E5-2420 ,Intel® Xeon® Processor E5-1660 ,Intel® Xeon® Processor E5-1620 ,Intel® Xeon® Processor E5-4650 ,Intel® Xeon® Processor E5-2470 ,Intel® Core™ i5-2450P Processor ,Intel® Core™ i5-2380P Processor ,Intel® Core™ i7-3920XM Processor Extreme Edition ,Intel® Core™ i7-3820QM Processor ,Intel® Core™ i7-3720QM Processor ,Intel® Core™ i7-3520M Processor ,Intel® Core™ i5-3360M Processor ,Intel® Core™ i5-3320M Processor ,Intel® Core™ i7-3667U Processor ,Intel® Core™ i7-3610QM Processor ,Intel® Core™ i7-3615QM Processor ,Intel® Core™ i7-3612QM Processor ,Intel® Core™ i5-3427U Processor ,Intel Atom® Processor D2550 ,Intel® Core™ i5-3450 Processor ,Intel® Core™ i5-3450S Processor ,Intel® Core™ i5-3475S Processor ,Intel® Core™ i5-3550 Processor ,Intel® Core™ i5-3550S Processor ,Intel® Core™ i5-3570K Processor ,Intel® Core™ i5-3570T Processor ,Intel® Core™ i7-3770K Processor ,Intel® Core™ i7-3770S Processor ,Intel® Core™ i7-3770T Processor ,Intel® Core™ i5-2550K Processor ,Intel® Core™ i3-3217UE Processor ,Intel® Core™ i3-3217U Processor ,Intel® Core™ i3-3120ME Processor ,Intel® Core™ i3-3110M Processor ,Intel® Core™ i5-3570S Processor ,Intel® Core™ i5-3570 Processor ,Intel® Core™ i5-3470T Processor ,Intel® Core™ i5-3610ME Processor ,Intel® Core™ i5-3317U Processor ,Intel® Core™ i5-3210M Processor ,Intel® Core™ i7-3615QE Processor ,Intel® Core™ i7-3612QE Processor ,Intel® Core™ i7-3610QE Processor ,Intel® Core™ i7-3555LE Processor ,Intel® Core™ i7-3517UE Processor ,Intel® Core™ i7-3517U Processor ,Intel® Core™ i7-3770 Processor ,Intel® Xeon® Processor E3-1290 v2 ,Intel® Xeon® Processor E3-1280 v2 ,Intel® Xeon® Processor E3-1275 v2 ,Intel® Xeon® Processor E3-1270 v2 ,Intel® Xeon® Processor E3-1265L v2 ,Intel® Xeon® Processor E3-1245 v2 ,Intel® Xeon® Processor E3-1240 v2 ,Intel® Xeon® Processor E3-1230 v2 ,Intel® Xeon® Processor E3-1225 v2 ,Intel® Xeon® Processor E3-1220 v2 ,Intel® Xeon® Processor E3-1220L v2 ,Intel® Pentium® Processor 1405 ,Intel® Xeon® Processor E5-1428L ,Intel® Pentium® Processor G860T ,Intel® Xeon® Processor E5-2448L ,Intel® Xeon® Processor E5-2428L ,Intel® Xeon® Processor E5-2418L ,Intel® Celeron® Processor 877 ,Intel® Celeron® Processor B820 ,Intel® Core™ i5-3210M Processor ,Intel® Core™ i7-3612QM Processor ,Intel® Celeron® Processor 807 ,Intel® Core™ i5-3470S Processor ,Intel® Core™ i5-3470 Processor ,Intel® Xeon® Processor E3-1125C ,Intel® Xeon® Processor E3-1105C ,Intel® Core™ i3-2115C Processor ,Intel® Pentium® Processor B915C ,Intel® Celeron® Processor 725C ,Intel® Pentium® Processor B980 ,Intel Atom® Processor Z2460 
Essentials
Product Collection,Legacy Intel® Pentium® Processor,Legacy Intel Atom® Processors,Legacy Intel Atom® Processors,Legacy Intel Atom® Processors,Intel® Xeon® Processor E3 Family,Intel® Xeon® Processor E3 Family,Intel® Xeon® Processor E3 Family,Intel® Xeon® Processor E3 Family,Intel® Xeon® Processor E3 Family,Intel® Xeon® Processor E3 Family,Intel® Xeon® Processor E3 Family,Intel® Xeon® Processor E3 Family,Intel® Xeon® Processor E3 Family,Intel® Xeon® Processor E3 Family,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Intel® Xeon® Processor E3 Family,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel Atom® Processors,Legacy Intel Atom® Processors,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Celeron® Processor,Intel Atom® Processor N Series,Intel Atom® Processor N Series,Legacy Intel® Core™ Processors,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Intel Atom® Processor D Series,Intel Atom® Processor D Series,Legacy Intel® Core™ Processors,Legacy Intel® Celeron® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Intel® Xeon® Processor E5 Family,Intel® Xeon® Processor E5 Family,Legacy Intel® Celeron® Processor,Intel® Core™ X-series Processors,Intel® Core™ X-series Processors,Intel® Core™ X-series Processors,Legacy Intel® Celeron® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Intel® Xeon® Processor E5 Family,Intel® Xeon® Processor E5 Family,Intel® Xeon® Processor E5 Family,Intel® Xeon® Processor E5 Family,Intel® Xeon® Processor E5 Family,Intel® Xeon® Processor E5 Family,Intel® Xeon® Processor E5 Family,Intel® Xeon® Processor E5 Family,Intel® Xeon® Processor E5 Family,Intel® Xeon® Processor E5 Family,Intel® Xeon® Processor E5 Family,Intel® Xeon® Processor E5 Family,Intel® Xeon® Processor E5 Family,Intel® Xeon® Processor E5 Family,Intel® Xeon® Processor E5 Family,Intel® Xeon® Processor E5 Family,Intel® Xeon® Processor E5 Family,Intel® Xeon® Processor E5 Family,Intel® Xeon® Processor E5 Family,Intel® Xeon® Processor E5 Family,Intel® Xeon® Processor E5 Family,Intel® Xeon® Processor E5 Family,Intel® Xeon® Processor E5 Family,Intel® Xeon® Processor E5 Family,Intel® Xeon® Processor E5 Family,Intel® Xeon® Processor E5 Family,Intel® Xeon® Processor E5 Family,Intel® Xeon® Processor E5 Family,Intel® Xeon® Processor E5 Family,Intel® Xeon® Processor E5 Family,Intel® Xeon® Processor E5 Family,Intel® Xeon® Processor E5 Family,Intel® Xeon® Processor E5 Family,Intel® Xeon® Processor E5 Family,Intel® Xeon® Processor E5 Family,Intel® Xeon® Processor E5 Family,Intel® Xeon® Processor E5 Family,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Intel® Core™ X-series Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Intel Atom® Processor D Series,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Intel® Xeon® Processor E3 v2 Family,Intel® Xeon® Processor E3 v2 Family,Intel® Xeon® Processor E3 v2 Family,Intel® Xeon® Processor E3 v2 Family,Intel® Xeon® Processor E3 v2 Family,Intel® Xeon® Processor E3 v2 Family,Intel® Xeon® Processor E3 v2 Family,Intel® Xeon® Processor E3 v2 Family,Intel® Xeon® Processor E3 v2 Family,Intel® Xeon® Processor E3 v2 Family,Intel® Xeon® Processor E3 v2 Family,Intel® Pentium® Processor 1000 Series,Intel® Xeon® Processor E5 Family,Legacy Intel® Pentium® Processor,Intel® Xeon® Processor E5 Family,Intel® Xeon® Processor E5 Family,Intel® Xeon® Processor E5 Family,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Celeron® Processor,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Intel® Xeon® Processor E3 Family,Intel® Xeon® Processor E3 Family,Legacy Intel® Core™ Processors,Legacy Intel® Pentium® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Pentium® Processor,Intel Atom® Processor Z Series
Vertical Segment,Desktop,Mobile,Mobile,Mobile,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Mobile,Mobile,Mobile,Mobile,Desktop,Desktop,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Mobile,Mobile,Mobile,Mobile,Embedded,Mobile,Desktop,Server,Mobile,Mobile,Mobile,Mobile,Mobile,Embedded,Embedded,Embedded,Mobile,Mobile,Desktop,Desktop,Mobile,Mobile,Desktop,Mobile,Mobile,Mobile,Mobile,Desktop,Desktop,Mobile,Mobile,Mobile,Mobile,Mobile,Desktop,Embedded,Embedded,Embedded,Desktop,Desktop,Desktop,Desktop,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Desktop,Desktop,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Embedded,Mobile,Embedded,Mobile,Desktop,Desktop,Desktop,Embedded,Mobile,Mobile,Embedded,Embedded,Embedded,Embedded,Embedded,Mobile,Desktop,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Desktop,Embedded,Embedded,Embedded,Mobile,Mobile,Mobile,Mobile,Mobile,Desktop,Desktop,Embedded,Embedded,Embedded,Embedded,Embedded,Mobile,Mobile
Processor Number,G6951,Z600,Z615,Z625,E3-1220,E3-1225,E3-1230,E3-1235,E3-1240,E3-1245,E3-1260L,E3-1270,E3-1275,E3-1280,G530,G530T,G540,G540T,G550,i3-2120T,i3-2130,i3-2330E,i3-2330M,i3-2350M,i3-2370M,i5-2310,i5-2320,i5-2430M,i5-2450M,i7-2640M,i7-2670QM,i7-2675QM,i7-2760QM,i7-2860QM,i7-2960XM,G630,G630T,G632,G640,G640T,G860,G870,i7-2677M,i7-2637M,i5-2557M,i3-2357M,i3-2340UE,i3-2377M,i5-2405S,E3-1290,B940,B950,957,Z670,Z650,B810E,847E,827E,847,i5-2467M,i7-980,G440,N2600,N2800,i3-2125,B710,B800,787,857,D2500,D2700,i3-2367M,B840,967,B960,i5-2435M,i7-2700K,E5-2648L,E5-2658,807UE,i7-3960X,i7-3930K,i7-3820,G460,B970,977,797,867,B815,B720,E5-2687W,E5-2680,E5-2660,E5-2650L,E5-2630L,E5-2643,E5-2609,E5-2667,E5-2650,E5-2640,E5-2603,E5-2630,E5-2620,E5-2670,E5-2690,E5-2665,E5-2637,E5-1650,E5-4610,E5-4640,E5-4607,E5-4650L,E5-4620,E5-4617,E5-4603,E5-2450L,E5-2450,E5-2440,E5-2430L,E5-2407,E5-2403,E5-2430,E5-2420,E5-1660,E5-1620,E5-4650,E5-2470,i5-2450P,i5-2380P,i7-3920XM,i7-3820QM,i7-3720QM,i7-3520M,i5-3360M,i5-3320M,i7-3667U,i7-3610QM,i7-3615QM,i7-3612QM,i5-3427U,D2550,i5-3450,i5-3450S,i5-3475S,i5-3550,i5-3550S,i5-3570K,i5-3570T,i7-3770K,i7-3770S,i7-3770T,i5-2550K,i3-3217UE,i3-3217U,i3-3120ME,i3-3110M,i5-3570S,i5-3570,i5-3470T,i5-3610ME,i5-3317U,i5-3210M,i7-3615QE,i7-3612QE,i7-3610QE,i7-3555LE,i7-3517UE,i7-3517U,i7-3770,E3-1290V2,E3-1280V2,E3-1275V2,E3-1270V2,E3-1265LV2,E3-1245V2,E3-1240V2,E3-1230V2,E3-1225V2,E3-1220V2,E3-1220LV2,1405,E5-1428L,G860T,E5-2448L,E5-2428L,E5-2418L,877,B820,i5-3210M,i7-3612QM,807,i5-3470S,i5-3470,E3-1125C,E3-1105C,i3-2115C,B915C,725C,B980,Z2460
Lithography,32 nm,45 nm,45 nm,45 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,45 nm,45 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,32 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,32 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,22 nm,22 nm,32 nm,22 nm,22 nm,,,,,,32 nm,32 nm
Use Conditions,,,,,,Server/Enterprise,,,,,,,Server/Enterprise,,,,PC/Client/Tablet,,,,,Embedded Broad Market Commercial Temp |  PC/Client/Tablet,,,,,,,,,,,,,,,,,,,,,,,,,Embedded Broad Market Commercial Temp |  PC/Client/Tablet,,,,,,,,,Embedded Broad Market Commercial Temp |  PC/Client/Tablet,Embedded Broad Market Commercial Temp |  PC/Client/Tablet,Embedded Broad Market Commercial Temp |  PC/Client/Tablet,,,,,PC/Client/Tablet,PC/Client/Tablet,,,,,,,,,,,,,,Communications,Communications,Embedded Broad Market Commercial Temp |  PC/Client/Tablet,,,,,,,,,,,,,,,,,,,,,,,Server/Enterprise,,,,,,,,,,,,,,,,,,,Server/Enterprise,,,,,,,,,,,,,,,,,,,PC/Client/Tablet,,,,,PC/Client/Tablet,,,,,,,Embedded Broad Market Commercial Temp |  PC/Client/Tablet,,Embedded Broad Market Commercial Temp |  PC/Client/Tablet,,,,,Embedded Broad Market Commercial Temp |  PC/Client/Tablet,,,Embedded Broad Market Commercial Temp |  PC/Client/Tablet,Embedded Broad Market Commercial Temp |  PC/Client/Tablet,Embedded Broad Market Commercial Temp |  PC/Client/Tablet,Embedded Broad Market Commercial Temp |  PC/Client/Tablet,Embedded Broad Market Commercial Temp |  PC/Client/Tablet,,PC/Client/Tablet,,,PC/Client/Tablet,,,,,,PC/Client/Tablet,,,,,,Communications,Communications,Communications,,,,,,,,Communications,Communications,Communications,Communications,Communications,,
Recommended Customer Price,,,,,$203.00,$209.00,$230.00,$250.00,$261.00,$273.00,,$339.00,$350.00,$623.00,$42.00,,$42.00,,$42.00,$121.00,$117.00,,,,,,$177.00,,,,,,,,,$64.00,$72.00,,$64.00,$64.00-$72.00,$75.00,$82.00,,,,,,,,,,,,,,,,,$134.00,,$594.00,,,,$144.00,,,,,,,,$86.00,,,,,,,,$1059.00,$594.00,$305.00,$37.00,,,,,,,$1890.00,$1727.00,$1329.00-$1333.00,,,,$299.00,,$1107.00-$1112.00,$885.00-$889.00,$207.00,$612.00-$616.00,$410.00,$1552.00-$1556.00,$2057.00-$2061.00,$1444.00,,$583.00,$1223.00,$2725.00-$2730.00,$885.00-$889.00,$3616.00-$3620.00,$1611.00-$1616.00,,$551.00-$555.00,,$1112.00,$837.00,,$251.00,$195.00,$554.00,$387.00-$391.00,$1080.00-$1083.00,$294.00,$3616.00-$3620.00,$1440.00-$1444.00,$205.00,$187.00,,,,,$269.00,$227.00,,,,,$225.00,$47.00,$195.00,$195.00,,$213.00,,$235.00,,$342.00,$305.00,,$235.00,,,,,,$213.00,$184.00,,$225.00,,$335.00,,,,,,$305.00,,$623.00,$350.00,$339.00,$305.00,$273.00,$261.00,$215.00-$230.00,$224.00,$189.00-$203.00,,$143.00,$480.00,,,,,,,,,,,,,,,,,,

CPU Specifications
Total Cores,2,1,1,1,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,4,4,2,2,2,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,2,2,2,1,1,2,2,1,,2,6,1,2,2,2,1,2,1,2,2,2,2,2,2,2,2,4,8,8,1,6,6,4,1,2,2,1,2,2,1,8,8,8,8,6,4,4,6,8,6,4,6,6,8,8,8,2,6,6,8,6,8,8,6,4,8,8,6,6,4,4,6,6,6,4,8,8,4,4,4,4,4,2,2,2,2,4,4,4,2,2,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,4,4,2,2,2,2,4,4,4,2,2,2,4,4,4,4,4,4,4,4,4,4,4,2,2,6,2,8,6,4,2,2,2,4,1,4,4,4,4,2,2,1,2,1
