ARK | Intel® Product Specification Comparison
01/25/2024 11:25:01 AM
 ,Intel® Core™ i7-860S Processor ,Intel® Celeron® Processor T3500 ,Intel® Celeron® Processor E3500 ,Intel® Pentium® Processor E5500 ,Intel® Pentium® Processor E5700 ,Intel® Pentium® Processor E5800 ,Intel® Pentium® Processor E6700 ,Intel® Pentium® Processor E6800 ,Intel® Core™ i5-750S Processor ,Intel® Pentium® Processor T4500 ,Intel Atom® Processor D510 ,Intel® Core™ i7-840QM Processor ,Intel® Core™ i7-940XM Processor Extreme Edition ,Intel® Pentium® Processor G6950 ,Intel® Itanium® Processor 9310 ,Intel® Itanium® Processor 9320 ,Intel® Itanium® Processor 9340 ,Intel® Itanium® Processor 9350 ,Intel Atom® Processor D410 ,Intel® Core™ i3-350M Processor ,Intel® Core™ i5-430M Processor ,Intel® Core™ i5-540M Processor ,Intel® Core™ i5-650 Processor ,Intel® Core™ i5-660 Processor ,Intel® Core™ i5-661 Processor ,Intel® Core™ i5-670 Processor ,Intel® Core™ i7-620LM Processor ,Intel® Core™ i7-620M Processor ,Intel® Core™ i7-620UM Processor ,Intel® Core™ i7-640LM Processor ,Intel® Core™ i3-530 Processor ,Intel® Core™ i3-540 Processor ,Intel® Pentium® Processor G6960 ,Intel® Core™ i5-520M Processor ,Intel® Celeron® Processor P4500 ,Intel® Core™ i5-520UM Processor ,Intel® Xeon® Processor L3406 ,Intel® Xeon® Processor EC5509 ,Intel® Xeon® Processor LC5518 ,Intel® Celeron® Processor P1053 ,Intel® Core™ i3-330M Processor ,Intel® Core™ i7-640UM Processor ,Intel® Xeon® Processor X5680 ,Intel® Xeon® Processor W3680 ,Intel® Xeon® Processor W3670 ,Intel® Xeon® Processor X5667 ,Intel® Xeon® Processor X5670 ,Intel® Xeon® Processor X5660 ,Intel® Xeon® Processor X5650 ,Intel® Xeon® Processor E5640 ,Intel® Xeon® Processor E5630 ,Intel® Xeon® Processor E5620 ,Intel® Xeon® Processor L5640 ,Intel® Xeon® Processor L5630 ,Intel® Xeon® Processor L5609 ,Intel® Xeon® Processor X5677 ,Intel® Core™ i7-980X Processor Extreme Edition ,Intel® Core™ i7-970 Processor ,Intel® Core™ i7-620LE Processor ,Intel® Core™ i7-620UE Processor ,Intel® Core™ i5-520E Processor ,Intel® Core™ i7-610E Processor ,Intel® Core™ i3-330E Processor ,Intel® Celeron® Processor P4505 ,Intel® Core™ i5-760 Processor ,Intel® Core™ i7-870S Processor ,Intel® Core™ i7-875K Processor ,Intel® Core™ i7-880 Processor ,Intel® Xeon® Processor X3480 ,Intel® Core™ i5-680 Processor ,Intel® Core™ i3-550 Processor ,Intel® Core™ i5-655K Processor ,Intel® Xeon® Processor L5638 ,Intel® Xeon® Processor L5618 ,Intel® Xeon® Processor E5645 ,Intel® Core™ i3-370M Processor ,Intel® Core™ i3-330UM Processor ,Intel® Core™ i5-450M Processor ,Intel® Core™ i5-430UM Processor ,Intel® Core™ i7-740QM Processor ,Intel® Pentium® Processor P6000 ,Intel® Pentium® Processor U5400 ,Intel® Celeron® Processor U3400 ,Intel® Core™ i7-660UM Processor ,Intel® Core™ i5-540UM Processor ,Intel Atom® Processor D425 ,Intel Atom® Processor D525 ,Intel Atom® Processor N455 ,Intel Atom® Processor N475 ,Intel® Core™ i5-580M Processor ,Intel® Core™ i5-560M Processor ,Intel® Core™ i7-660LM Processor ,Intel® Core™ i7-680UM Processor ,Intel® Core™ i5-560UM Processor ,Intel® Core™ i7-640M Processor ,Intel Atom® Processor Z560 ,Intel® Core™ i5-470UM Processor ,Intel® Core™ i3-380UM Processor ,Intel® Pentium® Processor U5600 ,Intel® Celeron® Processor U3600 ,Intel® Core™ i7-2720QM Processor ,Intel® Core™ i5-2540M Processor ,Intel Atom® Processor N550 ,Intel® Pentium® Processor P6100 ,Intel® Pentium® Processor P6200 ,Intel® Core™ i3-560 Processor ,Intel® Core™ i3-380M Processor ,Intel® Core™ i5-460M Processor ,Intel® Pentium® Processor P6300 ,Intel® Core™ i5-2300 Processor ,Intel® Core™ i5-2400 Processor ,Intel® Core™ i5-2400S Processor ,Intel® Core™ i5-2500 Processor ,Intel® Core™ i5-2500K Processor ,Intel® Core™ i5-2500S Processor ,Intel® Core™ i5-2500T Processor ,Intel® Core™ i7-2600 Processor ,Intel® Core™ i7-2600K Processor ,Intel® Core™ i7-2600S Processor ,Intel® Core™ i7-2630QM Processor ,Intel® Core™ i3-2310M Processor ,Intel® Core™ i5-2410M Processor ,Intel® Core™ i7-2820QM Processor ,Intel® Core™ i5-2520M Processor ,Intel® Core™ i7-2620M Processor ,Intel® Core™ i7-2920XM Processor Extreme Edition ,Intel® Celeron® Processor P4600 ,Intel Atom® Processor E620 ,Intel Atom® Processor E620T ,Intel Atom® Processor E640 ,Intel Atom® Processor E640T ,Intel Atom® Processor E660 ,Intel Atom® Processor E660T ,Intel Atom® Processor E680 ,Intel Atom® Processor E680T ,Intel® Xeon® Processor X5690 ,Intel® Xeon® Processor X5675 ,Intel® Xeon® Processor X5687 ,Intel® Xeon® Processor X5672 ,Intel® Xeon® Processor X5647 ,Intel® Xeon® Processor E5649 ,Intel® Xeon® Processor E5607 ,Intel® Xeon® Processor E5606 ,Intel® Xeon® Processor E5603 ,Intel® Core™ i7-990X Processor Extreme Edition ,Intel® Xeon® Processor W3690 ,Intel® Core™ i5-480M Processor ,Intel® Core™ i3-390M Processor ,Intel® Xeon® Processor E3-1220L ,Intel® Core™ i3-2100 Processor ,Intel® Core™ i3-2100T Processor ,Intel® Core™ i3-2102 Processor ,Intel® Core™ i3-2120 Processor ,Intel® Core™ i3-2312M Processor ,Intel® Core™ i5-2390T Processor ,Intel® Core™ i5-2510E Processor ,Intel® Core™ i7-2635QM Processor ,Intel® Core™ i7-2710QE Processor ,Intel® Pentium® Processor G620 ,Intel® Pentium® Processor G620T ,Intel® Pentium® Processor G622 ,Intel® Pentium® Processor G840 ,Intel® Pentium® Processor G850 ,Intel® Xeon® Processor E7-2803 ,Intel® Xeon® Processor E7-4807 ,Intel® Xeon® Processor E7-2860 ,Intel® Xeon® Processor E7-4860 ,Intel® Xeon® Processor E7-8860 ,Intel® Xeon® Processor E7-2850 ,Intel® Xeon® Processor E7-4850 ,Intel® Xeon® Processor E7-8850 ,Intel® Xeon® Processor E7-8837 ,Intel® Xeon® Processor E7-8867L ,Intel® Xeon® Processor E7-2870 ,Intel® Xeon® Processor E7-4870 ,Intel® Xeon® Processor E7-8870 ,Intel® Xeon® Processor E7-2820 ,Intel® Xeon® Processor E7-2830 ,Intel® Xeon® Processor E7-4820 ,Intel® Xeon® Processor E7-4830 ,Intel® Xeon® Processor E7-8830 ,Intel® Celeron® Processor ULV 763 ,Intel® Celeron® Processor 925 ,Intel Atom® Processor E645C ,Intel Atom® Processor E645CT ,Intel Atom® Processor E665C ,Intel Atom® Processor E665CT ,Intel® Core™ i7-2629M Processor ,Intel® Core™ i7-2649M Processor ,Intel® Core™ i7-2657M Processor ,Intel® Core™ i7-2617M Processor ,Intel® Core™ i5-2537M Processor ,Intel® Core™ i7-2655LE Processor ,Intel® Core™ i3-2310E Processor ,Intel® Core™ i7-2715QE Processor ,Intel® Core™ i7-2610UE Processor ,Intel® Core™ i5-2515E Processor ,Intel® Core™ i3-2105 Processor ,Intel Atom® Processor N570 ,Intel® Celeron® Processor B810 
Essentials
Product Collection,Legacy Intel® Core™ Processors,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Core™ Processors,Legacy Intel® Pentium® Processor,Legacy Intel Atom® Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Pentium® Processor,Intel® Itanium® Processor 9300 Series,Intel® Itanium® Processor 9300 Series,Intel® Itanium® Processor 9300 Series,Intel® Itanium® Processor 9300 Series,Legacy Intel Atom® Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Pentium® Processor,Legacy Intel® Core™ Processors,Legacy Intel® Celeron® Processor,Legacy Intel® Core™ Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Celeron® Processor,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Celeron® Processor,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel Atom® Processors,Legacy Intel Atom® Processors,Legacy Intel Atom® Processors,Legacy Intel Atom® Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel Atom® Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Pentium® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel Atom® Processors,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Pentium® Processor,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Celeron® Processor,Legacy Intel Atom® Processors,Legacy Intel Atom® Processors,Legacy Intel Atom® Processors,Legacy Intel Atom® Processors,Legacy Intel Atom® Processors,Legacy Intel Atom® Processors,Legacy Intel Atom® Processors,Legacy Intel Atom® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Core™ Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Intel® Xeon® Processor E3 Family,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Intel® Xeon® Processor E7 Family,Intel® Xeon® Processor E7 Family,Intel® Xeon® Processor E7 Family,Intel® Xeon® Processor E7 Family,Intel® Xeon® Processor E7 Family,Intel® Xeon® Processor E7 Family,Intel® Xeon® Processor E7 Family,Intel® Xeon® Processor E7 Family,Intel® Xeon® Processor E7 Family,Intel® Xeon® Processor E7 Family,Intel® Xeon® Processor E7 Family,Intel® Xeon® Processor E7 Family,Intel® Xeon® Processor E7 Family,Intel® Xeon® Processor E7 Family,Intel® Xeon® Processor E7 Family,Intel® Xeon® Processor E7 Family,Intel® Xeon® Processor E7 Family,Intel® Xeon® Processor E7 Family,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel Atom® Processors,Legacy Intel Atom® Processors,Legacy Intel Atom® Processors,Legacy Intel Atom® Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel Atom® Processors,Legacy Intel® Celeron® Processor
Vertical Segment,Desktop,Mobile,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Mobile,Desktop,Mobile,Mobile,Desktop,Server,Server,Server,Server,Desktop,Mobile,Mobile,Mobile,Desktop,Desktop,Desktop,Desktop,Mobile,Mobile,Mobile,Mobile,Desktop,Desktop,Desktop,Mobile,Mobile,Mobile,Server,Embedded,Embedded,Embedded,Mobile,Mobile,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Desktop,Desktop,Embedded,Embedded,Embedded,Mobile,Mobile,Mobile,Desktop,Desktop,Desktop,Desktop,Server,Desktop,Desktop,Desktop,Server,Server,Server,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Desktop,Desktop,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Desktop,Mobile,Mobile,Mobile,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Embedded,Embedded,Embedded,Embedded,Embedded,Embedded,Embedded,Embedded,Server,Server,Server,Server,Server,Server,Server,Server,Server,Desktop,Server,Mobile,Mobile,Server,Desktop,Desktop,Desktop,Desktop,Mobile,Desktop,Mobile,Mobile,Mobile,Desktop,Desktop,Desktop,Desktop,Desktop,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Mobile,Mobile,Embedded,Embedded,Embedded,Embedded,Mobile,Mobile,Mobile,Mobile,Mobile,Embedded,Embedded,Embedded,Embedded,Embedded,Desktop,Mobile,Mobile
Processor Number,i7-860S,T3500,E3500,E5500,E5700,E5800,E6700,E6800,i5-750S,T4500,D510,i7-840QM,i7-940XM,G6950,9310,9320,9340,9350,D410,i3-350M,i5-430M,i5-540M,i5-650,i5-660,i5-661,i5-670,i7-620LM,i7-620M,i7-620UM,i7-640LM,i3-530,i3-540,G6960,i5-520M,P4500,i5-520UM,L3406,EC5509,LC5518,P1053,i3-330M,i7-640UM,X5680,W3680,W3670,X5667,X5670,X5660,X5650,E5640,E5630,E5620,L5640,L5630,L5609,X5677,i7-980X,i7-970,i7-620LE,i7-620UE,i5-520E,i7-610E,i3-330E,P4505,i5-760,i7-870S,i7-875K,i7-880,X3480,i5-680,i3-550,i5-655K,L5638,L5618,E5645,i3-370M,i3-330UM,i5-450M,i5-430UM,i7-740QM,P6000,U5400,U3400,i7-660UM,i5-540UM,D425,D525,N455,N475,i5-580M,i5-560M,i7-660LM,i7-680UM,i5-560UM,i7-640M,Z560,i5-470UM,i3-380UM,U5600,U3600,i7-2720QM,i5-2540M,N550,P6100,P6200,i3-560,i3-380M,i5-460M,P6300,i5-2300,i5-2400,i5-2400S,i5-2500,i5-2500K,i5-2500S,i5-2500T,i7-2600,i7-2600K,i7-2600S,i7-2630QM,i3-2310M,i5-2410M,i7-2820QM,i5-2520M,i7-2620M,i7-2920XM,P4600,E620,E620T,E640,E640T,E660,E660T,E680,E680T,X5690,X5675,X5687,X5672,X5647,E5649,E5607,E5606,E5603,i7-990X,W3690,i5-480M,i3-390M,E3-1220L,i3-2100,i3-2100T,i3-2102,i3-2120,i3-2312M,i5-2390T,i5-2510E,i7-2635QM,i7-2710QE,G620,G620T,G622,G840,G850,E7-2803,E7-4807,E7-2860,E7-4860,E7-8860,E7-2850,E7-4850,E7-8850,E7-8837,E7-8867L,E7-2870,E7-4870,E7-8870,E7-2820,E7-2830,E7-4820,E7-4830,E7-8830,763,925,E645C,E645CT,E665C,E665CT,i7-2629M,i7-2649M,i7-2657M,i7-2617M,i5-2537M,i7-2655LE,i3-2310E,i7-2715QE,i7-2610UE,i5-2515E,i3-2105,N570,B810
Lithography,45 nm,45 nm,45 nm,45 nm,45 nm,45 nm,45 nm,45 nm,45 nm,45 nm,45 nm,45 nm,45 nm,32 nm,65 nm,65 nm,65 nm,65 nm,45 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,45 nm,45 nm,45 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,45 nm,45 nm,45 nm,45 nm,45 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,45 nm,32 nm,32 nm,32 nm,32 nm,32 nm,45 nm,45 nm,45 nm,45 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,45 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,45 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,45 nm,45 nm,45 nm,45 nm,45 nm,45 nm,45 nm,45 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,45 nm,45 nm,45 nm,45 nm,45 nm,45 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,45 nm,32 nm
Use Conditions,,,,,,,,,,,PC/Client/Tablet,,,PC/Client/Tablet,,,,,PC/Client/Tablet,,,,,PC/Client/Tablet,,,,PC/Client/Tablet,,,,PC/Client/Tablet,,PC/Client/Tablet,,,,Communications,Communications,Communications,,,,,,,,,,,,Server/Enterprise,,,,,,,Embedded Broad Market Commercial Temp |  PC/Client/Tablet,Embedded Broad Market Commercial Temp |  PC/Client/Tablet,Embedded Broad Market Commercial Temp |  PC/Client/Tablet,Embedded Broad Market Commercial Temp |  PC/Client/Tablet,Embedded Broad Market Commercial Temp |  PC/Client/Tablet,Embedded Broad Market Commercial Temp |  PC/Client/Tablet,,,,,,,,,Communications,Communications,Communications,,,,,,,,,,,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,,,,,,,,,,,,,,,,,,,,,,,PC/Client/Tablet,,,,,,PC/Client/Tablet,,,,,,,,,,,Industrial Commercial Temp,Industrial Commercial Temp |  Industrial Extended Temp,Industrial Commercial Temp,Industrial Commercial Temp |  Industrial Extended Temp,Industrial Commercial Temp,Industrial Commercial Temp |  Industrial Extended Temp,Industrial Commercial Temp,Industrial Commercial Temp |  Industrial Extended Temp,,,,,,,,,,,,,,,,,,PC/Client/Tablet,,,Embedded Broad Market Commercial Temp |  PC/Client/Tablet,,Embedded Broad Market Commercial Temp |  PC/Client/Tablet,,,,,PC/Client/Tablet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Embedded Broad Market Commercial Temp |  PC/Client/Tablet,Embedded Broad Market Commercial Temp |  PC/Client/Tablet,Embedded Broad Market Commercial Temp |  PC/Client/Tablet,Embedded Broad Market Commercial Temp |  PC/Client/Tablet,Embedded Broad Market Commercial Temp |  PC/Client/Tablet,,,PC/Client/Tablet
Recommended Customer Price,$362.00,,$52.00,$72.00,$64.00,$72.00,,$93.00,$279.00,,,$570.00,,$77.00-$96.00,$946.00,$1614.00,$2059.00,$3838.00,$43.00,,,$269.00,$177.00,$177.00-$193.00,$177.00,$305.00,,,,,$117.00,$117.00,,$227.00,,,$201.00,$286.00,$493.00,$153.00,,,$1666.00,$594.00,$594.00,,$1443.00,$1222.00,$999.00,$777.00,$554.00,$369.00-$391.00,$999.00,$554.00,,,$1059.00,$594.00,,,$210.00,$232.00,$138.00,$68.00,$213.00,,$353.00,,$623.00,$305.00,$117.00,$177.00,,,$554.00,,,,,$380.00,,,,,,,$63.00,,,,,,,,,,,,,,,$269.00,,,,$117.00,,,,$187.00,,,,,,,,,,,,,$570.00,,,,,,,,,,,,,$1666.00,$1443.00,,,,$777.00,$279.00,$219.00-$227.00,$188.00-$195.00,$1059.00,,,,,$120.00,$132.00,,$120.00,,,,,,$64.00,$70.00-$77.00,,$75.00,$75.00,$774.00,$890.00,$3670.00,$3838.00,$4061.00,$2558.00,$2837.00,$3059.00,$2280.00,$4172.00,$4227.00,$4394.00,$4616.00,$1334.00,$1779.00,$1446.00,$2059.00,$2280.00,,,,,,,,,,,,,,,,,$134.00,,

CPU Specifications
Total Cores,4,,,,,,,,4,,2,4,4,2,2,4,4,4,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,1,2,2,6,6,6,4,6,6,6,4,4,4,6,4,4,4,6,6,2,2,2,2,2,2,4,4,4,4,4,2,2,2,6,4,6,2,2,2,2,4,2,2,2,2,2,1,2,1,1,2,2,2,2,2,2,,2,2,2,2,4,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,2,2,4,2,2,4,2,1,1,1,1,1,1,1,1,6,6,4,4,4,6,4,4,4,6,6,2,2,2,2,2,2,2,2,2,2,4,4,2,2,2,2,2,6,6,10,10,10,10,10,10,8,10,10,10,10,8,8,8,8,8,,,1,1,1,1,2,2,2,2,2,2,2,4,2,2,2,2,2
