ARK | Intel® Product Specification Comparison
01/24/2024 10:42:25 AM
 ,Intel® Core™ i7-7740X X-series Processor ,Intel® Core™ i5-7640X X-series Processor ,Intel® Core™ i7-8550U Processor ,Intel® Core™ i3-7020U Processor ,Intel® Core™ i7-7800X X-series Processor ,Intel® Core™ i9-7900X X-series Processor ,Intel® Core™ i7-7820X X-series Processor ,Intel® Core™ i5-8250U Processor ,Intel® Core™ i7-8650U Processor ,Intel® Core™ i5-8350U Processor ,Intel® Core™ i3-7130U Processor ,Intel® Core™ i9-7920X X-series Processor ,Intel® Core™ i7-8700K Processor ,Intel® Core™ i5-8600K Processor ,Intel® Core™ i7-8700 Processor ,Intel® Core™ i5-8400 Processor ,Intel® Core™ i3-8100 Processor ,Intel® Core™ i3-8350K Processor ,Intel® Core™ i9-7940X X-series Processor ,Intel® Core™ i9-7960X X-series Processor ,Intel® Core™ i9-7980XE Extreme Edition Processor ,Intel® Core™ i7-8706G Processor with Radeon™ RX Vega M GL graphics ,Intel® Core™ i7-8709G Processor with Radeon™ RX Vega M GH graphics ,Intel® Core™ i5-8305G Processor with Radeon™ RX Vega M GL graphics ,Intel® Core™ i7-8809G Processor with Radeon™ RX Vega M GH graphics ,Intel® Core™ i7-8705G Processor with Radeon™ RX Vega M GL graphics ,Intel® Core™ i7-8850H Processor ,Intel® Core™ i9-8950HK Processor ,Intel® Core™ i7-8750H Processor ,Intel® Core™ i3-8130U Processor ,Intel® Core™ i3-8100H Processor ,Intel® Core™ i5-9500TE Processor ,Intel® Core™ i3-4160 Processor ,Intel® Core™ i3-4160T Processor ,Intel® Core™ i3-4170 Processor ,Intel® Core™ i3-4360T Processor ,Intel® Core™ i3-4370 Processor ,Intel® Core™ i5-4210H Processor ,Intel® Core™ i7-4720HQ Processor ,Intel® Core™ i7-4722HQ Processor ,Intel® Core™ i7-4790K Processor ,Intel® Core™ i5-4690K Processor ,Intel® Core™ i3-4370T Processor ,Intel® Core™ i3-4170T Processor ,Intel® Core™ i7-5960X Processor Extreme Edition ,Intel® Core™ i7-5930K Processor ,Intel® Core™ i7-5820K Processor ,Intel® Core™ i7-4980HQ Processor ,Intel® Core™ i7-4870HQ Processor ,Intel® Core™ i7-4770HQ Processor ,Intel® Core™ i7-4578U Processor ,Intel® Core™ i5-4308U Processor ,Intel® Core™ i5-4278U Processor ,Intel® Core™ M-5Y10 Processor ,Intel® Core™ M-5Y10a Processor ,Intel® Core™ M-5Y70 Processor ,Intel® Core™ M-5Y31 Processor ,Intel® Core™ M-5Y51 Processor ,Intel® Core™ M-5Y71 Processor ,Intel® Core™ i3-5005U Processor ,Intel® Core™ i3-5010U Processor ,Intel® Core™ i3-5015U Processor ,Intel® Core™ i3-5020U Processor ,Intel® Core™ i3-5157U Processor ,Intel® Core™ i5-5250U Processor ,Intel® Core™ i5-5257U Processor ,Intel® Core™ i5-5287U Processor ,Intel® Core™ i5-5350U Processor ,Intel® Core™ i7-5550U Processor ,Intel® Core™ i7-5557U Processor ,Intel® Core™ i7-5650U Processor ,Intel® Core™ i5-5200U Processor ,Intel® Core™ i5-5300U Processor ,Intel® Core™ i7-5500U Processor ,Intel® Core™ i7-5600U Processor ,Intel® Core™ M-5Y10c Processor ,Intel® Core™ i5-5350H Processor ,Intel® Core™ i5-5575R Processor ,Intel® Core™ i5-5675R Processor ,Intel® Core™ i7-5700HQ Processor ,Intel® Core™ i7-5750HQ Processor ,Intel® Core™ i7-5775R Processor ,Intel® Core™ i7-5850HQ Processor ,Intel® Core™ i7-5950HQ Processor ,Intel® Core™ i7-5775C Processor ,Intel® Core™ i7-5700EQ Processor ,Intel® Core™ i7-5850EQ Processor ,Intel® Core™ i5-5675C Processor ,Intel® Core™ i3-6100U Processor ,Intel® Core™ i3-6100TE Processor ,Intel® Core™ i5-6500T Processor ,Intel® Core™ i5-6500 Processor ,Intel® Core™ i5-6400 Processor ,Intel® Core™ i5-6500TE Processor ,Intel® Core™ i5-6400T Processor ,Intel® Core™ i5-6600 Processor ,Intel® Core™ i5-6600T Processor ,Intel® Core™ i5-6300U Processor ,Intel® Core™ i5-6600K Processor ,Intel® Core™ i7-6600U Processor ,Intel® Core™ i5-6200U Processor ,Intel® Core™ i7-6500U Processor ,Intel® Core™ i7-6700K Processor ,Intel® Core™ i7-6700 Processor ,Intel® Core™ m5-6Y57 Processor ,Intel® Core™ m3-6Y30 Processor ,Intel® Core™ m7-6Y75 Processor ,Intel® Core™ i7-6700T Processor ,Intel® Core™ i7-6700TE Processor ,Intel® Core™ m5-6Y54 Processor ,Intel® Core™ i5-6300HQ Processor ,Intel® Core™ i5-6440HQ Processor ,Intel® Core™ i7-6700HQ Processor ,Intel® Core™ i7-6820HK Processor ,Intel® Core™ i7-6820HQ Processor ,Intel® Core™ i7-6920HQ Processor ,Intel® Core™ i3-6100H Processor ,Intel® Core™ i5-6440EQ Processor ,Intel® Core™ i7-6820EQ Processor ,Intel® Core™ i3-6100E Processor ,Intel® Core™ i3-6102E Processor ,Intel® Core™ i7-6822EQ Processor ,Intel® Core™ i5-6442EQ Processor ,Intel® Core™ i3-6300T Processor ,Intel® Core™ i3-6100 Processor ,Intel® Core™ i3-6300 Processor ,Intel® Core™ i3-6320 Processor ,Intel® Core™ i3-6100T Processor ,Intel® Core™ i3-6167U Processor ,Intel® Core™ i5-6360U Processor ,Intel® Core™ i3-6006U Processor ,Intel® Core™ i5-6260U Processor ,Intel® Core™ i7-6560U Processor ,Intel® Core™ i5-6287U Processor ,Intel® Core™ i5-6267U Processor ,Intel® Core™ i7-6567U Processor ,Intel® Core™ i7-6660U Processor ,Intel® Core™ i7-6650U Processor ,Intel® Core™ i5-6402P Processor ,Intel® Core™ i5-6350HQ Processor ,Intel® Core™ i7-6970HQ Processor ,Intel® Core™ i5-6585R Processor ,Intel® Core™ i5-6685R Processor ,Intel® Core™ i7-6785R Processor ,Intel® Core™ i7-6870HQ Processor ,Intel® Core™ i7-6770HQ Processor ,Intel® Core™ i3-6098P Processor ,Intel® Core™ i7-6850K Processor ,Intel® Core™ i7-6800K Processor ,Intel® Core™ i7-6900K Processor ,Intel® Core™ i7-6950X Processor Extreme Edition ,Intel® Core™ i7-7Y75 Processor ,Intel® Core™ i3-7100U Processor ,Intel® Core™ i5-7200U Processor ,Intel® Core™ m3-7Y30 Processor ,Intel® Core™ i7-7500U Processor ,Intel® Core™ i5-7Y54 Processor ,Intel® Core™ i3-6157U Processor ,Intel® Core™ i5-7500T Processor ,Intel® Core™ i7-7700T Processor ,Intel® Core™ i5-7500 Processor ,Intel® Core™ i3-7102E Processor ,Intel® Core™ i3-7101TE Processor ,Intel® Core™ i3-7100H Processor ,Intel® Core™ i7-7820EQ Processor ,Intel® Core™ i7-7700 Processor ,Intel® Core™ i7-7700K Processor ,Intel® Core™ i3-7101E Processor ,Intel® Core™ i3-7100E Processor ,Intel® Core™ i5-7600K Processor ,Intel® Core™ i5-7400 Processor ,Intel® Core™ i5-7600 Processor ,Intel® Core™ i5-7600T Processor ,Intel® Core™ i5-7400T Processor ,Intel® Core™ i7-7700HQ Processor ,Intel® Core™ i3-7100 Processor ,Intel® Core™ i5-7300HQ Processor ,Intel® Core™ i3-7300T Processor ,Intel® Core™ i3-7300 Processor ,Intel® Core™ i5-7440HQ Processor ,Intel® Core™ i5-7Y57 Processor ,Intel® Core™ i7-7920HQ Processor ,Intel® Core™ i7-7820HK Processor ,Intel® Core™ i7-7600U Processor ,Intel® Core™ i5-7300U Processor ,Intel® Core™ i3-7320 Processor ,Intel® Core™ i3-7100T Processor ,Intel® Core™ i7-7820HQ Processor ,Intel® Core™ i5-7440EQ Processor ,Intel® Core™ i3-7350K Processor ,Intel® Core™ i5-7267U Processor ,Intel® Core™ i5-7287U Processor ,Intel® Core™ i5-7442EQ Processor ,Intel® Core™ i5-7360U Processor ,Intel® Core™ i7-7660U Processor ,Intel® Core™ m3-7Y32 Processor ,Intel® Core™ i5-7260U Processor ,Intel® Core™ i7-7560U Processor ,Intel® Core™ i7-7567U Processor ,Intel® Core™ i3-7167U Processor 
Essentials
Product Collection,Intel® Core™ X-series Processors,Intel® Core™ X-series Processors,8th Generation Intel® Core™ i7 Processors,7th Generation Intel® Core™ i3 Processors,Intel® Core™ X-series Processors,Intel® Core™ X-series Processors,Intel® Core™ X-series Processors,8th Generation Intel® Core™ i5 Processors,8th Generation Intel® Core™ i7 Processors,8th Generation Intel® Core™ i5 Processors,7th Generation Intel® Core™ i3 Processors,Intel® Core™ X-series Processors,8th Generation Intel® Core™ i7 Processors,8th Generation Intel® Core™ i5 Processors,8th Generation Intel® Core™ i7 Processors,8th Generation Intel® Core™ i5 Processors,8th Generation Intel® Core™ i3 Processors,8th Generation Intel® Core™ i3 Processors,Intel® Core™ X-series Processors,Intel® Core™ X-series Processors,Intel® Core™ X-series Processors,8th Generation Intel® Core™ i7 Processors,8th Generation Intel® Core™ i7 Processors,8th Generation Intel® Core™ i5 Processors,8th Generation Intel® Core™ i7 Processors,8th Generation Intel® Core™ i7 Processors,8th Generation Intel® Core™ i7 Processors,8th Generation Intel® Core™ i9 Processors,8th Generation Intel® Core™ i7 Processors,8th Generation Intel® Core™ i3 Processors,8th Generation Intel® Core™ i3 Processors,9th Generation Intel® Core™ i5 Processors,4th Generation Intel® Core™ i3 Processors,4th Generation Intel® Core™ i3 Processors,4th Generation Intel® Core™ i3 Processors,4th Generation Intel® Core™ i3 Processors,4th Generation Intel® Core™ i3 Processors,4th Generation Intel® Core™ i5 Processors,4th Generation Intel® Core™ i7 Processors,4th Generation Intel® Core™ i7 Processors,4th Generation Intel® Core™ i7 Processors,4th Generation Intel® Core™ i5 Processors,4th Generation Intel® Core™ i3 Processors,4th Generation Intel® Core™ i3 Processors,Intel® Core™ X-series Processors,Intel® Core™ X-series Processors,Intel® Core™ X-series Processors,4th Generation Intel® Core™ i7 Processors,4th Generation Intel® Core™ i7 Processors,4th Generation Intel® Core™ i7 Processors,4th Generation Intel® Core™ i7 Processors,4th Generation Intel® Core™ i5 Processors,4th Generation Intel® Core™ i5 Processors,5th Generation Intel® Core™ M Processors,5th Generation Intel® Core™ M Processors,5th Generation Intel® Core™ M Processors,5th Generation Intel® Core™ M Processors,5th Generation Intel® Core™ M Processors,5th Generation Intel® Core™ M Processors,5th Generation Intel® Core™ i3 Processors,5th Generation Intel® Core™ i3 Processors,5th Generation Intel® Core™ i3 Processors,5th Generation Intel® Core™ i3 Processors,5th Generation Intel® Core™ i3 Processors,5th Generation Intel® Core™ i5 Processors,5th Generation Intel® Core™ i5 Processors,5th Generation Intel® Core™ i5 Processors,5th Generation Intel® Core™ i5 Processors,5th Generation Intel® Core™ i7 Processors,5th Generation Intel® Core™ i7 Processors,5th Generation Intel® Core™ i7 Processors,5th Generation Intel® Core™ i5 Processors,5th Generation Intel® Core™ i5 Processors,5th Generation Intel® Core™ i7 Processors,5th Generation Intel® Core™ i7 Processors,5th Generation Intel® Core™ M Processors,5th Generation Intel® Core™ i5 Processors,5th Generation Intel® Core™ i5 Processors,5th Generation Intel® Core™ i5 Processors,5th Generation Intel® Core™ i7 Processors,5th Generation Intel® Core™ i7 Processors,5th Generation Intel® Core™ i7 Processors,5th Generation Intel® Core™ i7 Processors,5th Generation Intel® Core™ i7 Processors,5th Generation Intel® Core™ i7 Processors,5th Generation Intel® Core™ i7 Processors,5th Generation Intel® Core™ i7 Processors,5th Generation Intel® Core™ i5 Processors,6th Generation Intel® Core™ i3 Processors,6th Generation Intel® Core™ i3 Processors,6th Generation Intel® Core™ i5 Processors,6th Generation Intel® Core™ i5 Processors,6th Generation Intel® Core™ i5 Processors,6th Generation Intel® Core™ i5 Processors,6th Generation Intel® Core™ i5 Processors,6th Generation Intel® Core™ i5 Processors,6th Generation Intel® Core™ i5 Processors,6th Generation Intel® Core™ i5 Processors,6th Generation Intel® Core™ i5 Processors,6th Generation Intel® Core™ i7 Processors,6th Generation Intel® Core™ i5 Processors,6th Generation Intel® Core™ i7 Processors,6th Generation Intel® Core™ i7 Processors,6th Generation Intel® Core™ i7 Processors,6th Generation Intel® Core™ m Processors,6th Generation Intel® Core™ m Processors,6th Generation Intel® Core™ m Processors,6th Generation Intel® Core™ i7 Processors,6th Generation Intel® Core™ i7 Processors,6th Generation Intel® Core™ m Processors,6th Generation Intel® Core™ i5 Processors,6th Generation Intel® Core™ i5 Processors,6th Generation Intel® Core™ i7 Processors,6th Generation Intel® Core™ i7 Processors,6th Generation Intel® Core™ i7 Processors,6th Generation Intel® Core™ i7 Processors,6th Generation Intel® Core™ i3 Processors,6th Generation Intel® Core™ i5 Processors,6th Generation Intel® Core™ i7 Processors,6th Generation Intel® Core™ i3 Processors,6th Generation Intel® Core™ i3 Processors,6th Generation Intel® Core™ i7 Processors,6th Generation Intel® Core™ i5 Processors,6th Generation Intel® Core™ i3 Processors,6th Generation Intel® Core™ i3 Processors,6th Generation Intel® Core™ i3 Processors,6th Generation Intel® Core™ i3 Processors,6th Generation Intel® Core™ i3 Processors,6th Generation Intel® Core™ i3 Processors,6th Generation Intel® Core™ i5 Processors,6th Generation Intel® Core™ i3 Processors,6th Generation Intel® Core™ i5 Processors,6th Generation Intel® Core™ i7 Processors,6th Generation Intel® Core™ i5 Processors,6th Generation Intel® Core™ i5 Processors,6th Generation Intel® Core™ i7 Processors,6th Generation Intel® Core™ i7 Processors,6th Generation Intel® Core™ i7 Processors,6th Generation Intel® Core™ i5 Processors,6th Generation Intel® Core™ i5 Processors,6th Generation Intel® Core™ i7 Processors,6th Generation Intel® Core™ i5 Processors,6th Generation Intel® Core™ i5 Processors,6th Generation Intel® Core™ i7 Processors,6th Generation Intel® Core™ i7 Processors,6th Generation Intel® Core™ i7 Processors,6th Generation Intel® Core™ i3 Processors,Intel® Core™ X-series Processors,Intel® Core™ X-series Processors,Intel® Core™ X-series Processors,Intel® Core™ X-series Processors,7th Generation Intel® Core™ i7 Processors,7th Generation Intel® Core™ i3 Processors,7th Generation Intel® Core™ i5 Processors,7th Generation Intel® Core™ m Processors,7th Generation Intel® Core™ i7 Processors,7th Generation Intel® Core™ i5 Processors,6th Generation Intel® Core™ i3 Processors,7th Generation Intel® Core™ i5 Processors,7th Generation Intel® Core™ i7 Processors,7th Generation Intel® Core™ i5 Processors,7th Generation Intel® Core™ i3 Processors,7th Generation Intel® Core™ i3 Processors,7th Generation Intel® Core™ i3 Processors,7th Generation Intel® Core™ i7 Processors,7th Generation Intel® Core™ i7 Processors,7th Generation Intel® Core™ i7 Processors,7th Generation Intel® Core™ i3 Processors,7th Generation Intel® Core™ i3 Processors,7th Generation Intel® Core™ i5 Processors,7th Generation Intel® Core™ i5 Processors,7th Generation Intel® Core™ i5 Processors,7th Generation Intel® Core™ i5 Processors,7th Generation Intel® Core™ i5 Processors,7th Generation Intel® Core™ i7 Processors,7th Generation Intel® Core™ i3 Processors,7th Generation Intel® Core™ i5 Processors,7th Generation Intel® Core™ i3 Processors,7th Generation Intel® Core™ i3 Processors,7th Generation Intel® Core™ i5 Processors,7th Generation Intel® Core™ i5 Processors,7th Generation Intel® Core™ i7 Processors,7th Generation Intel® Core™ i7 Processors,7th Generation Intel® Core™ i7 Processors,7th Generation Intel® Core™ i5 Processors,7th Generation Intel® Core™ i3 Processors,7th Generation Intel® Core™ i3 Processors,7th Generation Intel® Core™ i7 Processors,7th Generation Intel® Core™ i5 Processors,7th Generation Intel® Core™ i3 Processors,7th Generation Intel® Core™ i5 Processors,7th Generation Intel® Core™ i5 Processors,7th Generation Intel® Core™ i5 Processors,7th Generation Intel® Core™ i5 Processors,7th Generation Intel® Core™ i7 Processors,7th Generation Intel® Core™ m Processors,7th Generation Intel® Core™ i5 Processors,7th Generation Intel® Core™ i7 Processors,7th Generation Intel® Core™ i7 Processors,7th Generation Intel® Core™ i3 Processors
Vertical Segment,Desktop,Desktop,Mobile,Mobile,Desktop,Desktop,Desktop,Mobile,Mobile,Mobile,Mobile,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Embedded,Desktop,Desktop,Desktop,Desktop,Desktop,Mobile,Mobile,Mobile,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Desktop,Desktop,Mobile,Mobile,Desktop,Mobile,Mobile,Desktop,Embedded,Embedded,Desktop,Mobile,Embedded,Desktop,Desktop,Desktop,Embedded,Desktop,Desktop,Desktop,Mobile,Desktop,Mobile,Mobile,Mobile,Desktop,Desktop,Mobile,Mobile,Mobile,Desktop,Embedded,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Embedded,Embedded,Embedded,Embedded,Embedded,Embedded,Desktop,Desktop,Desktop,Desktop,Desktop,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Desktop,Mobile,Mobile,Desktop,Desktop,Desktop,Mobile,Mobile,Desktop,Desktop,Desktop,Desktop,Desktop,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Desktop,Desktop,Desktop,Embedded,Desktop,Mobile,Embedded,Desktop,Desktop,Desktop,Embedded,Desktop,Desktop,Desktop,Desktop,Desktop,Mobile,Desktop,Mobile,Desktop,Desktop,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Desktop,Desktop,Mobile,Embedded,Desktop,Mobile,Mobile,Embedded,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile
Processor Number,i7-7740X,i5-7640X,i7-8550U,i3-7020U,i7-7800X,i9-7900X,i7-7820X,i5-8250U,i7-8650U,i5-8350U,i3-7130U,i9-7920X,i7-8700K,i5-8600K,i7-8700,i5-8400,i3-8100,i3-8350K,i9-7940X,i9-7960X,i9-7980XE,i7-8706G,i7-8709G,i5-8305G,i7-8809G,i7-8705G,i7-8850H,i9-8950HK,i7-8750H,i3-8130U,i3-8100H,i5-9500TE,i3-4160,i3-4160T,i3-4170,i3-4360T,i3-4370,i5-4210H,i7-4720HQ,i7-4722HQ,i7-4790K,i5-4690K,i3-4370T,i3-4170T,i7-5960X,i7-5930K,i7-5820K,i7-4980HQ,i7-4870HQ,i7-4770HQ,i7-4578U,i5-4308U,i5-4278U,5Y10,5Y10a,5Y70,5Y31,5Y51,5Y71,i3-5005U,i3-5010U,i3-5015U,i3-5020U,i3-5157U,i5-5250U,i5-5257U,i5-5287U,i5-5350U,i7-5550U,i7-5557U,i7-5650U,i5-5200U,i5-5300U,i7-5500U,i7-5600U,5Y10c,i5-5350H,i5-5575R,i5-5675R,i7-5700HQ,i7-5750HQ,i7-5775R,i7-5850HQ,i7-5950HQ,i7-5775C,i7-5700EQ,i7-5850EQ,i5-5675C,i3-6100U,i3-6100TE,i5-6500T,i5-6500,i5-6400,i5-6500TE,i5-6400T,i5-6600,i5-6600T,i5-6300U,i5-6600K,i7-6600U,i5-6200U,i7-6500U,i7-6700K,i7-6700,M5-6Y57,M3-6Y30,M7-6Y75,i7-6700T,i7-6700TE,M5-6Y54,i5-6300HQ,i5-6440HQ,i7-6700HQ,i7-6820HK,i7-6820HQ,i7-6920HQ,i3-6100H,i5-6440EQ,i7-6820EQ,i3-6100E,i3-6102E,i7-6822EQ,i5-6442EQ,i3-6300T,i3-6100,i3-6300,i3-6320,i3-6100T,i3-6167U,i5-6360U,i3-6006U,i5-6260U,i7-6560U,i5-6287U,i5-6267U,i7-6567U,i7-6660U,i7-6650U,i5-6402P,i5-6350HQ,i7-6970HQ,i5-6585R,i5-6685R,i7-6785R,i7-6870HQ,i7-6770HQ,i3-6098P,i7-6850K,i7-6800K,i7-6900K,i7-6950X,i7-7Y75,i3-7100U,i5-7200U,M3-7Y30,i7-7500U,i5-7Y54,i3-6157U,i5-7500T,i7-7700T,i5-7500,i3-7102E,i3-7101TE,i3-7100H,i7-7820EQ,i7-7700,i7-7700K,i3-7101E,i3-7100E,i5-7600K,i5-7400,i5-7600,i5-7600T,i5-7400T,i7-7700HQ,i3-7100,i5-7300HQ,i3-7300T,i3-7300,i5-7440HQ,i5-7Y57,i7-7920HQ,i7-7820HK,i7-7600U,i5-7300U,i3-7320,i3-7100T,i7-7820HQ,i5-7440EQ,i3-7350K,i5-7267U,i5-7287U,i5-7442EQ,i5-7360U,i7-7660U,M3-7Y32,i5-7260U,i7-7560U,i7-7567U,i3-7167U
Lithography,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,,,,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm
Use Conditions,,,,,,,,,,,,,,,PC/Client/Tablet,,Embedded Broad Market Commercial Temp |  PC/Client/Tablet,,,,,,,,,,PC/Client/Tablet,,,,Embedded Broad Market Commercial Temp,Embedded Broad Market Commercial Temp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Industrial Commercial Temp |  Embedded Broad Market Commercial Temp |  PC/Client/Tablet,,,,,,,Industrial Commercial Temp |  Embedded Broad Market Commercial Temp |  PC/Client/Tablet,,,Industrial Commercial Temp |  PC/Client/Tablet,,,,,,,,,,,,,,,Industrial Commercial Temp |  Embedded Broad Market Commercial Temp |  PC/Client/Tablet,Industrial Commercial Temp |  Embedded Broad Market Commercial Temp |  PC/Client/Tablet,,Industrial Commercial Temp |  Embedded Broad Market Commercial Temp |  PC/Client/Tablet,Embedded Broad Market Commercial Temp |  PC/Client/Tablet,,PC/Client/Tablet,,Embedded Broad Market Commercial Temp |  PC/Client/Tablet,,,,Industrial Commercial Temp |  Embedded Broad Market Commercial Temp |  PC/Client/Tablet,,Industrial Commercial Temp |  PC/Client/Tablet,,,,PC/Client/Tablet,,,,,Embedded Broad Market Commercial Temp |  PC/Client/Tablet,,,,,,,,,Industrial Commercial Temp |  Embedded Broad Market Commercial Temp |  PC/Client/Tablet,Industrial Commercial Temp |  Embedded Broad Market Commercial Temp |  PC/Client/Tablet,Industrial Commercial Temp |  Embedded Broad Market Commercial Temp |  PC/Client/Tablet,Industrial Commercial Temp |  Embedded Broad Market Commercial Temp |  PC/Client/Tablet,Industrial Commercial Temp |  Embedded Broad Market Commercial Temp |  PC/Client/Tablet,Industrial Commercial Temp |  Embedded Broad Market Commercial Temp |  PC/Client/Tablet,,Embedded Broad Market Commercial Temp |  PC/Client/Tablet,,,,,,,,,,,,,,,,,,,,,,,,,,,,Industrial Commercial Temp |  Embedded Broad Market Commercial Temp |  PC/Client/Tablet,,,,,,Embedded Broad Market Commercial Temp |  PC/Client/Tablet,Embedded Broad Market Commercial Temp |  PC/Client/Tablet,Embedded Broad Market Commercial Temp |  PC/Client/Tablet,Industrial Commercial Temp |  Embedded Broad Market Commercial Temp |  PC/Client/Tablet,Embedded Broad Market Commercial Temp |  PC/Client/Tablet,,Industrial Commercial Temp |  Embedded Broad Market Commercial Temp |  PC/Client/Tablet,PC/Client/Tablet,,Embedded Broad Market Commercial Temp |  PC/Client/Tablet,Industrial Commercial Temp |  Embedded Broad Market Commercial Temp |  PC/Client/Tablet,,,,,,,,,,,,,,,Industrial Commercial Temp,Industrial Commercial Temp,,,,Industrial Commercial Temp |  Embedded Broad Market Commercial Temp |  PC/Client/Tablet,,,,Industrial Commercial Temp |  Embedded Broad Market Commercial Temp |  PC/Client/Tablet,,,,,,,
Recommended Customer Price,,,,,,,,,,,$225.00,$281.00,$182.00-$187.00,$393.00,,$303.00,$281.00,,$250.00,$378.00,,$378.00,$568.00,,$250.00,$378.00,$225.00,$225.00,$378.00,$250.00,,$117.00,,,$117.00,,,,,,$304.00,,,,,,$306.00,,,,,,$434.00,,$617.00,$434.00,$1089.00,$1723.00,$393.00,$281.00,,,,,,$192.00,$303.00,$192.00,$225.00,$117.00,,$378.00,$303.00,$339.00,$117.00,$225.00,$242.00,$182.00,,,$182.00,,,,,,,,$195.00,$195.00,,$213.00,,$235.00,$117.00,$134.00,$117.00,$117.00,,,,,,$213.00,$184.00,,$225.00,,,,,$117.00,,,,,$177.00,,$1059.00,,$380.00,,$117.00,,,$269.00,$227.00,,,,,,,,,,,,,,,,,,,,$117.00,,$144.00,,,,,,$187.00,,$187.00,$187.00,$192.00-$202.00,$195.00,$195.00,$224.00,$243.00,,$213.00,,,,,,,,,,,,$312.00,$350.00,,,$380.00,$570.00,,$281.00,,,,,,,,,,$281.00,,,,,,

CPU Specifications
Total Cores,4,4,4,2,6,10,8,4,4,4,2,12,6,6,6,6,4,4,14,16,18,4,4,4,4,4,6,6,6,2,4,6,2,2,2,2,2,2,4,4,4,4,2,2,8,6,6,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,2,2,4,4,4,4,4,4,4,2,4,2,2,2,4,4,2,2,2,4,4,2,4,4,4,4,4,4,2,4,4,2,2,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,2,6,6,8,10,2,2,2,2,2,2,2,4,4,4,2,2,2,4,4,4,2,2,4,4,4,4,4,4,2,4,2,2,4,2,4,4,2,2,2,2,4,4,2,2,2,4,2,2,2,2,2,2,2
