ARK | Intel® Product Specification Comparison
01/24/2024 10:42:45 AM
 ,Intel® Core™ i3-2377M Processor ,Intel® Core™ i7-3520M Processor ,Intel® Core™ i5-3360M Processor ,Intel® Core™ i5-3320M Processor ,Intel® Core™ i7-3667U Processor ,Intel® Core™ i5-3427U Processor ,Intel® Core™ i5-3330 Processor ,Intel® Core™ i5-3330S Processor ,Intel® Core™ i5-3450 Processor ,Intel® Core™ i5-3450S Processor ,Intel® Core™ i5-3475S Processor ,Intel® Core™ i5-3550 Processor ,Intel® Core™ i5-3550S Processor ,Intel® Core™ i5-3570K Processor ,Intel® Core™ i3-3240 Processor ,Intel® Core™ i3-3225 Processor ,Intel® Core™ i3-3220 Processor ,Intel® Core™ i3-3220T Processor ,Intel® Core™ i3-3217UE Processor ,Intel® Core™ i3-3217U Processor ,Intel® Core™ i3-3120ME Processor ,Intel® Core™ i3-3110M Processor ,Intel® Core™ i5-3570S Processor ,Intel® Core™ i5-3570 Processor ,Intel® Core™ i5-3470T Processor ,Intel® Core™ i5-3610ME Processor ,Intel® Core™ i5-3317U Processor ,Intel® Core™ i5-3210M Processor ,Intel® Core™ i7-3555LE Processor ,Intel® Core™ i7-3517UE Processor ,Intel® Core™ i7-3517U Processor ,Intel® Core™ i3-3240T Processor ,Intel® Core™ i5-3210M Processor ,Intel® Core™ i5-3470S Processor ,Intel® Core™ i5-3470 Processor ,Intel® Core™ i3-2115C Processor ,Intel® Core™ i5-3350P Processor ,Intel® Core™ i3-2365M Processor ,Intel® Core™ i7-3970X Processor Extreme Edition ,Intel® Core™ i7-3840QM Processor ,Intel® Core™ i7-3740QM Processor ,Intel® Core™ i3-2328M Processor ,Intel® Core™ i3-3210 Processor ,Intel® Core™ i7-3940XM Processor Extreme Edition ,Intel® Core™ i7-3540M Processor ,Intel® Core™ i5-3380M Processor ,Intel® Core™ i5-3340M Processor ,Intel® Core™ i7-3687U Processor ,Intel® Core™ i5-3437U Processor ,Intel® Core™ i7-3632QM Processor ,Intel® Core™ i7-3630QM Processor ,Intel® Core™ i7-3635QM Processor ,Intel® Core™ i3-3120M Processor ,Intel® Core™ i7-3632QM Processor ,Intel® Core™ i3-3229Y Processor ,Intel® Core™ i5-3339Y Processor ,Intel® Core™ i5-3439Y Processor ,Intel® Core™ i7-3689Y Processor ,Intel® Core™ i7-3537U Processor ,Intel® Core™ i5-3337U Processor ,Intel® Core™ i5-3230M Processor ,Intel® Core™ i3-3227U Processor ,Intel® Core™ i3-3130M Processor ,Intel® Core™ i5-3230M Processor ,Intel® Core™ i3-2375M Processor ,Intel® Core™ i3-2348M Processor ,Intel® Core™ i3-3250 Processor ,Intel® Core™ i3-3250T Processor ,Intel® Core™ i3-3245 Processor ,Intel® Core™ i5-4200H Processor ,Intel® Core™ i5-4250U Processor ,Intel® Core™ i5-4260U Processor ,Intel® Core™ i5-4350U Processor ,Intel® Core™ i5-4360U Processor ,Intel® Core™ i5-4430 Processor ,Intel® Core™ i5-4430S Processor ,Intel® Core™ i5-4440 Processor ,Intel® Core™ i5-4440S Processor ,Intel® Core™ i5-4570 Processor ,Intel® Core™ i5-4570S Processor ,Intel® Core™ i5-4570T Processor ,Intel® Core™ i5-4670 Processor ,Intel® Core™ i5-4670K Processor ,Intel® Core™ i5-4670S Processor ,Intel® Core™ i5-4670T Processor ,Intel® Core™ i3-4000M Processor ,Intel® Core™ i3-4005U Processor ,Intel® Core™ i3-4010U Processor ,Intel® Core™ i3-4100U Processor ,Intel® Core™ i7-4550U Processor ,Intel® Core™ i7-4650U Processor ,Intel® Core™ i7-4700HQ Processor ,Intel® Core™ i7-4700MQ Processor ,Intel® Core™ i7-4702HQ Processor ,Intel® Core™ i7-4702MQ Processor ,Intel® Core™ i7-4765T Processor ,Intel® Core™ i7-4770 Processor ,Intel® Core™ i7-4770K Processor ,Intel® Core™ i7-4770S Processor ,Intel® Core™ i7-4770T Processor ,Intel® Core™ i7-4800MQ Processor ,Intel® Core™ i7-4900MQ Processor ,Intel® Core™ i7-4930MX Processor Extreme Edition ,Intel® Core™ i5-4200U Processor ,Intel® Core™ i7-4500U Processor ,Intel® Core™ i5-4570TE Processor ,Intel® Core™ i7-4700EQ Processor ,Intel® Core™ i5-4402EC Processor ,Intel® Core™ i7-4700EC Processor ,Intel® Core™ i7-4702EC Processor ,Intel® Core™ i7-4770TE Processor ,Intel® Core™ i5-4200Y Processor ,Intel® Core™ i3-4010Y Processor ,Intel® Core™ i3-4158U Processor ,Intel® Core™ i5-4258U Processor ,Intel® Core™ i5-4288U Processor ,Intel® Core™ i7-4558U Processor ,Intel® Core™ i7-4950HQ Processor ,Intel® Core™ i7-4850HQ Processor ,Intel® Core™ i7-4750HQ Processor ,Intel® Core™ i7-4960HQ Processor ,Intel® Core™ i7-4860HQ Processor ,Intel® Core™ i7-4760HQ Processor ,Intel® Core™ i5-4400E Processor ,Intel® Core™ i3-4100E Processor ,Intel® Core™ i3-4102E Processor ,Intel® Core™ i5-4402E Processor ,Intel® Core™ i5-4300U Processor ,Intel® Core™ i5-3340 Processor ,Intel® Core™ i5-3340S Processor ,Intel® Core™ i3-4100M Processor ,Intel® Core™ i5-4300M Processor ,Intel® Core™ i5-4200M Processor ,Intel® Core™ i7-4600M Processor ,Intel® Core™ i3-4012Y Processor ,Intel® Core™ i3-4020Y Processor ,Intel® Core™ i5-4202Y Processor ,Intel® Core™ i5-4210Y Processor ,Intel® Core™ i5-4300Y Processor ,Intel® Core™ i5-4302Y Processor ,Intel® Core™ i7-4600U Processor ,Intel® Core™ i7-4610Y Processor ,Intel® Core™ i5-4570R Processor ,Intel® Core™ i5-4670R Processor ,Intel® Core™ i7-4770R Processor ,Intel® Core™ i5-4330M Processor ,Intel® Core™ i3-4130 Processor ,Intel® Core™ i3-4130T Processor ,Intel® Core™ i3-4110M Processor ,Intel® Core™ i3-4150 Processor ,Intel® Core™ i3-4150T Processor ,Intel® Core™ i3-4350 Processor ,Intel® Core™ i3-4350T Processor ,Intel® Core™ i3-4360 Processor ,Intel® Core™ i7-4771 Processor ,Intel® Core™ i3-4330 Processor ,Intel® Core™ i3-4330T Processor ,Intel® Core™ i3-4340 Processor ,Intel® Core™ i3-4330TE Processor ,Intel® Core™ i7-4960X Processor Extreme Edition ,Intel® Core™ i7-4930K Processor ,Intel® Core™ i7-4820K Processor ,Intel® Core™ i3-3115C Processor ,Intel® Core™ i5-4460T Processor ,Intel® Core™ i5-4590T Processor ,Intel® Core™ i7-4710HQ Processor ,Intel® Core™ i7-4710MQ Processor ,Intel® Core™ i7-4712HQ Processor ,Intel® Core™ i7-4712MQ Processor ,Intel® Core™ i7-4810MQ Processor ,Intel® Core™ i7-4910MQ Processor ,Intel® Core™ i7-4940MX Processor Extreme Edition ,Intel® Core™ i3-4110E Processor ,Intel® Core™ i3-4112E Processor ,Intel® Core™ i5-4410E Processor ,Intel® Core™ i5-4422E Processor ,Intel® Core™ i5-4310U Processor ,Intel® Core™ i5-4340M Processor ,Intel® Core™ i7-4610M Processor ,Intel® Core™ i5-4310M Processor ,Intel® Core™ i7-4790 Processor ,Intel® Core™ i7-4790S Processor ,Intel® Core™ i7-4790T Processor ,Intel® Core™ i5-4690 Processor ,Intel® Core™ i5-4690S Processor ,Intel® Core™ i5-4690T Processor ,Intel® Core™ i7-4785T Processor ,Intel® Core™ i5-4590 Processor ,Intel® Core™ i5-4590S Processor ,Intel® Core™ i5-4460 Processor ,Intel® Core™ i5-4460S Processor ,Intel® Core™ i3-4340TE Processor ,Intel® Core™ i5-4210M Processor ,Intel® Core™ i7-4510U Processor ,Intel® Core™ i5-4210U Processor ,Intel® Core™ i3-4120U Processor ,Intel® Core™ i3-4030U Processor ,Intel® Core™ i3-4025U Processor ,Intel® Core™ i5-4220Y Processor ,Intel® Core™ i3-4030Y Processor 
Essentials
Product Collection,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Intel® Core™ X-series Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Intel® Core™ X-series Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,4th Generation Intel® Core™ i5 Processors,4th Generation Intel® Core™ i5 Processors,4th Generation Intel® Core™ i5 Processors,4th Generation Intel® Core™ i5 Processors,4th Generation Intel® Core™ i5 Processors,4th Generation Intel® Core™ i5 Processors,4th Generation Intel® Core™ i5 Processors,4th Generation Intel® Core™ i5 Processors,4th Generation Intel® Core™ i5 Processors,4th Generation Intel® Core™ i5 Processors,4th Generation Intel® Core™ i5 Processors,4th Generation Intel® Core™ i5 Processors,4th Generation Intel® Core™ i5 Processors,4th Generation Intel® Core™ i5 Processors,4th Generation Intel® Core™ i5 Processors,4th Generation Intel® Core™ i5 Processors,4th Generation Intel® Core™ i3 Processors,4th Generation Intel® Core™ i3 Processors,4th Generation Intel® Core™ i3 Processors,4th Generation Intel® Core™ i3 Processors,4th Generation Intel® Core™ i7 Processors,4th Generation Intel® Core™ i7 Processors,4th Generation Intel® Core™ i7 Processors,4th Generation Intel® Core™ i7 Processors,4th Generation Intel® Core™ i7 Processors,4th Generation Intel® Core™ i7 Processors,4th Generation Intel® Core™ i7 Processors,4th Generation Intel® Core™ i7 Processors,4th Generation Intel® Core™ i7 Processors,4th Generation Intel® Core™ i7 Processors,4th Generation Intel® Core™ i7 Processors,4th Generation Intel® Core™ i7 Processors,4th Generation Intel® Core™ i7 Processors,Intel® Core™ X-series Processors,4th Generation Intel® Core™ i5 Processors,4th Generation Intel® Core™ i7 Processors,4th Generation Intel® Core™ i5 Processors,4th Generation Intel® Core™ i7 Processors,4th Generation Intel® Core™ i5 Processors,4th Generation Intel® Core™ i7 Processors,4th Generation Intel® Core™ i7 Processors,4th Generation Intel® Core™ i7 Processors,4th Generation Intel® Core™ i5 Processors,4th Generation Intel® Core™ i3 Processors,4th Generation Intel® Core™ i3 Processors,4th Generation Intel® Core™ i5 Processors,4th Generation Intel® Core™ i5 Processors,4th Generation Intel® Core™ i7 Processors,4th Generation Intel® Core™ i7 Processors,4th Generation Intel® Core™ i7 Processors,4th Generation Intel® Core™ i7 Processors,4th Generation Intel® Core™ i7 Processors,4th Generation Intel® Core™ i7 Processors,4th Generation Intel® Core™ i7 Processors,4th Generation Intel® Core™ i5 Processors,4th Generation Intel® Core™ i3 Processors,4th Generation Intel® Core™ i3 Processors,4th Generation Intel® Core™ i5 Processors,4th Generation Intel® Core™ i5 Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,4th Generation Intel® Core™ i3 Processors,4th Generation Intel® Core™ i5 Processors,4th Generation Intel® Core™ i5 Processors,4th Generation Intel® Core™ i7 Processors,4th Generation Intel® Core™ i3 Processors,4th Generation Intel® Core™ i3 Processors,4th Generation Intel® Core™ i5 Processors,4th Generation Intel® Core™ i5 Processors,4th Generation Intel® Core™ i5 Processors,4th Generation Intel® Core™ i5 Processors,4th Generation Intel® Core™ i7 Processors,4th Generation Intel® Core™ i7 Processors,4th Generation Intel® Core™ i5 Processors,4th Generation Intel® Core™ i5 Processors,4th Generation Intel® Core™ i7 Processors,4th Generation Intel® Core™ i5 Processors,4th Generation Intel® Core™ i3 Processors,4th Generation Intel® Core™ i3 Processors,4th Generation Intel® Core™ i3 Processors,4th Generation Intel® Core™ i3 Processors,4th Generation Intel® Core™ i3 Processors,4th Generation Intel® Core™ i3 Processors,4th Generation Intel® Core™ i3 Processors,4th Generation Intel® Core™ i3 Processors,4th Generation Intel® Core™ i7 Processors,4th Generation Intel® Core™ i3 Processors,4th Generation Intel® Core™ i3 Processors,4th Generation Intel® Core™ i3 Processors,4th Generation Intel® Core™ i3 Processors,Intel® Core™ X-series Processors,Intel® Core™ X-series Processors,Intel® Core™ X-series Processors,Legacy Intel® Core™ Processors,4th Generation Intel® Core™ i5 Processors,4th Generation Intel® Core™ i5 Processors,4th Generation Intel® Core™ i7 Processors,4th Generation Intel® Core™ i7 Processors,4th Generation Intel® Core™ i7 Processors,4th Generation Intel® Core™ i7 Processors,4th Generation Intel® Core™ i7 Processors,4th Generation Intel® Core™ i7 Processors,Intel® Core™ X-series Processors,4th Generation Intel® Core™ i3 Processors,4th Generation Intel® Core™ i3 Processors,4th Generation Intel® Core™ i5 Processors,4th Generation Intel® Core™ i5 Processors,4th Generation Intel® Core™ i5 Processors,4th Generation Intel® Core™ i5 Processors,4th Generation Intel® Core™ i7 Processors,4th Generation Intel® Core™ i5 Processors,4th Generation Intel® Core™ i7 Processors,4th Generation Intel® Core™ i7 Processors,4th Generation Intel® Core™ i7 Processors,4th Generation Intel® Core™ i5 Processors,4th Generation Intel® Core™ i5 Processors,4th Generation Intel® Core™ i5 Processors,4th Generation Intel® Core™ i7 Processors,4th Generation Intel® Core™ i5 Processors,4th Generation Intel® Core™ i5 Processors,4th Generation Intel® Core™ i5 Processors,4th Generation Intel® Core™ i5 Processors,4th Generation Intel® Core™ i3 Processors,4th Generation Intel® Core™ i5 Processors,4th Generation Intel® Core™ i7 Processors,4th Generation Intel® Core™ i5 Processors,4th Generation Intel® Core™ i3 Processors,4th Generation Intel® Core™ i3 Processors,4th Generation Intel® Core™ i3 Processors,4th Generation Intel® Core™ i5 Processors,4th Generation Intel® Core™ i3 Processors
Vertical Segment,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Embedded,Mobile,Embedded,Mobile,Desktop,Desktop,Desktop,Embedded,Mobile,Mobile,Embedded,Embedded,Mobile,Desktop,Mobile,Desktop,Desktop,Embedded,Desktop,Mobile,Desktop,Mobile,Mobile,Mobile,Desktop,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Desktop,Desktop,Desktop,Mobile,Mobile,Mobile,Mobile,Mobile,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Desktop,Desktop,Desktop,Desktop,Desktop,Mobile,Mobile,Mobile,Mobile,Mobile,Embedded,Embedded,Embedded,Embedded,Embedded,Embedded,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Embedded,Embedded,Embedded,Embedded,Mobile,Desktop,Desktop,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Desktop,Desktop,Desktop,Mobile,Desktop,Desktop,Mobile,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Embedded,Desktop,Desktop,Desktop,Embedded,Desktop,Desktop,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Embedded,Embedded,Embedded,Embedded,Mobile,Mobile,Mobile,Mobile,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Embedded,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile
Processor Number,i3-2377M,i7-3520M,i5-3360M,i5-3320M,i7-3667U,i5-3427U,i5-3330,i5-3330S,i5-3450,i5-3450S,i5-3475S,i5-3550,i5-3550S,i5-3570K,i3-3240,i3-3225,i3-3220,i3-3220T,i3-3217UE,i3-3217U,i3-3120ME,i3-3110M,i5-3570S,i5-3570,i5-3470T,i5-3610ME,i5-3317U,i5-3210M,i7-3555LE,i7-3517UE,i7-3517U,i3-3240T,i5-3210M,i5-3470S,i5-3470,i3-2115C,i5-3350P,i3-2365M,i7-3970X,i7-3840QM,i7-3740QM,i3-2328M,i3-3210,i7-3940XM,i7-3540M,i5-3380M,i5-3340M,i7-3687U,i5-3437U,i7-3632QM,i7-3630QM,i7-3635QM,i3-3120M,i7-3632QM,i3-3229Y,i5-3339Y,i5-3439Y,i7-3689Y,i7-3537U,i5-3337U,i5-3230M,i3-3227U,i3-3130M,i5-3230M,i3-2375M,i3-2348M,i3-3250,i3-3250T,i3-3245,i5-4200H,i5-4250U,i5-4260U,i5-4350U,i5-4360U,i5-4430,i5-4430S,i5-4440,i5-4440S,i5-4570,i5-4570S,i5-4570T,i5-4670,i5-4670K,i5-4670S,i5-4670T,i3-4000M,i3-4005U,i3-4010U,i3-4100U,i7-4550U,i7-4650U,i7-4700HQ,i7-4700MQ,i7-4702HQ,i7-4702MQ,i7-4765T,i7-4770,i7-4770K,i7-4770S,i7-4770T,i7-4800MQ,i7-4900MQ,i7-4930MX,i5-4200U,i7-4500U,i5-4570TE,i7-4700EQ,i5-4402EC,i7-4700EC,i7-4702EC,i7-4770TE,i5-4200Y,i3-4010Y,i3-4158U,i5-4258U,i5-4288U,i7-4558U,i7-4950HQ,i7-4850HQ,i7-4750HQ,i7-4960HQ,i7-4860HQ,i7-4760HQ,i5-4400E,i3-4100E,i3-4102E,i5-4402E,i5-4300U,i5-3340,i5-3340S,i3-4100M,i5-4300M,i5-4200M,i7-4600M,i3-4012Y,i3-4020Y,i5-4202Y,i5-4210Y,i5-4300Y,i5-4302Y,i7-4600U,i7-4610Y,i5-4570R,i5-4670R,i7-4770R,i5-4330M,i3-4130,i3-4130T,i3-4110M,i3-4150,i3-4150T,i3-4350,i3-4350T,i3-4360,i7-4771,i3-4330,i3-4330T,i3-4340,i3-4330TE,i7-4960X,i7-4930K,i7-4820K,i3-3115C,i5-4460T,i5-4590T,i7-4710HQ,i7-4710MQ,i7-4712HQ,i7-4712MQ,i7-4810MQ,i7-4910MQ,i7-4940MX,i3-4110E,i3-4112E,i5-4410E,i5-4422E,i5-4310U,i5-4340M,i7-4610M,i5-4310M,i7-4790,i7-4790S,i7-4790T,i5-4690,i5-4690S,i5-4690T,i7-4785T,i5-4590,i5-4590S,i5-4460,i5-4460S,i3-4340TE,i5-4210M,i7-4510U,i5-4210U,i3-4120U,i3-4030U,i3-4025U,i5-4220Y,i3-4030Y
Lithography,32 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,,22 nm,32 nm,32 nm,22 nm,22 nm,32 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,32 nm,32 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm
Use Conditions,,,,,,,,,,,,,PC/Client/Tablet,,,,PC/Client/Tablet,,Embedded Broad Market Commercial Temp |  PC/Client/Tablet,,Embedded Broad Market Commercial Temp |  PC/Client/Tablet,,,,,Embedded Broad Market Commercial Temp |  PC/Client/Tablet,,,Embedded Broad Market Commercial Temp |  PC/Client/Tablet,Embedded Broad Market Commercial Temp |  PC/Client/Tablet,,,,,,Communications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Embedded Broad Market Commercial Temp |  PC/Client/Tablet,,,,,,,,Industrial Commercial Temp |  Embedded Broad Market Commercial Temp |  PC/Client/Tablet,,,Industrial Commercial Temp,,,,,,,,PC/Client/Tablet,,,,,,,Embedded Broad Market Commercial Temp |  PC/Client/Tablet,Industrial Commercial Temp,,,,Embedded Broad Market Commercial Temp |  PC/Client/Tablet,,,,,,,,,,,,,Industrial Commercial Temp,Industrial Commercial Temp,Industrial Commercial Temp,Industrial Commercial Temp,Industrial Commercial Temp |  Embedded Broad Market Commercial Temp |  PC/Client/Tablet,,,,,,,,,,,,,,,,,,,,,,,,,Embedded Broad Market Commercial Temp |  PC/Client/Tablet,PC/Client/Tablet,,Embedded Broad Market Commercial Temp |  PC/Client/Tablet,,,Embedded Broad Market Commercial Temp |  PC/Client/Tablet,,,,Communications,,Embedded Broad Market Commercial Temp |  PC/Client/Tablet,,,,,,,,Industrial Commercial Temp |  Embedded Broad Market Commercial Temp |  PC/Client/Tablet,Industrial Commercial Temp |  Embedded Broad Market Commercial Temp |  PC/Client/Tablet,Industrial Commercial Temp |  Embedded Broad Market Commercial Temp |  PC/Client/Tablet,Industrial Commercial Temp |  Embedded Broad Market Commercial Temp |  PC/Client/Tablet,,,,,,PC/Client/Tablet,,,,,,,PC/Client/Tablet,,,Embedded Broad Market Commercial Temp |  PC/Client/Tablet,,,,,,,,
Recommended Customer Price,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

CPU Specifications
Total Cores,2,2,2,2,2,2,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,4,4,2,2,2,2,2,2,2,2,2,4,4,2,4,2,6,4,4,2,2,4,2,2,2,2,2,4,4,4,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,2,4,4,4,4,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,4,2,4,4,4,2,2,2,2,2,2,4,4,4,4,4,4,2,2,2,2,2,4,4,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,2,2,2,2,2,2,2,2,2,4,2,2,2,2,6,6,4,2,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2
