ARK | Intel® Product Specification Comparison
01/24/2024 10:43:55 AM
 ,Intel® Core™ i7-1375PRE Processor ,Intel® Core™ i7-1366URE Processor ,Intel® Core™ i7-1365URE Processor ,Intel® Core™ i5-1345URE Processor ,Intel® Core™ i3-1315URE Processor ,Intel® Core™ i9 processor 14900HX ,Intel® Core™ i7 processor 14650HX ,Intel® Core™ i7 processor 14700HX ,Intel® Core™ i5 processor 14450HX ,Intel® Core™ i5 processor 14500HX ,Intel® Core™ i9 processor 14900K ,Intel® Core™ i3 processor 14100 ,Intel® Core™ i3 processor 14100T ,Intel® Core™ 3 processor 100U ,Intel® Core™ i5 processor 14400F ,Intel® Core™ i5 processor 14600KF ,Intel® Core™ i5 processor 14500T ,Intel® Core™ i7 processor 14700 ,Intel® Core™ i5 processor 14600T ,Intel® Core™ i7 processor 14700K ,Intel® Core™ i5 processor 14500 ,Intel® Core™ i3 processor 14100F ,Intel® Core™ i9 processor 14900KF ,Intel® Core™ i5 processor 14400 ,Intel® Core™ i7 processor 14700KF ,Intel® Core™ i5 processor 14400T ,Intel® Core™ i9 processor 14900T ,Intel® Core™ i9 processor 14900 ,Intel® Core™ i7 processor 14700T ,Intel® Core™ 7 processor 150U ,Intel® Core™ 5 processor 120U ,Intel® Core™ i5 processor 14600K ,Intel® Core™ i5 processor 14600 ,Intel® Core™ i9 processor 14900F ,Intel® Core™ i7 processor 14700F ,Intel® Core™ 3 processor 100U ,Intel® Core™ Duo Processor L2400 ,Intel® Core™ Duo Processor T2500 ,Intel® Core™ Duo Processor U2500 ,Intel® Core™2 Duo Processor E6300 ,Intel® Core™2 Duo Processor E6400 ,Intel® Core™2 Duo Processor E6600 ,Intel® Core™2 Duo Processor E6700 ,Intel® Core™2 Duo Processor T7400 ,Intel® Core™2 Duo Processor T7600 ,Intel® Core™2 Extreme Processor X6800 ,Intel® Core™2 Duo Processor E4300 ,Intel® Core™2 Duo Processor L7200 ,Intel® Core™2 Duo Processor L7400 ,Intel® Core™2 Extreme Processor QX6700 ,Intel® Core™2 Duo Processor E4400 ,Intel® Core™2 Duo Processor E6320 ,Intel® Core™2 Duo Processor E6420 ,Intel® Core™2 Duo Processor L7300 ,Intel® Core™2 Duo Processor L7500 ,Intel® Core™2 Duo Processor T7100 ,Intel® Core™2 Duo Processor T7300 ,Intel® Core™2 Duo Processor T7500 ,Intel® Core™2 Duo Processor T7700 ,Intel® Core™2 Duo Processor U7500 ,Intel® Core™2 Duo Processor U7600 ,Intel® Core™2 Quad Processor Q6600 ,Intel® Core™2 Extreme Processor QX6800 ,Intel® Core™2 Duo Processor E4500 ,Intel® Core™2 Duo Processor E6540 ,Intel® Core™2 Duo Processor E6550 ,Intel® Core™2 Duo Processor E6750 ,Intel® Core™2 Duo Processor E6850 ,Intel® Core™2 Extreme Processor X7800 ,Intel® Core™2 Extreme Processor QX6850 ,Intel® Core™2 Quad Processor Q6700 ,Intel® Core™2 Duo Processor T7250 ,Intel® Core™2 Duo Processor T7800 ,Intel® Core™2 Extreme Processor X7900 ,Intel® Core™2 Solo Processor U2100 ,Intel® Core™2 Solo Processor U2200 ,Intel® Core™2 Duo Processor E4600 ,Intel® Core™2 Duo Processor L7700 ,Intel® Core™2 Duo Processor T8300 ,Intel® Core™2 Duo Processor E8200 ,Intel® Core™2 Duo Processor E8400 ,Intel® Core™2 Duo Processor E8500 ,Intel® Core™2 Duo Processor T5750 ,Intel® Core™2 Duo Processor T8100 ,Intel® Core™2 Duo Processor T9300 ,Intel® Core™2 Duo Processor T9500 ,Intel® Core™2 Duo Processor U7700 ,Intel® Core™2 Extreme Processor QX9650 ,Intel® Core™2 Quad Processor Q9300 ,Intel® Core™2 Quad Processor Q9450 ,Intel® Core™2 Quad Processor Q9550 ,Intel® Core™2 Duo Processor E4700 ,Intel® Core™2 Duo Processor E8190 ,Intel® Core™2 Extreme Processor X9000 ,Intel® Core™2 Extreme Processor QX9770 ,Intel® Core™2 Extreme Processor QX9775 ,Intel® Core™2 Duo Processor E8300 ,Intel® Core™2 Duo Processor T5670 ,Intel® Core™2 Duo Processor E7200 ,Intel® Core™2 Quad Processor Q9400 ,Intel® Core™2 Quad Processor Q9650 ,Intel® Core™2 Extreme Processor X9100 ,Intel® Core™2 Duo Processor T9400 ,Intel® Core™2 Duo Processor T9600 ,Intel® Core™2 Duo Processor P9500 ,Intel® Core™2 Duo Processor P8600 ,Intel® Core™2 Duo Processor P8400 ,Intel® Core™2 Duo Processor E8600 ,Intel® Core™2 Duo Processor E7300 ,Intel® Core™2 Solo Processor ULV SU3300 ,Intel® Core™2 Duo Processor P7350 ,Intel® Core™2 Duo Processor U7500 ,Intel® Core™2 Quad Processor Q9100 
Essentials
Product Collection,13th Generation Intel® Core™ i7 Processors,13th Generation Intel® Core™ i7 Processors,13th Generation Intel® Core™ i7 Processors,13th Generation Intel® Core™ i5 Processors,13th Generation Intel® Core™ i3 Processors,Intel® Core™ i9 Processors (14th gen),Intel® Core™ i7 Processors (14th gen),Intel® Core™ i7 Processors (14th gen),Intel® Core™ i5 Processors (14th gen),Intel® Core™ i5 Processors (14th gen),Intel® Core™ i9 Processors (14th gen),Intel® Core™ i3 Processors (14th gen),Intel® Core™ i3 Processors (14th gen),Intel® Core™ processors (Series 1),Intel® Core™ i5 Processors (14th gen),Intel® Core™ i5 Processors (14th gen),Intel® Core™ i5 Processors (14th gen),Intel® Core™ i7 Processors (14th gen),Intel® Core™ i5 Processors (14th gen),Intel® Core™ i7 Processors (14th gen),Intel® Core™ i5 Processors (14th gen),Intel® Core™ i3 Processors (14th gen),Intel® Core™ i9 Processors (14th gen),Intel® Core™ i5 Processors (14th gen),Intel® Core™ i7 Processors (14th gen),Intel® Core™ i5 Processors (14th gen),Intel® Core™ i9 Processors (14th gen),Intel® Core™ i9 Processors (14th gen),Intel® Core™ i7 Processors (14th gen),Intel® Core™ processors (Series 1),Intel® Core™ processors (Series 1),Intel® Core™ i5 Processors (14th gen),Intel® Core™ i5 Processors (14th gen),Intel® Core™ i9 Processors (14th gen),Intel® Core™ i7 Processors (14th gen),Intel® Core™ processors (Series 1),Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors,Legacy Intel® Core™ Processors
Vertical Segment,Embedded,Embedded,Embedded,Embedded,Embedded,Mobile,Mobile,Mobile,Mobile,Mobile,Desktop,Desktop,Desktop,Mobile,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Mobile,Mobile,Desktop,Desktop,Desktop,Desktop,Mobile,Mobile,Mobile,Mobile,Desktop,Desktop,Desktop,Desktop,Mobile,Mobile,Desktop,Desktop,Mobile,Mobile,Desktop,Desktop,Desktop,Desktop,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Mobile,Desktop,Desktop,Mobile,Mobile,Mobile,Mobile,Mobile,Desktop,Mobile,Mobile,Desktop,Desktop,Desktop,Mobile,Mobile,Mobile,Mobile,Mobile,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Mobile,Desktop,Desktop,Desktop,Mobile,Desktop,Desktop,Desktop,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Desktop,Desktop,Mobile,Mobile,Mobile,Mobile
Processor Number,i7-1375PRE,i7-1366URE,i7-1365URE,i5-1345URE,i3-1315URE,i9-14900HX,i7-14650HX,i7-14700HX,i5-14450HX,i5-14500HX,i9-14900K,i3-14100,i3-14100T,100U,i5-14400F,i5-14600KF,i5-14500T,i7-14700,i5-14600T,i7-14700K,i5-14500,i3-14100F,i9-14900KF,i5-14400,i7-14700KF,i5-14400T,i9-14900T,i9-14900,i7-14700T,150U,120U,i5-14600K,i5-14600,i9-14900F,i7-14700F,100U,L2400,T2500,U2500,E6300,E6400,E6600,E6700,T7400,T7600,X6800,E4300,L7200,L7400,QX6700,E4400,E6320,E6420,L7300,L7500,T7100,T7300,T7500,T7700,U7500,U7600,Q6600,QX6800,E4500,E6540,E6550,E6750,E6850,X7800,QX6850,Q6700,T7250,T7800,X7900,U2100,U2200,E4600,L7700,T8300,E8200,E8400,E8500,T5750,T8100,T9300,T9500,U7700,QX9650,Q9300,Q9450,Q9550,E4700,E8190,X9000,QX9770,QX9775,E8300,T5670,E7200,Q9400,Q9650,X9100,T9400,T9600,P9500,P8600,P8400,E8600,E7300,SU3300,P7350,U7500,Q9100
Lithography,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,65 nm,65 nm,65 nm,65 nm,65 nm,65 nm,65 nm,65 nm,65 nm,65 nm,65 nm,65 nm,65 nm,65 nm,65 nm,65 nm,65 nm,65 nm,65 nm,65 nm,65 nm,65 nm,65 nm,65 nm,65 nm,65 nm,65 nm,65 nm,65 nm,65 nm,65 nm,65 nm,65 nm,65 nm,65 nm,65 nm,65 nm,65 nm,65 nm,65 nm,65 nm,65 nm,45 nm,45 nm,45 nm,45 nm,65 nm,45 nm,45 nm,45 nm,65 nm,45 nm,45 nm,45 nm,45 nm,65 nm,45 nm,45 nm,45 nm,45 nm,45 nm,65 nm,45 nm,45 nm,45 nm,45 nm,45 nm,45 nm,45 nm,45 nm,45 nm,45 nm,45 nm,45 nm,45 nm,65 nm,45 nm
Use Conditions,Industrial Extended Temp,Industrial Extended Temp,Industrial Extended Temp,Industrial Extended Temp,Industrial Extended Temp,,,,,,PC/Client/Tablet |  Workstation,PC/Client/Tablet,PC/Client/Tablet,,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet |  Workstation,PC/Client/Tablet |  Workstation,PC/Client/Tablet |  Workstation,PC/Client/Tablet |  Workstation,PC/Client/Tablet |  Workstation,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet |  Workstation,PC/Client/Tablet |  Workstation,PC/Client/Tablet |  Workstation,,,PC/Client/Tablet |  Workstation,PC/Client/Tablet |  Workstation,PC/Client/Tablet,PC/Client/Tablet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PC/Client/Tablet,,,,,,,,,,,,,,,,,,,PC/Client/Tablet,,,PC/Client/Tablet,,,,PC/Client/Tablet,,,,,,
Recommended Customer Price,,$493.00,$463.00,$340.00,$338.00,$679.00,$495.00,$495.00,$337.00,$337.00,$589.00-$599.00,$134.00,$134.00,,$196.00,$294.00-$304.00,$232.00,$384.00-$394.00,$255.00,$409.00-$419.00,$232.00,$109.00,$564.00-$574.00,$221.00,$384.00-$394.00,$221.00,$549.00,$549.00-$579.00,$384.00,,$340.00,$319.00-$329.00,$255.00,$524.00-$554.00,$359.00-$369.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$179.00,$200.00,,,,,,,$200.00,,$287.00,,,,,,,,,$180.00-$200.00,$339.00,,$250.00-$331.00,,$364.00,$211.00,$199.00-$211.00,$285.00,$117.00,,,,

CPU Specifications
Total Cores,14,10,10,10,6,24,16,20,10,14,24,4,4,6,10,14,14,20,14,20,14,4,24,10,20,10,24,24,20,10,10,14,14,24,20,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
